lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0157,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0141,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
"PIo (40:4), PIp (40:3)",0.0636952784282254,6.782434676873667,0.06950531721304287,0.7920584034882708,0.9972603099728947,PI,72222.34454345703,243961.83917236328,116627.40884399414,105430.96643066406,50115.20275878906,260355.8811645508,98779.26832580566,199840.41583251953,81458.80515289307,84050.80551147461,238067.57708740231,94329.46603393556,43847.78276062012,234562.6788330078,88331.50653076172,103698.06823730467,110586.72747802734,222571.37567138672,43424.5224571228,57746.30448913574,226173.0955810547,63304.425521850586,16215.521347045898
"PIo (40:5), PIp (40:4)",0.18619786341792025,10.29941383027873,0.5936202644588775,0.4410225896020885,0.9972603099728947,PI,354633.1041870117,2905893.2568359375,1019139.5050048828,929229.157836914,409421.4009399414,4614986.858032227,422177.2482910156,3638184.947021485,1417036.094665527,598445.4321594238,4210408.349365234,606953.9013061523,350889.2542114258,3802736.1381835938,1076222.825805664,782626.408203125,1406690.3049316406,2230980.6020507812,214662.97387695312,357457.9249267578,3565148.1352539062,938635.8067626952,39443.00280761719
"PIo (40:6), PIp (40:5)",0.10775198121987212,14.251452804114706,0.1988896209244757,0.6556186087167042,0.9972603099728947,PI,9760794.801879885,44991590.14343262,16505503.030151367,15160026.5178833,5749710.802215576,57428238.89129639,6225352.019866943,49895611.158569336,23233108.128356937,19312869.8873291,56021330.67919922,18881863.522598267,5284522.486839294,52573861.8918457,18418637.444213867,12683158.18347168,24228761.713928223,34899052.09082031,3396824.1035118103,8068331.099205017,50085396.16473389,15791146.78138733,18200.381225585938
PIo (40:7),0.10984090511882466,6.946826825065661,0.20666374522988917,0.6493949887865211,0.9972603099728947,PI,70054.76512145996,299725.50408935547,156654.5528564453,149106.76953125,63283.60464477539,224094.8143310547,136620.86972045898,188579.45672607425,93666.96670532228,79269.92588806152,253318.6767578125,117481.70770263672,58386.444107055664,203578.6539916992,106257.42877197266,99957.0678100586,136767.7498779297,281887.4231567383,48406.72371673584,59338.26467895508,235945.4962158203,63635.48487854004,20132.301483154297
PIo (42:0),0.11739569446887313,6.31008698027328,0.23605526685423683,0.6270698400334161,0.9972603099728947,PI,52017.76435852051,195232.73370361328,94604.487060546875,82710.24658203125,46907.96376037598,153563.07135009766,69288.5641708374,134357.60906982422,67077.46496582031,51773.52360534668,162639.3521118164,78407.64567565918,42144.8835067749,129028.56964111328,65893.78521728516,58176.06463623047,88784.40673828125,163982.33203125,31848.982215881348,36882.16256713867,162093.5128173828,45343.8030090332,14549.860954284668
PIo (42:1),0.005177419046280556,6.166056502106398,4.592527220665943e-4,0.9829024969356647,0.9972603099728947,PI,40699.54298400879,155930.4520263672,79858.00555419922,77014.44616699219,36522.16256713867,149189.15063476562,65719.14515686035,119907.64889526369,48640.083740234375,48627.30296325683,135202.76849365234,73797.40450286865,33659.78227233887,135262.5887451172,62241.74432373047,63415.46490478515,75872.6653137207,145346.50909423828,28328.602249145508,34800.92255401611,139246.97091674805,46962.00344085693,14856.64111328125
PIo (42:2),0.006180036939323844,5.926294653483872,6.543357867485611e-4,0.9795923480992803,0.9972603099728947,PI,36165.38215637207,131233.15020751953,68792.14459228516,66172.5241394043,28761.981761932373,129157.44927978516,45106.322525024414,97634.28582763672,41276.68357086182,47582.50382614136,125475.16888427734,60729.80430603027,29229.4818649292,112495.267578125,49756.76382446289,56847.523986816406,63922.62454223633,129743.73016357422,23889.401611328125,32971.34280395508,114176.26721191406,38409.88339996338,11491.300918579102
PIo (42:4),0.30337423495587196,7.209929631495931,1.5739996985130347,0.20962710999003786,0.9972603099728947,PI,99253.82475662231,387887.8646850586,133640.6498413086,142648.85028076172,63711.5237121582,398802.3885192871,127487.7495727539,359452.82415771484,181412.55347824097,123422.88808441162,331785.44009399414,202561.13286590576,47927.42277908325,316022.6217651367,117057.44966125488,93008.1669921875,136715.1081237793,305621.1484375,30269.9421043396,40908.92261123657,318142.8032531738,109554.86598205566,11832.28092956543
PIo (42:6),0.3688485835976533,10.969632226048649,2.3247603056152073,0.12732983261158556,0.9972603099728947,PI,1405842.761505127,4737741.291015625,1452097.6293640137,1583212.5514526367,605762.0560760498,5619288.5783081055,614715.9607696533,6080152.11340332,3104774.723876953,1786963.449569702,7478849.997497559,2817056.0744018555,430699.9510040283,4733123.54888916,1473574.522857666,840346.1226196289,2125877.881286621,4409186.042907715,320021.423248291,432293.3812408447,4884133.317687988,1538951.827377319,18925.90129852295
PIp (20:0),-0.06533443509896926,8.02044845799752,0.0731305898152641,0.7868320159969548,0.9972603099728947,PI,160209.1098022461,506013.2182617187,277479.7370605469,245768.57470703125,156051.77178955078,540699.1579589844,148202.26953125,436701.8298339844,231864.95977783203,186721.2516479492,483081.35546875,226492.5730895996,129060.67153930664,488515.5595703125,249146.9765625,271532.63916015625,294945.48083496094,419640.8029785156,106837.04672241212,153510.0093383789,496591.1826171875,146433.5103149414,57422.4846496582
