Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
TAG,2131390.750061035,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,868.7 -> 569.6
TAG,3202353.7435913086,[TG(52:5)]_FA18:1,870.8,571.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,870.8 -> 571.6
TAG,3242961.6883850098,[TG(52:4)]_FA18:1,872.8,573.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,872.8 -> 573.6
TAG,19413933.56628418,"[TG(53:10),TG(52:3)]_FA18:1",874.8,575.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,874.8 -> 575.6
TAG,24952113.366241455,"[TG(53:9),TG(52:2)]_FA18:1",876.8,577.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,876.8 -> 577.6
TAG,4491154.078094482,"[TG(54:7),TG(53:0)]_FA18:1",894.8,595.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,894.8 -> 595.6
TAG,2669613.253112793,[TG(54:6)]_FA18:1,896.8,597.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,896.8 -> 597.6
TAG,10188514.732177734,[TG(54:5)]_FA18:1,898.8,599.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,898.8 -> 599.6
TAG,8244910.826461792,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,900.8 -> 601.6
TAG,18829392.37826538,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,902.8 -> 603.6
TAG,11263119.887054443,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.6,TailoredTAG18-1_O3on_Blank50ACN50IPA_v4_020723,904.8 -> 605.6
,2766331.034790039,,760.6,571.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,760.6 -> 571.6
,3833343.214111328,,762.6,573.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,762.6 -> 573.6
