,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
1237908,495.4,183.0,7.508666666666667,438134.0,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.51,cortex,WT,FAD263,m3
4625360,447.4,183.0,7.498016666666667,377694.0,11192023_5xFAD-m2-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,hippo,5xFAD,FAD231,m2
3130426,447.4,183.0,7.4851,284839.0,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,cortex,5xFAD,FAD231,m1
1364449,495.4,183.0,7.50865,283015.0,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.51,dienc,WT,FAD263,m3
1224861,471.4,183.0,7.548666666666667,281305.0,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.55,cortex,WT,FAD263,m3
3283681,495.4,183.0,7.508666666666667,257306.0,11192023_5xFAD-m1-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.51,cortex,5xFAD,,m1
2555570,447.4,183.0,7.5109,256843.0,11162023_WT-m5-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,dienc,WT,FAD263,m5
3258137,447.4,183.0,7.4851,255313.0,11192023_5xFAD-m1-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,cortex,5xFAD,,m1
3028258,495.4,183.0,7.495766666666667,235855.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.5,cereb,5xFAD,,m1
2079504,447.4,183.0,7.498016666666667,218717.0,11162023_WT-m5-cereb-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,cereb,WT,,m5
1091564,447.4,183.0,7.510916666666667,197177.0,11162023_WT-m3-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,cereb,WT,FAD263,m3
1619876,495.4,183.0,7.573250000000001,187173.0,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.57,cereb,WT,FAD263,m4
3139589,469.4,183.0,5.869233333333334,186438.0,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.87,cortex,5xFAD,FAD231,m1
4261637,469.4,183.0,5.882133333333334,183228.0,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cortex,5xFAD,FAD257,m2
3513561,447.4,183.0,7.510916666666667,182145.0,11192023_5xFAD-m1-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,dienc,5xFAD,,m1
3385848,447.4,183.0,7.4851,181939.0,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,dienc,5xFAD,FAD231,m1
4753071,447.4,183.0,7.498016666666667,179833.0,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,hippo,5xFAD,FAD257,m2
3768983,447.4,183.0,7.510933333333334,178358.0,11192023_5xFAD-m1-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,hippo,5xFAD,,m1
4255207,447.4,183.0,7.510933333333334,176515.0,11192023_5xFAD-m2-cortex-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,cortex,5xFAD,FAD257,m2
4024405,447.4,183.0,7.510933333333334,163572.0,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,cereb,5xFAD,FAD257,m2
3002715,447.4,183.0,7.485116666666667,162684.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,cereb,5xFAD,,m1
4369938,447.4,183.0,7.498033333333334,161999.0,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,dienc,5xFAD,FAD231,m2
2255037,447.4,183.0,7.485083333333334,160780.0,11162023_WT-m5-cortex-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,cortex,WT,,m5
2875006,447.4,183.0,7.51095,159951.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,cereb,5xFAD,FAD231,m1
