,Biology,Cage,Correct_RT,Genotype,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
77,cereb,FAD263,7.55,WT,20:4,1735.0,6508.1005859375,m4,20:4-FAD263-m4-WT-cereb,6508.1005859375,471.4,183.0,7.65,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
78,cortex,FAD263,7.59,WT,20:4,1737.0,111869.6640625,m4,20:4-FAD263-m4-WT-cortex,111869.6640625,471.4,183.0,7.59,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_02,471.4 -> 183.0
79,dienc,FAD263,7.57,WT,20:4,1738.0,3297.080322265625,m4,20:4-FAD263-m4-WT-dienc,3297.080322265625,471.4,183.0,7.66,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
80,cereb,FAD263,7.55,WT,20:4,1741.0,9418.240234375,m5,20:4-FAD263-m5-WT-cereb,9418.240234375,471.4,183.0,7.55,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3on_01,471.4 -> 183.0
81,cereb,FAD231,5.88,5xFAD,20:5,1706.0,72024.5234375,m1,20:5-FAD231-m1-5xFAD-cereb,72024.5234375,469.4,183.0,5.88,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
82,cortex,FAD231,5.88,5xFAD,20:5,1708.0,122560.53125,m1,20:5-FAD231-m1-5xFAD-cortex,122560.53125,469.4,183.0,5.88,11192023_5xFAD-m1-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
83,dienc,FAD231,5.88,5xFAD,20:5,1710.0,45820.96484375,m1,20:5-FAD231-m1-5xFAD-dienc,45820.96484375,469.4,183.0,6.11,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
84,hippo,FAD231,5.87,5xFAD,20:5,1712.0,65615.3046875,m1,20:5-FAD231-m1-5xFAD-hippo,65615.3046875,469.4,183.0,5.87,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
85,cereb,FAD231,5.88,5xFAD,20:5,1714.0,27426.76171875,m2,20:5-FAD231-m2-5xFAD-cereb,27426.76171875,469.4,183.0,5.88,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
86,cortex,FAD231,5.88,5xFAD,20:5,1716.0,63589.5859375,m2,20:5-FAD231-m2-5xFAD-cortex,63589.5859375,469.4,183.0,5.88,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3on_01,469.4 -> 183.0
