Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
CerP(d18:1/24:0),Cer,13356.400939941406,14521.361053466797,14182.241096496582,13126.600936889648,11995.020820617676,13356.400939941406,14521.361053466797,14182.241096496582,13126.600936889648,11995.020820617676,12996.960968017578,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/24:1(15Z)),Cer,12847.321006774902,13944.040954589844,12685.640884399414,11588.460762023926,12037.880805969238,12847.321006774902,13944.040954589844,12685.640884399414,11588.460762023926,12037.880805969238,13508.460983276367,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/26:0),Cer,12391.88079071045,12312.800827026367,11289.06071472168,10861.000793457031,11819.060813903809,12391.88079071045,12312.800827026367,11289.06071472168,10861.000793457031,11819.060813903809,12423.440826416016,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/26:1(17Z)),Cer,9543.900772094727,11904.880794525146,12029.50082397461,10389.620754241943,11006.440734863281,9543.900772094727,11904.880794525146,12029.50082397461,10389.620754241943,11006.440734863281,12318.38074874878,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/2:0),Cer,15343.361145019531,16191.741149902344,15930.821166992188,16915.32127380371,15966.461120605469,15343.361145019531,16191.741149902344,15930.821166992188,16915.32127380371,15966.461120605469,16669.761123657227,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
CerP(d18:1/8:0),Cer,18648.121353149414,18942.301177978516,17759.621322631836,19055.10149383545,17498.721237182617,18648.121353149414,18942.301177978516,17759.621322631836,19055.10149383545,17498.721237182617,19342.061233520508,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",CAR,198197.03442382812,197497.19409179688,213080.95361328125,200223.03344726562,243164.9384765625,198197.03442382812,197497.19409179688,213080.95361328125,200223.03344726562,243164.9384765625,227832.07470703125,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Hexacosanoyl carnitine,CAR,245311.81958007812,241017.45825195312,262461.4982910156,240096.99780273438,286135.7590332031,245311.81958007812,241017.45825195312,262461.4982910156,240096.99780273438,286135.7590332031,275635.298828125,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",CAR,2037788.001953125,2006092.4375,2263617.05078125,2079956.345703125,2639114.6796875,2037788.001953125,2006092.4375,2263617.05078125,2079956.345703125,2639114.6796875,2416375.392578125,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(10:0),PC,19962.141571044922,18285.00131225586,19765.34136199951,16376.741012573242,18974.941314697266,19962.141571044922,18285.00131225586,19765.34136199951,16376.741012573242,18974.941314697266,17899.281219482422,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
