Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
22:0 Sitosteryl ester,CE,361571.613319397,384457.0058746338,74688.44552993774,486894.434677124,369547.3709869385,114893.82941436768,228572.99380493164,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:1 Campesteryl ester,CE,276676.6441421509,289324.78229522705,61668.54472351074,438211.0646972656,309484.46377563477,99733.32707595825,102455.64757919312,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,276648.3995361328,193528.11378479004,89969.3465385437,483708.2539367676,420318.2272872925,128342.92868804932,78654.8657836914,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,368723.5038909912,365224.468170166,74251.82576751709,491484.9942550659,370056.0489387512,108360.74819946289,206498.9136428833,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:2 Campesteryl ester,CE,107182.94714355469,130781.98825073242,53468.66411590576,366085.0646057129,299380.28102111816,109228.78860855103,80835.36569976807,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,350452.42657470703,345563.46530914307,71689.82487487793,490631.93672180176,363682.14473342896,113005.9493637085,160474.38968276978,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:3 Campesteryl ester,CE,119099.86869812012,140469.92993164062,32036.042041778564,427643.9084777832,345265.1865081787,99418.78695678711,78485.72638702393,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:3 Stigmasteryl ester,CE,327154.7291030884,340397.6675796509,71032.12460327148,474261.48516845703,322717.52098083496,99826.9475517273,107463.74801254272,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,635157.966796875,495490.35778808594,231045.13665771484,825638.3364257812,752051.2749023438,282835.4387817383,370215.2233886719,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:5 Cholesteryl ester,CE,602304.2216796875,474177.8748779297,214552.43481445312,781182.6794433594,727029.6968994141,266388.83935546875,343852.4637451172,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
22:6 Cholesteryl ester,CE,590267.5639648438,471349.9522705078,207493.234375,792286.6184082031,704965.5673828125,258944.73635864258,318345.9444580078,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",CE,370315.3039894104,374672.56845092773,71333.26514053345,502742.6997833252,380739.0824661255,113668.9673461914,225753.29443740845,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
3-hydroxyarachidonoylcarnitine,CAR,1743413.8393554688,1767162.2346191406,2071022.1474609375,1799780.4743652344,1569145.6931152344,1896938.0458984375,1852556.1604003906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",CAR,1407759.0158691406,1430833.4693603516,1726085.123046875,1492376.4155273438,1272668.7355957031,1561962.6239013672,1670603.4350585938,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"3-hydroxylinoleoylcarnitine,",CAR,13833465.812988281,13605475.501464844,13313878.918457031,24845405.71484375,20141493.19873047,7696857.471191406,2200595.70703125,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",CAR,6347135.7314453125,6494530.602050781,6203783.0927734375,10120286.5234375,8644065.336914062,4404611.219238281,2678909.9697265625,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",CAR,1684092.1088867188,1725702.0595703125,1831606.1508789062,1702237.0874023438,1567913.7353515625,1825566.8857421875,1844464.9086914062,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C12:0,FA,51106.78370666504,91973.32678222656,579113.6983642578,69178.10479736328,89496.72622680664,807750.4308166504,75923.3450012207,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C12:1,FA,36461.782485961914,56407.56418609619,267596.4381713867,54428.58346557617,68969.32496643066,320718.3243408203,73215.28530883789,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C14:0,FA,742224.6928710938,1357406.8583984375,4816041.5947265625,797848.4155273438,1038947.3747558594,6086357.0712890625,693541.4095458984,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C14:1,FA,459139.11328125,698750.2480773926,1384640.4365234375,615082.2641601562,682291.145690918,1603733.1870117188,740184.6535644531,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C15:0,FA,83619.20587158203,114550.88809204102,980730.3876953125,110539.58795166016,123724.40884399414,1152721.5948486328,129704.048828125,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C15:1,FA,243891.4972076416,172873.8332824707,2037424.6431884766,210501.95483398438,202034.65341186523,1514256.1926269531,272115.42083740234,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C16:0,FA,492442.299697876,722177.9931945801,24710067.015625,529921.4750976562,620287.5859985352,24158374.688964844,774104.8880310059,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C16:1,FA,69926.42470932007,101032.60723114014,1601274.842224121,86202.68649291992,91125.6865158081,2158698.156677246,136898.70957183838,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C17:0,FA,82212.16567230225,125040.14878082275,2558531.094116211,100422.14749145508,122047.98829650879,2972810.925720215,140066.65022277832,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C17:1,FA,41137.10298156738,79882.28601074219,500772.4754638672,61690.26426696777,74057.78514099121,625535.0833129883,70801.5651550293,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
C18:0,FA,315278.34188079834,433378.3914489746,25256819.70678711,352334.68466186523,399402.2286453247,22949736.43359375,531086.4338760376,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
