Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction,T-Statistic,P-Value,Z-Score
LPG(22:4) ,PG(42:1),LPG,PG,54675,CRLS1,32,0.6437946533919184,0.5258922031071832,0.6342890472391574
PE(20:4),PC(42:3),PE,PC,10400,PEMT,8,1.3221067278616283,0.20257704613481628,1.27424374569403
PC(40:8),LPC(18:4),PC,LPC,5321,PLA2G4A,23,0.5457497319008309,0.5899465542782967,0.5389134817018844
LPE(18:4),PE(36:0),LPE,PE,129642,MBOAT2,26,2.2364617787698076,0.034496028579425304,2.1142253046416934
LPS(14:1) ,PS(36:2),LPS,PS,154141,MBOAT1,30,0.029637819580564332,0.9765842129012308,0.029351550922455335
PS(30:0),LPS(13:0) ,PS,LPS,30814,PLA2G2E,31,-0.6170355986018583,0.5433927693573317,0.6076904933751793
LPE(14:1),PE(32:1),LPE,PE,129642,MBOAT2,26,-0.6740951346803912,0.5058440857996027,0.66532274497593
LPC(17:2),PC(32:2),LPC,PC,254531,LPCAT4,22,0.5230212600859057,0.6049716148479158,0.5172643811977723
PG(44:2),LPG(22:2),PG,LPG,54675,CRLS1,33,-1.3118949844398444,0.2011850915284492,1.2781824816678826
PS(42:7),LPS(18:1) ,PS,LPS,30814,PLA2G2E,31,2.1390584122641507,0.045994174210118595,1.9954467703176357
LPE(22:6),PE(40:3),LPE,PE,254531,LPCAT4,26,0.8878240212234714,0.3831363523481076,0.8721320336770073
PC(30:0),LPC(11:0),PC,LPC,5320,PLA2G2A,23,-0.4200812898932194,0.6775226813222628,0.41584602003941906
LPE(18:2),PE(38:2),LPE,PE,129642,MBOAT2,26,0.6611818253273383,0.5139365968037088,0.652720325032326
PC(40:2),PS(26:1),PC,PS,9791,PTDSS1,9,0.83310375018663,0.41333384481879043,0.8180408801221831
PC(38:2),LPC(24:1),PC,LPC,5319,PLA2G1B,23,-0.4632521270297665,0.6470724001241769,0.457833035044621
LPG(22:1) ,PG(40:3),LPG,PG,9926,LPGAT1,32,0.0757994302301295,0.9401026564666362,0.07514083694112625
LPE(24:1),PE(42:1),LPE,PE,10162,LPCAT3,26,0.8738202145525642,0.3896093770070672,0.8603259774825031
LPC(18:3),PC(42:9),LPC,PC,79888,LPCAT1,22,-1.617447959386138,0.11693933506415452,1.5677506544001463
PS(38:0),PE(21:0),PS,PE,23761,PISD,6,-0.6439850238721164,0.5253318438767074,0.6351480767347565
PC(36:2),LPC(20:1),PC,LPC,8605,PLA2G4C,23,0.8237899478689318,0.419756391850476,0.8068439545059243
PC(42:3),LPC(18:3),PC,LPC,123745,PLA2G4E,23,1.4083191263843677,0.1749727635542804,1.3563973890809857
