,Unnamed: 0,Unnamed: 0.1,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1.1,n-7,n-9,n-10,n-12,db_pos
576,679,12606,,[TG(52:5)]_FA16:1,370.0,760.7,599.5,11.49,12012023_DOD73_M2_5xFAD_liver_O3on_01,760.7 -> 599.5,3736455,678.7,650.7,636.7,608.7,n-9
541,685,26681,,[TG(52:6)]_FA18:2,9472.0,786.7,597.5,11.48,12012023_DOD73_M2_5xFAD_liver_O3on_01,786.7 -> 597.5,3750530,704.7,676.7,662.7,634.7,n-7
533,672,4710,,[TG(54:6)]_FA18:1,381.0,744.6,571.5,10.87,12012023_DOD73_M2_5xFAD_liver_O3on_01,744.6 -> 571.5,3728559,662.6,634.6,620.6,592.6,n-12
544,688,26681,,[TG(54:6)]_FA18:1,9472.0,786.7,597.5,11.48,12012023_DOD73_M2_5xFAD_liver_O3on_01,786.7 -> 597.5,3750530,704.7,676.7,662.7,634.7,n-9
589,720,44132,,"[TG(55:11),TG(54:4)]_FA18:1",369.0,818.7,601.5,11.38,12012023_DOD73_M2_5xFAD_liver_O3on_01,818.7 -> 601.5,3767981,736.7,708.7,694.7,666.7,n-7
588,719,28933,,"[TG(55:11),TG(54:4)]_FA18:1",879.0,790.7,601.5,11.48,12012023_DOD73_M2_5xFAD_liver_O3on_01,790.7 -> 601.5,3752782,708.7,680.7,666.7,638.7,n-9
590,726,78478,,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",384.0,626.5,437.3,11.59,12012023_FAD131_M1_5xFAD_liver_O3on_01,626.5 -> 437.3,3802327,544.5,516.5,502.5,474.5,n-9
617,721,77906,,[TG(45:3)]_FA16:1,1771.0,624.5,505.4,11.19,12012023_FAD131_M1_5xFAD_liver_O3on_01,624.5 -> 505.4,3801755,542.5,514.5,500.5,472.5,n-12
622,751,82418,,[TG(45:3)]_FA16:1,1652.0,694.6,505.4,11.54,12012023_FAD131_M1_5xFAD_liver_O3on_01,694.6 -> 505.4,3806267,612.6,584.6,570.6,542.6,n-7
604,739,81855,,[TG(45:4)]_FA16:1,753.0,692.6,503.4,11.54,12012023_FAD131_M1_5xFAD_liver_O3on_01,692.6 -> 503.4,3805704,610.6,582.6,568.6,540.6,n-7
592,727,80730,,[TG(45:4)]_FA16:1,469.0,664.6,503.4,11.59,12012023_FAD131_M1_5xFAD_liver_O3on_01,664.6 -> 503.4,3804579,582.6,554.6,540.6,512.6,n-9
659,756,85226,,[TG(52:5)]_FA16:1,6051.0,718.6,599.5,11.23,12012023_FAD131_M1_5xFAD_liver_O3on_01,718.6 -> 599.5,3809075,636.6,608.6,594.6,566.6,n-12
671,797,111694,,[TG(52:5)]_FA16:1,5462.0,788.7,599.5,11.53,12012023_FAD131_M1_5xFAD_liver_O3on_01,788.7 -> 599.5,3835543,706.7,678.7,664.7,636.7,n-7
