TG 54:6_OZONE_DB_Position_N12	896.8->1049
TG 54:6_OZONE_DB_Position_N13	896.8->1063
TG 54:6_OZONE_DB_Position_N14	896.8->1077
TG 54:6_OZONE_DB_Position_N15	896.8->1091
TG 54:6_OZONE_DB_Position_N16	896.8->1105
TG 54:6_OZONE_DB_Position_N17	896.8->1119.1
TG 54:7	894.8->595.6
TG 54:7_OZONE_DB_Position_N1	894.8->892.8
TG 54:7_OZONE_DB_Position_N2	894.8->906.8
TG 54:7_OZONE_DB_Position_N3	894.8->920.8
TG 54:7_OZONE_DB_Position_N4	894.8->934.9
TG 54:7_OZONE_DB_Position_N5	894.8->948.9
TG 54:7_OZONE_DB_Position_N6	894.8->962.9
TG 54:7_OZONE_DB_Position_N7	894.8->976.9
TG 54:7_OZONE_DB_Position_N8	894.8->990.9
TG 54:7_OZONE_DB_Position_N9	894.8->1004.9
TG 54:7_OZONE_DB_Position_N10	894.8->1018.9
TG 54:7_OZONE_DB_Position_N11	894.8->1033
TG 54:7_OZONE_DB_Position_N12	894.8->1047
TG 54:7_OZONE_DB_Position_N13	894.8->1061
TG 54:7_OZONE_DB_Position_N14	894.8->1075
TG 54:7_OZONE_DB_Position_N15	894.8->1089
TG 54:7_OZONE_DB_Position_N16	894.8->1103
TG 54:7_OZONE_DB_Position_N17	894.8->1117.1
TG 54:8	892.8->593.6
TG 54:8_OZONE_DB_Position_N1	892.8->890.8
TG 54:8_OZONE_DB_Position_N2	892.8->904.8
TG 54:8_OZONE_DB_Position_N3	892.8->918.8
TG 54:8_OZONE_DB_Position_N4	892.8->932.9
TG 54:8_OZONE_DB_Position_N5	892.8->946.9
TG 54:8_OZONE_DB_Position_N6	892.8->960.9
TG 54:8_OZONE_DB_Position_N7	892.8->974.9
TG 54:8_OZONE_DB_Position_N8	892.8->988.9
TG 54:8_OZONE_DB_Position_N9	892.8->1002.9
TG 54:8_OZONE_DB_Position_N10	892.8->1016.9
TG 54:8_OZONE_DB_Position_N11	892.8->1031
TG 54:8_OZONE_DB_Position_N12	892.8->1045
TG 54:8_OZONE_DB_Position_N13	892.8->1059
TG 54:8_OZONE_DB_Position_N14	892.8->1073
TG 54:8_OZONE_DB_Position_N15	892.8->1087
TG 54:8_OZONE_DB_Position_N16	892.8->1101
TG 54:8_OZONE_DB_Position_N17	892.8->1115.1
TG 54:9	890.8->591.6
TG 54:9_OZONE_DB_Position_N1	890.8->888.8
TG 54:9_OZONE_DB_Position_N2	890.8->902.8
TG 54:9_OZONE_DB_Position_N3	890.8->916.8
TG 54:9_OZONE_DB_Position_N4	890.8->930.9
TG 54:9_OZONE_DB_Position_N5	890.8->944.9
TG 54:9_OZONE_DB_Position_N6	890.8->958.9
TG 54:9_OZONE_DB_Position_N7	890.8->972.9
TG 54:9_OZONE_DB_Position_N8	890.8->986.9
TG 54:9_OZONE_DB_Position_N9	890.8->1000.9
TG 54:9_OZONE_DB_Position_N10	890.8->1014.9
TG 54:9_OZONE_DB_Position_N11	890.8->1029
TG 54:9_OZONE_DB_Position_N12	890.8->1043
TG 54:9_OZONE_DB_Position_N13	890.8->1057
TG 54:9_OZONE_DB_Position_N14	890.8->1071
TG 54:9_OZONE_DB_Position_N15	890.8->1085
TG 54:9_OZONE_DB_Position_N16	890.8->1099
TG 54:9_OZONE_DB_Position_N17	890.8->1113.1
TG 54:10	888.8->589.6
TG 54:10_OZONE_DB_Position_N1	888.8->886.8
TG 54:10_OZONE_DB_Position_N2	888.8->900.8
TG 54:10_OZONE_DB_Position_N3	888.8->914.8
TG 54:10_OZONE_DB_Position_N4	888.8->928.9
TG 54:10_OZONE_DB_Position_N5	888.8->942.9
TG 54:10_OZONE_DB_Position_N6	888.8->956.9
TG 54:10_OZONE_DB_Position_N7	888.8->970.9
TG 54:10_OZONE_DB_Position_N8	888.8->984.9
TG 54:10_OZONE_DB_Position_N9	888.8->998.9
TG 54:10_OZONE_DB_Position_N10	888.8->1012.9
TG 54:10_OZONE_DB_Position_N11	888.8->1027
TG 54:10_OZONE_DB_Position_N12	888.8->1041
TG 54:10_OZONE_DB_Position_N13	888.8->1055
TG 54:10_OZONE_DB_Position_N14	888.8->1069
TG 54:10_OZONE_DB_Position_N15	888.8->1083
TG 54:10_OZONE_DB_Position_N16	888.8->1097
TG 54:10_OZONE_DB_Position_N17	888.8->1111.1
TG 55:1	920.9->621.7
TG 55:1_OZONE_DB_Position_N1	920.9->918.9
TG 55:1_OZONE_DB_Position_N2	920.9->932.9
TG 55:1_OZONE_DB_Position_N3	920.9->946.9
TG 55:1_OZONE_DB_Position_N4	920.9->960.9
TG 55:1_OZONE_DB_Position_N5	920.9->974.9
TG 55:1_OZONE_DB_Position_N6	920.9->989
TG 55:1_OZONE_DB_Position_N7	920.9->1003
TG 55:1_OZONE_DB_Position_N8	920.9->1017
TG 55:1_OZONE_DB_Position_N9	920.9->1031
TG 55:1_OZONE_DB_Position_N10	920.9->1045
TG 55:1_OZONE_DB_Position_N11	920.9->1059
TG 55:1_OZONE_DB_Position_N12	920.9->1073.1
TG 55:1_OZONE_DB_Position_N13	920.9->1087.1
TG 55:1_OZONE_DB_Position_N14	920.9->1101.1
TG 55:1_OZONE_DB_Position_N15	920.9->1115.1
TG 55:1_OZONE_DB_Position_N16	920.9->1129.1
TG 55:1_OZONE_DB_Position_N17	920.9->1143.1
TG 55:2	918.8->619.6
TG 55:2_OZONE_DB_Position_N1	918.8->916.9
TG 55:2_OZONE_DB_Position_N2	918.8->930.9
TG 55:2_OZONE_DB_Position_N3	918.8->944.9
TG 55:2_OZONE_DB_Position_N4	918.8->958.9
TG 55:2_OZONE_DB_Position_N5	918.8->972.9
TG 55:2_OZONE_DB_Position_N6	918.8->986.9
TG 55:2_OZONE_DB_Position_N7	918.8->1001
TG 55:2_OZONE_DB_Position_N8	918.8->1015
TG 55:2_OZONE_DB_Position_N9	918.8->1029
TG 55:2_OZONE_DB_Position_N10	918.8->1043
TG 55:2_OZONE_DB_Position_N11	918.8->1057
TG 55:2_OZONE_DB_Position_N12	918.8->1071
TG 55:2_OZONE_DB_Position_N13	918.8->1085.1
TG 55:2_OZONE_DB_Position_N14	918.8->1099.1
TG 55:2_OZONE_DB_Position_N15	918.8->1113.1
TG 55:2_OZONE_DB_Position_N16	918.8->1127.1
TG 55:2_OZONE_DB_Position_N17	918.8->1141.1
TG 55:3	916.8->617.6
TG 55:3_OZONE_DB_Position_N1	916.8->914.9
TG 55:3_OZONE_DB_Position_N2	916.8->928.9
TG 55:3_OZONE_DB_Position_N3	916.8->942.9
TG 55:3_OZONE_DB_Position_N4	916.8->956.9
TG 55:3_OZONE_DB_Position_N5	916.8->970.9
TG 55:3_OZONE_DB_Position_N6	916.8->984.9
TG 55:3_OZONE_DB_Position_N7	916.8->998.9
TG 55:3_OZONE_DB_Position_N8	916.8->1013
TG 55:3_OZONE_DB_Position_N9	916.8->1027
TG 55:3_OZONE_DB_Position_N10	916.8->1041
TG 55:3_OZONE_DB_Position_N11	916.8->1055
TG 55:3_OZONE_DB_Position_N12	916.8->1069
TG 55:3_OZONE_DB_Position_N13	916.8->1083
TG 55:3_OZONE_DB_Position_N14	916.8->1097.1
TG 55:3_OZONE_DB_Position_N15	916.8->1111.1
TG 55:3_OZONE_DB_Position_N16	916.8->1125.1
TG 55:3_OZONE_DB_Position_N17	916.8->1139.1
TG 55:4	914.8->615.6
TG 55:4_OZONE_DB_Position_N1	914.8->912.8
TG 55:4_OZONE_DB_Position_N2	914.8->926.8
TG 55:4_OZONE_DB_Position_N3	914.8->940.9
TG 55:4_OZONE_DB_Position_N4	914.8->954.9
TG 55:4_OZONE_DB_Position_N5	914.8->968.9
TG 55:4_OZONE_DB_Position_N6	914.8->982.9
TG 55:4_OZONE_DB_Position_N7	914.8->996.9
TG 55:4_OZONE_DB_Position_N8	914.8->1010.9
TG 55:4_OZONE_DB_Position_N9	914.8->1025
TG 55:4_OZONE_DB_Position_N10	914.8->1039
TG 55:4_OZONE_DB_Position_N11	914.8->1053
TG 55:4_OZONE_DB_Position_N12	914.8->1067
TG 55:4_OZONE_DB_Position_N13	914.8->1081
TG 55:4_OZONE_DB_Position_N14	914.8->1095
TG 55:4_OZONE_DB_Position_N15	914.8->1109.1
TG 55:4_OZONE_DB_Position_N16	914.8->1123.1
TG 55:4_OZONE_DB_Position_N17	914.8->1137.1
TG 55:5	912.8->613.6
TG 55:5_OZONE_DB_Position_N1	912.8->910.8
TG 55:5_OZONE_DB_Position_N2	912.8->924.8
TG 55:5_OZONE_DB_Position_N3	912.8->938.9
TG 55:5_OZONE_DB_Position_N4	912.8->952.9
TG 55:5_OZONE_DB_Position_N5	912.8->966.9
TG 55:5_OZONE_DB_Position_N6	912.8->980.9
TG 55:5_OZONE_DB_Position_N7	912.8->994.9
TG 55:5_OZONE_DB_Position_N8	912.8->1008.9
TG 55:5_OZONE_DB_Position_N9	912.8->1022.9
TG 55:5_OZONE_DB_Position_N10	912.8->1037
TG 55:5_OZONE_DB_Position_N11	912.8->1051
TG 55:5_OZONE_DB_Position_N12	912.8->1065
TG 55:5_OZONE_DB_Position_N13	912.8->1079
TG 55:5_OZONE_DB_Position_N14	912.8->1093
TG 55:5_OZONE_DB_Position_N15	912.8->1107
TG 55:5_OZONE_DB_Position_N16	912.8->1121.1
TG 55:5_OZONE_DB_Position_N17	912.8->1135.1
TG 55:6	910.8->611.6
TG 55:6_OZONE_DB_Position_N1	910.8->908.8
TG 55:6_OZONE_DB_Position_N2	910.8->922.8
TG 55:6_OZONE_DB_Position_N3	910.8->936.9
TG 55:6_OZONE_DB_Position_N4	910.8->950.9
TG 55:6_OZONE_DB_Position_N5	910.8->964.9
TG 55:6_OZONE_DB_Position_N6	910.8->978.9
TG 55:6_OZONE_DB_Position_N7	910.8->992.9
TG 55:6_OZONE_DB_Position_N8	910.8->1006.9
TG 55:6_OZONE_DB_Position_N9	910.8->1020.9
TG 55:6_OZONE_DB_Position_N10	910.8->1035
TG 55:6_OZONE_DB_Position_N11	910.8->1049
TG 55:6_OZONE_DB_Position_N12	910.8->1063
TG 55:6_OZONE_DB_Position_N13	910.8->1077
TG 55:6_OZONE_DB_Position_N14	910.8->1091
TG 55:6_OZONE_DB_Position_N15	910.8->1105
TG 55:6_OZONE_DB_Position_N16	910.8->1119.1
TG 55:6_OZONE_DB_Position_N17	910.8->1133.1
TG 55:7	908.8->609.6
TG 55:7_OZONE_DB_Position_N1	908.8->906.8
TG 55:7_OZONE_DB_Position_N2	908.8->920.8
TG 55:7_OZONE_DB_Position_N3	908.8->934.9
TG 55:7_OZONE_DB_Position_N4	908.8->948.9
TG 55:7_OZONE_DB_Position_N5	908.8->962.9
TG 55:7_OZONE_DB_Position_N6	908.8->976.9
TG 55:7_OZONE_DB_Position_N7	908.8->990.9
TG 55:7_OZONE_DB_Position_N8	908.8->1004.9
TG 55:7_OZONE_DB_Position_N9	908.8->1018.9
TG 55:7_OZONE_DB_Position_N10	908.8->1033
TG 55:7_OZONE_DB_Position_N11	908.8->1047
TG 55:7_OZONE_DB_Position_N12	908.8->1061
TG 55:7_OZONE_DB_Position_N13	908.8->1075
TG 55:7_OZONE_DB_Position_N14	908.8->1089
TG 55:7_OZONE_DB_Position_N15	908.8->1103
TG 55:7_OZONE_DB_Position_N16	908.8->1117.1
TG 55:7_OZONE_DB_Position_N17	908.8->1131.1
TG 55:8	906.8->607.6
TG 55:8_OZONE_DB_Position_N1	906.8->904.8
TG 55:8_OZONE_DB_Position_N2	906.8->918.8
TG 55:8_OZONE_DB_Position_N3	906.8->932.9
TG 55:8_OZONE_DB_Position_N4	906.8->946.9
TG 55:8_OZONE_DB_Position_N5	906.8->960.9
TG 55:8_OZONE_DB_Position_N6	906.8->974.9
TG 55:8_OZONE_DB_Position_N7	906.8->988.9
TG 55:8_OZONE_DB_Position_N8	906.8->1002.9
TG 55:8_OZONE_DB_Position_N9	906.8->1016.9
TG 55:8_OZONE_DB_Position_N10	906.8->1031
TG 55:8_OZONE_DB_Position_N11	906.8->1045
TG 55:8_OZONE_DB_Position_N12	906.8->1059
TG 55:8_OZONE_DB_Position_N13	906.8->1073
TG 55:8_OZONE_DB_Position_N14	906.8->1087
TG 55:8_OZONE_DB_Position_N15	906.8->1101
TG 55:8_OZONE_DB_Position_N16	906.8->1115.1
TG 55:8_OZONE_DB_Position_N17	906.8->1129.1
TG 55:9	904.8->605.6
TG 55:9_OZONE_DB_Position_N1	904.8->902.8
TG 55:9_OZONE_DB_Position_N2	904.8->916.8
TG 55:9_OZONE_DB_Position_N3	904.8->930.9
TG 55:9_OZONE_DB_Position_N4	904.8->944.9
TG 55:9_OZONE_DB_Position_N5	904.8->958.9
TG 55:9_OZONE_DB_Position_N6	904.8->972.9
TG 55:9_OZONE_DB_Position_N7	904.8->986.9
TG 55:9_OZONE_DB_Position_N8	904.8->1000.9
TG 55:9_OZONE_DB_Position_N9	904.8->1014.9
TG 55:9_OZONE_DB_Position_N10	904.8->1029
TG 55:9_OZONE_DB_Position_N11	904.8->1043
TG 55:9_OZONE_DB_Position_N12	904.8->1057
TG 55:9_OZONE_DB_Position_N13	904.8->1071
TG 55:9_OZONE_DB_Position_N14	904.8->1085
TG 55:9_OZONE_DB_Position_N15	904.8->1099
TG 55:9_OZONE_DB_Position_N16	904.8->1113.1
TG 55:9_OZONE_DB_Position_N17	904.8->1127.1
TG 55:10	902.8->603.6
TG 55:10_OZONE_DB_Position_N1	902.8->900.8
TG 55:10_OZONE_DB_Position_N2	902.8->914.8
TG 55:10_OZONE_DB_Position_N3	902.8->928.9
TG 55:10_OZONE_DB_Position_N4	902.8->942.9
TG 55:10_OZONE_DB_Position_N5	902.8->956.9
TG 55:10_OZONE_DB_Position_N6	902.8->970.9
TG 55:10_OZONE_DB_Position_N7	902.8->984.9
TG 55:10_OZONE_DB_Position_N8	902.8->998.9
TG 55:10_OZONE_DB_Position_N9	902.8->1012.9
TG 55:10_OZONE_DB_Position_N10	902.8->1027
TG 55:10_OZONE_DB_Position_N11	902.8->1041
TG 55:10_OZONE_DB_Position_N12	902.8->1055
TG 55:10_OZONE_DB_Position_N13	902.8->1069
TG 55:10_OZONE_DB_Position_N14	902.8->1083
TG 55:10_OZONE_DB_Position_N15	902.8->1097
TG 55:10_OZONE_DB_Position_N16	902.8->1111.1
TG 55:10_OZONE_DB_Position_N17	902.8->1125.1
TG 56:1	934.9->635.7
TG 56:1_OZONE_DB_Position_N1	934.9->932.9
TG 56:1_OZONE_DB_Position_N2	934.9->946.9
TG 56:1_OZONE_DB_Position_N3	934.9->960.9
TG 56:1_OZONE_DB_Position_N4	934.9->974.9
TG 56:1_OZONE_DB_Position_N5	934.9->989
TG 56:1_OZONE_DB_Position_N6	934.9->1003
TG 56:1_OZONE_DB_Position_N7	934.9->1017
TG 56:1_OZONE_DB_Position_N8	934.9->1031
TG 56:1_OZONE_DB_Position_N9	934.9->1045
TG 56:1_OZONE_DB_Position_N10	934.9->1059
TG 56:1_OZONE_DB_Position_N11	934.9->1073.1
TG 56:1_OZONE_DB_Position_N12	934.9->1087.1
TG 56:1_OZONE_DB_Position_N13	934.9->1101.1
TG 56:1_OZONE_DB_Position_N14	934.9->1115.1
TG 56:1_OZONE_DB_Position_N15	934.9->1129.1
TG 56:1_OZONE_DB_Position_N16	934.9->1143.1
TG 56:1_OZONE_DB_Position_N17	934.9->1157.2
TG 56:2	932.9->633.7
TG 56:2_OZONE_DB_Position_N1	932.9->930.9
TG 56:2_OZONE_DB_Position_N2	932.9->944.9
TG 56:2_OZONE_DB_Position_N3	932.9->958.9
TG 56:2_OZONE_DB_Position_N4	932.9->972.9
TG 56:2_OZONE_DB_Position_N5	932.9->986.9
TG 56:2_OZONE_DB_Position_N6	932.9->1001
TG 56:2_OZONE_DB_Position_N7	932.9->1015
TG 56:2_OZONE_DB_Position_N8	932.9->1029
TG 56:2_OZONE_DB_Position_N9	932.9->1043
TG 56:2_OZONE_DB_Position_N10	932.9->1057
TG 56:2_OZONE_DB_Position_N11	932.9->1071
TG 56:2_OZONE_DB_Position_N12	932.9->1085.1
TG 56:2_OZONE_DB_Position_N13	932.9->1099.1
TG 56:2_OZONE_DB_Position_N14	932.9->1113.1
TG 56:2_OZONE_DB_Position_N15	932.9->1127.1
TG 56:2_OZONE_DB_Position_N16	932.9->1141.1
TG 56:2_OZONE_DB_Position_N17	932.9->1155.1
TG 56:3	930.8->631.6
TG 56:3_OZONE_DB_Position_N1	930.8->928.9
TG 56:3_OZONE_DB_Position_N2	930.8->942.9
TG 56:3_OZONE_DB_Position_N3	930.8->956.9
TG 56:3_OZONE_DB_Position_N4	930.8->970.9
TG 56:3_OZONE_DB_Position_N5	930.8->984.9
TG 56:3_OZONE_DB_Position_N6	930.8->998.9
TG 56:3_OZONE_DB_Position_N7	930.8->1013
TG 56:3_OZONE_DB_Position_N8	930.8->1027
TG 56:3_OZONE_DB_Position_N9	930.8->1041
TG 56:3_OZONE_DB_Position_N10	930.8->1055
TG 56:3_OZONE_DB_Position_N11	930.8->1069
TG 56:3_OZONE_DB_Position_N12	930.8->1083
TG 56:3_OZONE_DB_Position_N13	930.8->1097.1
TG 56:3_OZONE_DB_Position_N14	930.8->1111.1
TG 56:3_OZONE_DB_Position_N15	930.8->1125.1
TG 56:3_OZONE_DB_Position_N16	930.8->1139.1
TG 56:3_OZONE_DB_Position_N17	930.8->1153.1
TG 56:4	928.8->629.6
TG 56:4_OZONE_DB_Position_N1	928.8->926.9
TG 56:4_OZONE_DB_Position_N2	928.8->940.9
TG 56:4_OZONE_DB_Position_N3	928.8->954.9
TG 56:4_OZONE_DB_Position_N4	928.8->968.9
TG 56:4_OZONE_DB_Position_N5	928.8->982.9
TG 56:4_OZONE_DB_Position_N6	928.8->996.9
TG 56:4_OZONE_DB_Position_N7	928.8->1010.9
TG 56:4_OZONE_DB_Position_N8	928.8->1025
TG 56:4_OZONE_DB_Position_N9	928.8->1039
TG 56:4_OZONE_DB_Position_N10	928.8->1053
TG 56:4_OZONE_DB_Position_N11	928.8->1067
TG 56:4_OZONE_DB_Position_N12	928.8->1081
TG 56:4_OZONE_DB_Position_N13	928.8->1095
TG 56:4_OZONE_DB_Position_N14	928.8->1109.1
TG 56:4_OZONE_DB_Position_N15	928.8->1123.1
TG 56:4_OZONE_DB_Position_N16	928.8->1137.1
TG 56:4_OZONE_DB_Position_N17	928.8->1151.1
TG 56:5	926.8->627.6
TG 56:5_OZONE_DB_Position_N1	926.8->924.8
TG 56:5_OZONE_DB_Position_N2	926.8->938.8
TG 56:5_OZONE_DB_Position_N3	926.8->952.9
TG 56:5_OZONE_DB_Position_N4	926.8->966.9
TG 56:5_OZONE_DB_Position_N5	926.8->980.9
TG 56:5_OZONE_DB_Position_N6	926.8->994.9
TG 56:5_OZONE_DB_Position_N7	926.8->1008.9
TG 56:5_OZONE_DB_Position_N8	926.8->1022.9
TG 56:5_OZONE_DB_Position_N9	926.8->1037
TG 56:5_OZONE_DB_Position_N10	926.8->1051
TG 56:5_OZONE_DB_Position_N11	926.8->1065
TG 56:5_OZONE_DB_Position_N12	926.8->1079
TG 56:5_OZONE_DB_Position_N13	926.8->1093
TG 56:5_OZONE_DB_Position_N14	926.8->1107
TG 56:5_OZONE_DB_Position_N15	926.8->1121.1
TG 56:5_OZONE_DB_Position_N16	926.8->1135.1
TG 56:5_OZONE_DB_Position_N17	926.8->1149.1
TG 56:6	924.8->625.6
TG 56:6_OZONE_DB_Position_N1	924.8->922.8
TG 56:6_OZONE_DB_Position_N2	924.8->936.8
TG 56:6_OZONE_DB_Position_N3	924.8->950.9
TG 56:6_OZONE_DB_Position_N4	924.8->964.9
TG 56:6_OZONE_DB_Position_N5	924.8->978.9
TG 56:6_OZONE_DB_Position_N6	924.8->992.9
TG 56:6_OZONE_DB_Position_N7	924.8->1006.9
TG 56:6_OZONE_DB_Position_N8	924.8->1020.9
TG 56:6_OZONE_DB_Position_N9	924.8->1035
TG 56:6_OZONE_DB_Position_N10	924.8->1049
TG 56:6_OZONE_DB_Position_N11	924.8->1063
TG 56:6_OZONE_DB_Position_N12	924.8->1077
TG 56:6_OZONE_DB_Position_N13	924.8->1091
TG 56:6_OZONE_DB_Position_N14	924.8->1105
TG 56:6_OZONE_DB_Position_N15	924.8->1119.1
TG 56:6_OZONE_DB_Position_N16	924.8->1133.1
TG 56:6_OZONE_DB_Position_N17	924.8->1147.1
TG 56:7	922.8->623.6
TG 56:7_OZONE_DB_Position_N1	922.8->920.8
TG 56:7_OZONE_DB_Position_N2	922.8->934.8
TG 56:7_OZONE_DB_Position_N3	922.8->948.9
TG 56:7_OZONE_DB_Position_N4	922.8->962.9
TG 56:7_OZONE_DB_Position_N5	922.8->976.9
TG 56:7_OZONE_DB_Position_N6	922.8->990.9
TG 56:7_OZONE_DB_Position_N7	922.8->1004.9
TG 56:7_OZONE_DB_Position_N8	922.8->1018.9
TG 56:7_OZONE_DB_Position_N9	922.8->1033
TG 56:7_OZONE_DB_Position_N10	922.8->1047
TG 56:7_OZONE_DB_Position_N11	922.8->1061
TG 56:7_OZONE_DB_Position_N12	922.8->1075
TG 56:7_OZONE_DB_Position_N13	922.8->1089
TG 56:7_OZONE_DB_Position_N14	922.8->1103
TG 56:7_OZONE_DB_Position_N15	922.8->1117.1
TG 56:7_OZONE_DB_Position_N16	922.8->1131.1
TG 56:7_OZONE_DB_Position_N17	922.8->1145.1
TG 56:8	920.8->621.6
TG 56:8_OZONE_DB_Position_N1	920.8->918.8
TG 56:8_OZONE_DB_Position_N2	920.8->932.8
TG 56:8_OZONE_DB_Position_N3	920.8->946.9
TG 56:8_OZONE_DB_Position_N4	920.8->960.9
TG 56:8_OZONE_DB_Position_N5	920.8->974.9
TG 56:8_OZONE_DB_Position_N6	920.8->988.9
TG 56:8_OZONE_DB_Position_N7	920.8->1002.9
TG 56:8_OZONE_DB_Position_N8	920.8->1016.9
TG 56:8_OZONE_DB_Position_N9	920.8->1031
TG 56:8_OZONE_DB_Position_N10	920.8->1045
TG 56:8_OZONE_DB_Position_N11	920.8->1059
TG 56:8_OZONE_DB_Position_N12	920.8->1073
TG 56:8_OZONE_DB_Position_N13	920.8->1087
TG 56:8_OZONE_DB_Position_N14	920.8->1101
TG 56:8_OZONE_DB_Position_N15	920.8->1115.1
TG 56:8_OZONE_DB_Position_N16	920.8->1129.1
TG 56:8_OZONE_DB_Position_N17	920.8->1143.1
TG 56:9	918.8->619.6
TG 56:9_OZONE_DB_Position_N1	918.8->916.8
TG 56:9_OZONE_DB_Position_N2	918.8->930.8
TG 56:9_OZONE_DB_Position_N3	918.8->944.9
TG 56:9_OZONE_DB_Position_N4	918.8->958.9
TG 56:9_OZONE_DB_Position_N5	918.8->972.9
TG 56:9_OZONE_DB_Position_N6	918.8->986.9
TG 56:9_OZONE_DB_Position_N7	918.8->1000.9
TG 56:9_OZONE_DB_Position_N8	918.8->1014.9
TG 56:9_OZONE_DB_Position_N9	918.8->1029
TG 56:9_OZONE_DB_Position_N10	918.8->1043
TG 56:9_OZONE_DB_Position_N11	918.8->1057
TG 56:9_OZONE_DB_Position_N12	918.8->1071
TG 56:9_OZONE_DB_Position_N13	918.8->1085
TG 56:9_OZONE_DB_Position_N14	918.8->1099
TG 56:9_OZONE_DB_Position_N15	918.8->1113.1
TG 56:9_OZONE_DB_Position_N16	918.8->1127.1
TG 56:9_OZONE_DB_Position_N17	918.8->1141.1
TG 56:10	916.8->617.6
TG 56:10_OZONE_DB_Position_N1	916.8->914.8
TG 56:10_OZONE_DB_Position_N2	916.8->928.8
TG 56:10_OZONE_DB_Position_N3	916.8->942.9
TG 56:10_OZONE_DB_Position_N4	916.8->956.9
TG 56:10_OZONE_DB_Position_N5	916.8->970.9
TG 56:10_OZONE_DB_Position_N6	916.8->984.9
TG 56:10_OZONE_DB_Position_N7	916.8->998.9
TG 56:10_OZONE_DB_Position_N8	916.8->1012.9
TG 56:10_OZONE_DB_Position_N9	916.8->1027
TG 56:10_OZONE_DB_Position_N10	916.8->1041
TG 56:10_OZONE_DB_Position_N11	916.8->1055
TG 56:10_OZONE_DB_Position_N12	916.8->1069
TG 56:10_OZONE_DB_Position_N13	916.8->1083
TG 56:10_OZONE_DB_Position_N14	916.8->1097
TG 56:10_OZONE_DB_Position_N15	916.8->1111.1
TG 56:10_OZONE_DB_Position_N16	916.8->1125.1
TG 56:10_OZONE_DB_Position_N17	916.8->1139.1
TG 57:1	948.9->649.7
TG 57:1_OZONE_DB_Position_N1	948.9->946.9
TG 57:1_OZONE_DB_Position_N2	948.9->960.9
TG 57:1_OZONE_DB_Position_N3	948.9->974.9
TG 57:1_OZONE_DB_Position_N4	948.9->989
TG 57:1_OZONE_DB_Position_N5	948.9->1003
TG 57:1_OZONE_DB_Position_N6	948.9->1017
TG 57:1_OZONE_DB_Position_N7	948.9->1031
TG 57:1_OZONE_DB_Position_N8	948.9->1045
TG 57:1_OZONE_DB_Position_N9	948.9->1059
TG 57:1_OZONE_DB_Position_N10	948.9->1073.1
TG 57:1_OZONE_DB_Position_N11	948.9->1087.1
TG 57:1_OZONE_DB_Position_N12	948.9->1101.1
TG 57:1_OZONE_DB_Position_N13	948.9->1115.1
TG 57:1_OZONE_DB_Position_N14	948.9->1129.1
TG 57:1_OZONE_DB_Position_N15	948.9->1143.1
TG 57:1_OZONE_DB_Position_N16	948.9->1157.2
TG 57:1_OZONE_DB_Position_N17	948.9->1171.2
TG 57:2	946.9->647.7
TG 57:2_OZONE_DB_Position_N1	946.9->944.9
TG 57:2_OZONE_DB_Position_N2	946.9->958.9
TG 57:2_OZONE_DB_Position_N3	946.9->972.9
TG 57:2_OZONE_DB_Position_N4	946.9->986.9
TG 57:2_OZONE_DB_Position_N5	946.9->1001
TG 57:2_OZONE_DB_Position_N6	946.9->1015
TG 57:2_OZONE_DB_Position_N7	946.9->1029
TG 57:2_OZONE_DB_Position_N8	946.9->1043
TG 57:2_OZONE_DB_Position_N9	946.9->1057
TG 57:2_OZONE_DB_Position_N10	946.9->1071
TG 57:2_OZONE_DB_Position_N11	946.9->1085.1
TG 57:2_OZONE_DB_Position_N12	946.9->1099.1
TG 57:2_OZONE_DB_Position_N13	946.9->1113.1
TG 57:2_OZONE_DB_Position_N14	946.9->1127.1
TG 57:2_OZONE_DB_Position_N15	946.9->1141.1
TG 57:2_OZONE_DB_Position_N16	946.9->1155.1
TG 57:2_OZONE_DB_Position_N17	946.9->1169.2
TG 57:3	944.9->645.7
TG 57:3_OZONE_DB_Position_N1	944.9->942.9
TG 57:3_OZONE_DB_Position_N2	944.9->956.9
TG 57:3_OZONE_DB_Position_N3	944.9->970.9
TG 57:3_OZONE_DB_Position_N4	944.9->984.9
TG 57:3_OZONE_DB_Position_N5	944.9->998.9
TG 57:3_OZONE_DB_Position_N6	944.9->1013
TG 57:3_OZONE_DB_Position_N7	944.9->1027
TG 57:3_OZONE_DB_Position_N8	944.9->1041
TG 57:3_OZONE_DB_Position_N9	944.9->1055
TG 57:3_OZONE_DB_Position_N10	944.9->1069
TG 57:3_OZONE_DB_Position_N11	944.9->1083
TG 57:3_OZONE_DB_Position_N12	944.9->1097.1
TG 57:3_OZONE_DB_Position_N13	944.9->1111.1
TG 57:3_OZONE_DB_Position_N14	944.9->1125.1
TG 57:3_OZONE_DB_Position_N15	944.9->1139.1
TG 57:3_OZONE_DB_Position_N16	944.9->1153.1
TG 57:3_OZONE_DB_Position_N17	944.9->1167.1
TG 57:4	942.8->643.6
TG 57:4_OZONE_DB_Position_N1	942.8->940.9
TG 57:4_OZONE_DB_Position_N2	942.8->954.9
TG 57:4_OZONE_DB_Position_N3	942.8->968.9
TG 57:4_OZONE_DB_Position_N4	942.8->982.9
