Lipid Name	Transition
TAG(52:4)_FA 16:0	872.8 -> 599.8
TAG(52:4)_FA 16:1	872.8 -> 601.8
 TAG(52:3)_FA 18:0	874.8 -> 573.8
 TAG(52:3)_FA 18:1	874.8 -> 575.8
TAG(52:3)_FA 16:0	874.8 -> 601.8
TAG(52:3)_FA 16:1	874.8 -> 603.8
TAG(52:2)_FA 18:0	876.8 -> 575.8
TAG(52:2)_FA 18:1	876.8 -> 577.8
TAG(52:2)_FA 16:0	876.8 -> 603.8
TAG(52:2)_FA 16:1	876.8 -> 605.8
TAG(52:1)_FA 18:0	878.8 -> 577.8
TAG(52:1)_FA 18:1	878.8 -> 579.8
TAG(52:1)_FA 16:0	878.8 -> 605.8
TAG(52:1)_FA 16:1	878.8 -> 607.8
TAG(52:0)_FA 18:0	880.8 -> 579.8
TAG(52:0)_FA 18:1	880.8 -> 581.8
TAG(52:0)_FA 16:0	880.8 -> 607.8
TAG(52:0)_FA 16:1	880.8 -> 609.8
TAG(54:8)_FA 18:0	892.7 -> 591.696
TAG(54:8)_FA 18:1	892.7 -> 593.7
TAG(54:8)_FA 16:0	892.7 -> 619.7
TAG(54:8)_FA 16:1	892.7 -> 621.7
TAG(54:7)_FA 18:0	894.8 -> 593.8
TAG(54:7)_FA 18:1	894.8 -> 595.8
TAG(54:7)_FA 16:0	894.8 -> 621.8
TAG(54:7)_FA 16:1	894.8 -> 623.8
TAG(54:6)_FA 18:0	896.8 -> 595.8
TAG(54:6)_FA 18:1	896.8 -> 597.8
TAG(54:6)_FA 16:0	896.8 -> 623.8
TAG(54:6)_FA 16:1	896.8 -> 625.8
TAG(54:5)_FA 18:0	898.8 -> 597.8
TAG(54:5)_FA 18:1	898.8 -> 599.8
TAG(54:5)_FA 16:0	898.8 -> 625.8
TAG(54:5)_FA 16:1	898.8 -> 627.8
TAG(54:4)_FA 18:0	900.8 -> 599.8
TAG(54:4)_FA 18:1	900.8 -> 601.8
TAG(54:4)_FA 16:0	900.8 -> 627.8
TAG(54:4)_FA 16:1	900.8 -> 629.8
TAG(54:3)_FA 18:0	902.8 -> 601.8
TAG(54:3)_FA 18:1	902.8 -> 603.8
TAG(54:3)_FA 16:0	902.8 -> 629.8
TAG(54:3)_FA 16:1	902.8 -> 631.8
TAG(54:2)_FA 18:0	904.8 -> 603.8
TAG(54:2)_FA 18:1	904.8 -> 605.8
TAG(54:2)_FA 16:0	904.8 -> 631.8
TAG(54:2)_FA 16:1	904.8 -> 633.8
TAG(54:1)_FA 18:0	906.8 -> 605.8
TAG(54:1)_FA 18:1	906.8 -> 607.8
TAG(54:1)_FA 16:0	906.8 -> 633.8
TAG(54:1)_FA 16:1	906.8 -> 635.8
TAG(54:0)_FA 18:0	908.9 -> 607.896
TAG(54:0)_FA 18:1	908.9 -> 609.9
TAG(54:0)_FA 16:0	908.9 -> 635.9
TAG(54:0)_FA 16:1	908.9 -> 637.9
TAG(56:8)_FA 18:0	920.8 -> 619.8
TAG(56:8)_FA 16:0	920.8 -> 647.8
TAG(56:8)_FA 16:1	920.8 -> 649.796
TAG(56:7)_FA 18:0	922.8 -> 621.8
TAG(56:7)_FA 16:0	922.8 -> 649.8
TAG(56:7)_FA 16:1	922.8 -> 651.8
TAG(56:6)_FA 18:0	924.8 -> 623.8
TAG(56:6)_FA 16:0	924.8 -> 651.8
TAG(56:6)_FA 16:1	924.8 -> 653.8
TAG(56:5)_FA 18:0	926.8 -> 625.8
TAG(56:5)_FA 16:0	926.8 -> 653.8
TAG(56:5)_FA 16:1	926.8 -> 655.8
TAG(56:4)_FA 18:0	928.8 -> 627.8
TAG(56:4)_FA 16:0	928.8 -> 655.8
TAG(56:4)_FA 16:1	928.8 -> 657.8
TAG(56:3)_FA 18:0	930.8 -> 629.8
TAG(56:3)_FA 16:0	930.8 -> 657.8
TAG(56:3)_FA 16:1	930.8 -> 659.8
TAG(56:2)_FA 18:0	932.9 -> 631.9
TAG(56:2)_FA 16:0	932.9 -> 659.9
TAG(56:2)_FA 16:1	932.9 -> 661.9
TAG(56:1)_FA 18:0	934.9 -> 633.9
TAG(56:1)_FA 16:0	934.9 -> 661.9
TAG(56:1)_FA 16:1	934.9 -> 663.9
TAG(56:0)_FA 18:0	936.9 -> 635.9
TAG(56:0)_FA 16:0	936.9 -> 663.9
TAG(56:0)_FA 16:1	936.9 -> 665.9
TAG(58:10)_FA 18:0	944.8 -> 643.8
TAG(58:10)_FA 16:0	944.8 -> 671.8
TAG(58:10)_FA 16:1	944.8 -> 673.8
TAG(58:9)_FA 18:0	946.8 -> 645.8
TAG(58:9)_FA 16:0	946.8 -> 673.8
TAG(58:9)_FA 16:1	946.8 -> 675.8
TAG(58:8)_FA 18:0	948.8 -> 647.8
TAG(58:8)_FA 16:0	948.8 -> 675.8
TAG(58:8)_FA 16:1	948.8 -> 677.8
TAG(58:7)_FA 18:0	950.8 -> 649.8
TAG(58:7)_FA 16:0	950.8 -> 677.8
TAG(58:7)_FA 16:1	950.8 -> 679.8
TAG(58:6)_FA 18:0	952.8 -> 651.8
TAG(58:6)_FA 16:0	952.8 -> 679.8
TAG(58:6)_FA 16:1	952.8 -> 681.8
TAG(58:5)_FA 18:0	954.8 -> 653.8
TAG(58:5)_FA 16:0	954.8 -> 681.8
TAG(58:5)_FA 16:1	954.8 -> 683.8
TAG(58:4)_FA 18:0	956.9 -> 655.9
TAG(58:4)_FA 16:0	956.9 -> 683.9
TAG(58:4)_FA 16:1	956.9 -> 685.9
TAG(58:3)_FA 18:0	958.9 -> 657.9
TAG(58:3)_FA 16:0	958.9 -> 685.9
TAG(58:3)_FA 16:1	958.9 -> 687.9
TAG(58:2)_FA 18:0	960.9 -> 659.9
TAG(58:2)_FA 16:0	960.9 -> 687.9
TAG(58:2)_FA 16:1	960.9 -> 689.9
TAG(58:1)_FA 18:0	962.9 -> 661.9
TAG(58:1)_FA 16:0	962.9 -> 689.9
TAG(58:1)_FA 16:1	962.9 -> 691.9
TAG(58:0)_FA 18:0	964.9 -> 663.9
TAG(58:0)_FA 16:0	964.9 -> 691.9
TAG(58:0)_FA 16:1	964.9 -> 693.9
TAG(60:12)_FA 18:0	968.9 -> 667.9
TAG(60:12)_FA 16:0	968.9 -> 695.9
TAG(60:12)_FA 16:1	968.9 -> 697.9
TAG(60:11)_FA 18:0	970.9 -> 669.9
TAG(60:11)_FA 16:0	970.9 -> 697.9
TAG(60:11)_FA 16:1	970.9 -> 699.9
TAG(60:10)_FA 18:0	972.9 -> 671.9
TAG(60:10)_FA 16:0	972.9 -> 699.9
TAG(60:10)_FA 16:1	972.9 -> 701.9
TAG(60:9)_FA 18:0	974.9 -> 673.9
TAG(60:9)_FA 16:0	974.9 -> 701.9
TAG(60:9)_FA 16:1	974.9 -> 703.9
TAG(60:8)_FA 18:0	976.9 -> 675.9
TAG(60:8)_FA 16:0	976.9 -> 703.9
TAG(60:8)_FA 16:1	976.9 -> 705.9
TAG(60:7)_FA 18:0	978.9 -> 677.9
TAG(60:7)_FA 16:0	978.9 -> 705.9
TAG(60:7)_FA 16:1	978.9 -> 707.9
TAG(60:6)_FA 18:0	980.9 -> 679.9
TAG(60:6)_FA 16:0	980.9 -> 707.9
TAG(60:6)_FA 16:1	980.9 -> 709.9
TAG(60:5)_FA 18:0	982.9 -> 681.9
TAG(60:5)_FA 16:0	982.9 -> 709.9
TAG(60:5)_FA 16:1	982.9 -> 711.9
TAG(60:4)_FA 18:0	984.9 -> 683.9
TAG(60:4)_FA 16:0	984.9 -> 711.9
TAG(60:4)_FA 16:1	984.9 -> 713.9
TAG(60:3)_FA 18:0	986.9 -> 685.9
TAG(60:3)_FA 16:0	986.9 -> 713.9
TAG(60:3)_FA 16:1	986.9 -> 715.9
TAG(60:2)_FA 18:0	988.9 -> 687.9
TAG(60:2)_FA 16:0	988.9 -> 715.9
TAG(60:2)_FA 16:1	988.9 -> 717.9
TAG(60:1)_FA 18:0	990.9 -> 689.9
TAG(60:1)_FA 16:0	990.9 -> 717.9
TAG(60:1)_FA 16:1	990.9 -> 719.9
TAG(60:0)_FA 18:0	992.9 -> 691.9
TAG(60:0)_FA 16:0	992.9 -> 719.9
TAG(60:0)_FA 16:1	992.9 -> 721.9
TAG(48:3)_FA 18:2	818.8 -> 521.8
TAG(48:2)_FA 18:2	820.8 -> 523.8
TAG(48:1)_FA 18:2	822.8 -> 525.8
TAG(48:0)_FA 18:2	824.8 -> 527.796
TAG(50:4)_FA 18:2	846.8 -> 549.8
TAG(50:3)_FA 18:2	848.8 -> 551.8
TAG(50:2)_FA 18:2	850.8 -> 553.8
TAG(50:1)_FA 18:2	852.8 -> 555.8
TAG(52:6)_FA 20:0	868.7 -> 539.7
TAG(52:6)_FA 20:4	868.7 -> 547.7
TAG(52:6)_FA 18:2	868.7 -> 571.7
TAG(52:5)_FA 20:0	870.8 -> 541.8
TAG(52:5)_FA 20:4	870.8 -> 549.796
TAG(52:5)_FA 18:2	870.8 -> 573.8
TAG(52:4)_FA 20:0	872.8 -> 543.8
TAG(52:4)_FA 20:4	872.8 -> 551.8
TAG(52:4)_FA 18:2	872.8 -> 575.8
TAG(52:3)_FA 20:0	874.8 -> 545.8
TAG(52:3)_FA 20:4	874.8 -> 553.8
TAG(52:3)_FA 18:2	874.8 -> 577.8
TAG(52:2)_FA 20:0	876.8 -> 547.8
TAG(52:2)_FA 20:4	876.8 -> 555.8
TAG(52:2)_FA 18:2	876.8 -> 579.8
TAG(52:1)_FA20:0	878.8 -> 549.8
TAG(52:1)_FA 20:4	878.8 -> 557.8
TAG(52:1)_FA 18:2	878.8 -> 581.8
TAG(52:0)_FA 20:0	880.8 -> 551.8
TAG(52:0)_FA 20:4	880.8 -> 559.8
TAG(52:0)_FA 18:2	880.8 -> 583.8
TAG(54:8)_FA 20:0	892.7 -> 563.7
TAG(54:8)_FA 20:4	892.7 -> 571.7
TAG(54:8)_FA 18:2	892.7 -> 595.7
TAG(54:7)_FA 20:0	894.8 -> 565.8
TAG(54:7)_FA 20:4	894.8 -> 573.8
TAG(54:7)_FA 18:2	894.8 -> 597.8
TAG(54:6)_FA 20:0	896.8 -> 567.8
TAG(54:6)_FA 20:4	896.8 -> 575.8
TAG(54:6)_FA 18:2	896.8 -> 599.8
TAG(54:5)_FA 20:0	898.8 -> 569.8
TAG(54:5)_FA 20:4	898.8 -> 577.8
TAG(54:5)_FA 18:2	898.8 -> 601.8
TAG(54:4)_FA 20:0	900.8 -> 571.8
TAG(54:4)_FA 20:4	900.8 -> 579.8
TAG(54:4)_FA 18:2	900.8 -> 603.8
TAG(54:3)_FA 20:0	902.8 -> 573.8
TAG(54:3)_FA 20:4	902.8 -> 581.8
TAG(54:3)_FA 18:2	902.8 -> 605.8
TAG(54:2)_FA 20:0	904.8 -> 575.8
TAG(54:2)_FA 20:4	904.8 -> 583.8
TAG(54:2)_FA 18:2	904.8 -> 607.8
TAG(54:1)_FA 20:0	906.8 -> 577.8
TAG(54:1)_FA 20:4	906.8 -> 585.8
TAG(54:1)_FA 18:2	906.8 -> 609.8
TAG(54:0)_FA 20:0	908.9 -> 579.9
TAG(54:0)_FA 20:4	908.9 -> 587.9
TAG(54:0)_FA 18:2	908.9 -> 611.9
TAG(56:8)_FA 20:0	920.8 -> 591.8
TAG(56:8)_FA 20:4	920.8 -> 599.8
TAG(56:8)_FA 18:1	920.8 -> 621.8
TAG(56:8)_FA 18:2	920.8 -> 623.8
TAG(56:7)_FA 20:0	922.8 -> 593.8
TAG(56:7)_FA 20:4	922.8 -> 601.8
TAG(56:7)_FA 18:1	922.8 -> 623.8
TAG(56:7)_FA 18:2	922.8 -> 625.8
TAG(56:6)_FA 20:0	924.8 -> 595.8
TAG(56:6)_FA 20:4	924.8 -> 603.8
TAG(56:6)_FA 18:1	924.8 -> 625.8
TAG(56:6)_FA 18:2	924.8 -> 627.8
TAG(56:5)_FA 20:0	926.8 -> 597.8
TAG(56:5)_FA 20:4	926.8 -> 605.8
TAG(56:5)_FA 18:1	926.8 -> 627.796
TAG(56:5)_FA 18:2	926.8 -> 629.8
TAG(56:4)_FA 20:0	928.8 -> 599.8
TAG(56:4)_FA 20:4	928.8 -> 607.8
TAG(56:4)_FA 18:1	928.8 -> 629.8
TAG(56:4)_FA 18:2	928.8 -> 631.8
TAG(56:3)_FA 20:0	930.8 -> 601.8
TAG(56:3)_FA 20:4	930.8 -> 609.8
TAG(56:3)_FA 18:1	930.8 -> 631.796
TAG(56:3)_FA 18:2	930.8 -> 633.8
TAG(56:2)_FA 20:0	932.9 -> 603.9
TAG(56:2)_FA 20:4	932.9 -> 611.9
TAG(56:2)_FA 18:1	932.9 -> 633.9
TAG(56:2)_FA 18:2	932.9 -> 635.9
TAG(56:1)_FA 20:0	934.9 -> 605.896
TAG(56:1)_FA 20:4	934.9 -> 613.9
TAG(56:1)_FA 18:1	934.9 -> 635.9
TAG(56:1)_FA 18:2	934.9 -> 637.896
TAG(56:0)_FA 20:0	936.9 -> 607.9
TAG(56:0)_FA 20:4	936.9 -> 615.9
TAG(56:0)_FA 18:1	936.9 -> 637.896
TAG(56:0)_FA 18:2	936.9 -> 639.896
TAG(58:10)_FA 20:0	944.8 -> 615.8
TAG(58:10)_FA 20:4	944.8 -> 623.8
TAG(58:10)_FA 18:1	944.8 -> 645.8
TAG(58:10)_FA 18:2	944.8 -> 647.8
TAG(58:9)_FA 20:0	946.8 -> 617.8
TAG(58:9)_FA 20:4	946.8 -> 625.8
TAG(58:9)_FA 18:1	946.8 -> 647.8
TAG(58:9)_FA 18:2	946.8 -> 649.8
TAG(58:8)_FA 20:0	948.8 -> 619.796
TAG(58:8)_FA 20:4	948.8 -> 627.8
TAG(58:8)_FA 18:1	948.8 -> 649.8
TAG(58:8)_FA 18:2	948.8 -> 651.8
TAG(58:7)_FA 20:0	950.8 -> 621.8
TAG(58:7)_FA 20:4	950.8 -> 629.8
TAG(58:7)_FA 18:1	950.8 -> 651.8
TAG(58:7)_FA 18:2	950.8 -> 653.8
TAG(58:6)_FA 20:0	952.8 -> 623.8
TAG(58:6)_FA 20:4	952.8 -> 631.8
TAG(58:6)_FA 18:1	952.8 -> 653.8
TAG(58:6)_FA 18:2	952.8 -> 655.8
TAG(58:5)_FA 20:0	954.8 -> 625.8
TAG(58:5)_FA 20:4	954.8 -> 633.8
TAG(58:5)_FA 18:1	954.8 -> 655.8
TAG(58:5)_FA 18:2	954.8 -> 657.8
TAG(58:4)_FA 20:0	956.9 -> 627.9
TAG(58:4)_FA 20:4	956.9 -> 635.9
TAG(58:4)_FA 18:1	956.9 -> 657.9
TAG(58:4)_FA 18:2	956.9 -> 659.9
TAG(58:3)_FA 20:0	958.9 -> 629.9
TAG(58:3)_FA 20:4	958.9 -> 637.9
TAG(58:3)_FA 18:1	958.9 -> 659.896
TAG(58:3)_FA 18:2	958.9 -> 661.9
TAG(58:2)_FA 20:0	960.9 -> 631.9
TAG(58:2)_FA 20:4	960.9 -> 639.9
TAG(58:2)_FA 18:1	960.9 -> 661.9
TAG(58:2)_FA 18:2	960.9 -> 663.9
TAG(58:1)_FA 20:0	962.9 -> 633.9
TAG(58:1)_FA 20:4	962.9 -> 641.9
TAG(58:1)_FA 18:1	962.9 -> 663.9
TAG(58:1)_FA 18:2	962.9 -> 665.9
TAG(58:0)_FA 20:0	964.9 -> 635.9
TAG(58:0)_FA 20:4	964.9 -> 643.9
TAG(58:0)_FA 18:1	964.9 -> 665.9
TAG(58:0)_FA 18:2	964.9 -> 667.9
TAG(60:12)_FA 20:0	968.9 -> 639.9
TAG(60:12)_FA 20:4	968.9 -> 647.9
TAG(60:12)_FA 18:1	968.9 -> 669.9
TAG(60:12)_FA 18:2	968.9 -> 671.9
TAG(60:11)_FA 20:0	970.9 -> 641.9
TAG(60:11)_FA 20:4	970.9 -> 649.9
TAG(60:11)_FA 18:1	970.9 -> 671.9
TAG(60:11)_FA 18:2	970.9 -> 673.9
TAG(60:10)_FA 20:0	972.9 -> 643.9
TAG(60:10)_FA 20:4	972.9 -> 651.9
TAG(60:10)_FA 18:1	972.9 -> 673.9
TAG(60:10)_FA 18:2	972.9 -> 675.9
TAG(60:9)_FA 20:0	974.9 -> 645.9
TAG(60:9)_FA 20:4	974.9 -> 653.9
TAG(60:9)_FA 18:1	974.9 -> 675.896
TAG(60:9)_FA 18:2	974.9 -> 677.9
TAG(60:8)_FA 20:0	976.9 -> 647.9
TAG(60:8)_FA 20:4	976.9 -> 655.9
TAG(60:8)_FA 18:1	976.9 -> 677.9
TAG(60:8)_FA 18:2	976.9 -> 679.9
TAG(60:7)_FA 20:0	978.9 -> 649.9
TAG(60:7)_FA 20:4	978.9 -> 657.9
TAG(60:7)_FA 18:1	978.9 -> 679.896
TAG(60:7)_FA 18:2	978.9 -> 681.9
TAG(60:6)_FA 20:0	980.9 -> 651.9
TAG(60:6)_FA 20:4	980.9 -> 659.9
TAG(60:6)_FA 18:1	980.9 -> 681.9
TAG(60:6)_FA 18:2	980.9 -> 683.9
TAG(60:5)_FA 20:0	982.9 -> 653.9
TAG(60:5)_FA 20:4	982.9 -> 661.9
TAG(60:5)_FA 18:1	982.9 -> 683.9
TAG(60:5)_FA 18:2	982.9 -> 685.9
TAG(60:4)_FA 20:0	984.9 -> 655.9
TAG(60:4)_FA 20:4	984.9 -> 663.9
TAG(60:4)_FA 18:1	984.9 -> 685.896
TAG(60:4)_FA 18:2	984.9 -> 687.9
TAG(60:3)_FA 20:0	986.9 -> 657.9
TAG(60:3)_FA 20:4	986.9 -> 665.9
TAG(60:3)_FA 18:1	986.9 -> 687.9
TAG(60:3)_FA 18:2	986.9 -> 689.9
TAG(60:2)_FA 20:0	988.9 -> 659.896
TAG(60:2)_FA 20:4	988.9 -> 667.9
TAG(60:2)_FA 18:1	988.9 -> 689.896
TAG(60:2)_FA 18:2	988.9 -> 691.9
TAG(60:1)_FA 20:0	990.9 -> 661.9
TAG(60:1)_FA 20:4	990.9 -> 669.9
TAG(60:1)_FA 18:1	990.9 -> 691.9
TAG(60:1)_FA 18:2	990.9 -> 693.9
TAG(60:0)_FA 20:0	992.9 -> 663.9
TAG(60:0)_FA 20:4	992.9 -> 671.9
TAG(60:0)_FA 18:1	992.9 -> 693.9
TAG(60:0)_FA 18:2	992.9 -> 695.9
C32:0	479.4 -> 479.4
C30:0	451.4 -> 451.4
C28:0	423.4 -> 423.4
C26:0	395.3 -> 395.3
C26:1	393.3 -> 393.3
20-carboxy-RvE1	379 -> 195
RvD2	375 -> 233
RvD1	375 -> 215
omega-hydroxy-PD1	375 -> 195
6-ketePGF1a	369.5 -> 163.1
TBX2	369 -> 169
C24:0	367.3 -> 367.3
C24:1	365.3 -> 365.3
20-COOH LTB4 / 20-Hydroxy_RvE1 / 19-hydroxy-RvE1	365 -> 195
17-HpDoHE (4)	359.3 -> 111.2
8-HpDoHE (8)	359.3 -> 108.3
19-HpDoHE (1)	359.3 -> 83.1
5-HpDoHE (9)	359.2 -> 281.3
16-HpDoHE (3)	359.2 -> 233.2
5-HpDoHE (9)	359.2 -> 147.2
4-HpDoHE (10)	359.2 -> 115.1
11-HpDoHE (7)	359.1 -> 243.2
7-HpDoHE (8)	359.1 -> 201.2
10-HpDoHE (7)	359.1 -> 188.2
14-HpDoHE (6)	359.1 -> 151.1
13-HpDoHE (5)	359.1 -> 121.1
20-HpDoHE (2)	359.1 -> 71.1
RvD6	359 -> 257
03/01/2018	359 -> 250
PD1	359 -> 153
RvD5	359 -> 137
C24:6	355.3 -> 355.3
C24:5	353.3 -> 353.3
PGF2a	353 -> 193
PGE2 / PGD2	351.4 -> 271.3
PGD2	351 -> 233
LXB4	351 -> 221
10,11-dihydro-RvE1	351 -> 197
20-OH LTB4	351 -> 195
PGE2	351 -> 189
LXA4 / 5S,6R-LXA	351 -> 115
RvE1	349 -> 195
18-oxo-RvE1	347 -> 291
5-HDoHE (20)	343.2 -> 93.1
5-HDoHE (20)	343.2 -> 85.1
20-HDoHE (12)	343.1 -> 285.1
19-HDoHE (11)	343.1 -> 273.3
16-HDoHE (13)	343.1 -> 261.1
20-HDoHE (12)	343.1 -> 241.1
16-HDoHE (13)	343.1 -> 233.2
19-HDoHE (11)	343.1 -> 229.1
13-HDoHE (15)	343.1 -> 221.1
17-HDoHE (14)	343.1 -> 201.1
13-HDoHE (15)	343.1 -> 193.2
8-HDoHE (19)	343.1 -> 189.2
10-HDoHE (17)	343.1 -> 181.1
11-HDoHE (18)	343.1 -> 165.1
14-HDoHE (16)	343.1 -> 161.2
10-HDoHE (17)	343.1 -> 153.1
11-HDoHE (18)	343.1 -> 149.2
4-HDoHE (21)	343.1 -> 115.1
8-HDoHE (19)	343.1 -> 113.1
7-HDoHE (19)	343.1 -> 109.1
17-HDHA / 17-HDoHE	343 -> 245
14-HDHA / 14-HDoHE	343 -> 205
13-HDHA	343 -> 193
7-HDHA / 7-HDoHE	343 -> 141
4-HDHA / 4-HDoHE	343 -> 101
4-HpDoHE (10)	341.3 -> 115.1
8-HpDoHE (8)	341.3 -> 113.1
17-HpDoHE (4)	341.3 -> 111.2
19-HpDoHE (1)	341.3 -> 83.1
16-HpDoHE (3)	341.2 -> 233.2
11-HpDoHE (7)	341.1 -> 243.2
7-HpDoHE (8)	341.1 -> 201.2
10-HpDoHE (7)	341.1 -> 188.2
14-HpDoHE (6)	341.1 -> 151.1
13-HpDoHE (5)	341.1 -> 121.1
20-HpDoHE (2)	341.1 -> 71.1
C22:0	339.3 -> 339.3
14,15DHET	337.5 -> 207
11,12DHET	337.5 -> 167
C22:1	337.3 -> 337.3
5,6DHET / 8,9DHET	337.3 -> 319
LTB4	335.3 -> 195.1
LTB4	335.3 -> 192.1
PGA1	335.2 -> 317.1
PGB2	333.3 -> 271.2
PGB2	333 -> 235
PGA2	333 -> 189
C22:4	331.3 -> 331.3
C22:5	329.3 -> 329.3
C22:6	327.3 -> 327.3
12(S)-HETE-d8	327.2 -> 184.2
5(S)-HETE-d8	327.2 -> 116.1
DHA	327 -> 283
20HETE - 16HETE - 14,15EET	319.3 -> 319.3
19HETE	319.3 -> 274
12HETE	319.3 -> 257.3
12HETE	319.3 -> 179
11,12EET	319.3 -> 167.2
8HETE	319.3 -> 155.1
9HETE	319.3 -> 150.7
9HETE	319.3 -> 123
8,9EET	319.3 -> 68.7
15-HETE	319 -> 219
15HETE	319 -> 175
5HETE	319 -> 115
5OxoETE	317.5 -> 108.8
18-HEPE	317 -> 259
15-HETE	317 -> 219
5-oxo-ETE	317 -> 203
11HETE	317 -> 195
12-HETE	317 -> 179
12-oxo-ETE	317 -> 179
RvE2	317 -> 115
15-deoxy-PGJ2	315.4 -> 271.3
5,15-DiHETE	315 -> 201
9,10-DiHOME	313.5 -> 313.5
C20:0	311.3 -> 311.3
C20:1	309.3 -> 309.3
C20:3	305.3 -> 305.3
C20:4	303.3 -> 303.3
AA	303 -> 259
C20:5	301.3 -> 301.3
EPA	301 -> 257
C19:0	297.3 -> 297.3
12,13EpOME	295.5 -> 295.5
13HODE	295.5 -> 277.1
9HODE	295.2 -> 171.2
C18:0	283.3 -> 283.3
C18:1	281.3 -> 281.3
C18:2	279.3 -> 279.3
C18:3	277.3 -> 277.3
C18:4	275.3 -> 275.3
C17:0	269.3 -> 269.3
C17:1	267.3 -> 267.3
C16:0	255.3 -> 255.3
C16:1	253.3 -> 253.3
C15:0	241.3 -> 241.3
C15:1	239.3 -> 239.3
C14:0	227.3 -> 227.3
C14:1	225.2 -> 225.2
C12:0	199.2 -> 199.2
C12:1	197.2 -> 197.2
C34:0	507.5 -> 507.5
STD_15:0-18:1(d7)-15:0 TAG	829.8 -> 570.8
STD_15:0-18:1(d7)-15:0 TAG	829.8 -> 530.8
STD_15:0-18:1(d7) PG (Na Salt)	758.54 -> 569.54
STD_15:0-18:1(d7) PS (Na Salt)	754.53 -> 569.53
STD_15:0-18:1(d7) PC	754.11 -> 184.1
STD_d18:1-18:1(d9) SM	738.64 -> 184.1
STD_15:0-18:1(d7) PE	711.56 -> 570.56
STD_18:1(d7) Chol Ester	675.64 -> 369.1
STD 18:1(d7) MAG	381.34 -> 82.34
STD_15:0-18:1(d7) PI (NH4 Salt)	846.6 -> 569.6
1_(+)-alpha-Tocopherol	429.4 -> 414.4
2_(+)-alpha-Tocopherol	429.4 -> 163.1
3_(+)-alpha-Tocopherol	429.4 -> 135.1
4_(+)-alpha-Tocopherol	431.4 -> 430.4
5_(+)-alpha-Tocopherol	431.4 -> 165.1
6_(+)-alpha-Tocopherol	431.4 -> 69.1
1_Alanine	88 -> 42
2_Alanine	90 -> 72
3_Alanine	90 -> 45
1_Carotene	536.4 -> 445.4
2_Carotene	536.4 -> 444.4
3_Carotene	536.4 -> 161.1
1_Cryptoxanthin	552.4 -> 551.4
2_Cryptoxanthin	552.4 -> 460.4
3_Cryptoxanthin	552.4 -> 119.1
1_D-Glucose	179.1 -> 89
2_D-Glucose	179.1 -> 71
3_D-Glucose	179.1 -> 59
4_D-Glucose	163.1 -> 97
5_D-Glucose	163.1 -> 85
6_D-Glucose	163.1 -> 73
1_ketoisovaleric acid	115 -> 114
2_ketoisovaleric acid	115 -> 70
3_ketoisovaleric acid	115 -> 69
1_2-Aminoadipic acid	160.1 -> 116.1
2_2-Aminoadipic acid	160.1 -> 142.1
3_2-Aminoadipic acid	160.1 -> 98.1
4_2-Aminoadipic acid	162.1 -> 144.1
5_2-Aminoadipic acid	162.1 -> 98.1
6_2-Aminoadipic acid	162.1 -> 55
_2-hydroxy-butanoic acid	103 -> 57.1
1_2-isopropylmalate	175.1 -> 115
2_2-isopropylmalate	175.1 -> 113.1
3_2-isopropylmalate	175.1 -> 85.1
4_2-isopropylmalate	177.1 -> 131.1
5_2-isopropylmalate	177.1 -> 95
6_2-isopropylmalate	177.1 -> 71
1_2-Isopropylmalic acid	175.1 -> 150
2_2-Isopropylmalic acid	175.1 -> 115
3_2-Isopropylmalic acid	175.1 -> 113.1
4_2-Isopropylmalic acid	175.1 -> 85.1
5_2-Isopropylmalic acid	177.1 -> 131.1
6_2-Isopropylmalic acid	177.1 -> 95
7_2-Isopropylmalic acid	177.1 -> 71
1_3-Indoleacetic Acid	174.1 -> 130
2_3-Indoleacetic Acid	174.1 -> 128
3_3-Indoleacetic Acid	176.1 -> 130
4_3-Indoleacetic Acid	176.1 -> 103
1_4-Hydroxy-L-proline	130.1 -> 98.3
2_4-Hydroxy-L-proline	132.1 -> 86
3_4-Hydroxy-L-proline	132.1 -> 68
1_5'-CMP	322 -> 97
2_5'-CMP	322 -> 79
3_5'-CMP	324.1 -> 112.1
4_5'-CMP	324.1 -> 97
5_5'-CMP	324.1 -> 95
1_6-Hydroxynicotinic acid	138 -> 94
2_6-Hydroxynicotinic acid	138 -> 42
3_6-Hydroxynicotinic acid	140 -> 122
4_6-Hydroxynicotinic acid	140 -> 94
5_6-Hydroxynicotinic acid	140 -> 78
1_Acetyl CoA	850.1 -> 419
2_Acetyl CoA	850.1 -> 408
3_Acetyl CoA	850.1 -> 766.1
1_Acetylcarnitine	204.1 -> 145.1
2_Acetylcarnitine	204.1 -> 85
3_Acetylcarnitine	204.1 -> 60.1
1_Aconitic acid	173 -> 129
2_Aconitic acid	173 -> 111
3_Aconitic acid	173 -> 85
4_Aconitic acid	175 -> 139
5_Aconitic acid	175 -> 111
6_Aconitic acid	175 -> 69
1_Adenine	134 -> 106.9
2_Adenine	134 -> 92
3_Adenine	136.1 -> 119
4_Adenine	136.1 -> 92
1_adipic acid	145.1 -> 101.1
2_adipic acid	145.1 -> 83.1
3_adipic acid	145.1 -> 81
1_ADP	426 -> 158.9
2_ADP	426 -> 134
3_ADP	426 -> 79
4_ADP	428 -> 348.1
5_ADP	428 -> 136.1
6_ADP	428 -> 97
