lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
LPS(P-18:0),-0.2753418973968256,4.500246365353007,0.634175321654652,0.42582790197435244,0.8502041449154037,PS,48902.263244628906,61934.26446533203,86010.40606689453,51073.24351119995,64677.74456787109,78279.42590332031,67347.48455810547,59395.304443359375,57963.00383377075,56123.26416015625,78425.62512207031,54120.14404296875
omega-linoleoyloxy-Cer(d18:0/26:0),-0.2987594085329137,4.181580661277333,0.7466733602541349,0.38753151276556136,0.8502041449154037,Cer,24008.62170791626,23630.5216217041,22195.48147583008,24006.061878204346,20496.66142272949,26003.221824646,24430.741706848145,24674.98173522949,23356.96175384521,23756.32154846192,22763.90156936645,203341.87295532227
omega-linoleoyloxy-Cer(d18:0/28:0),-0.27772921627675634,1.9142071205100573,0.6448603262090273,0.42195626311388273,0.8502041449154037,Cer,10769.740741729736,8860.62057876587,8666.56063079834,9938.72066116333,8689.100631713867,9245.30061340332,8452.980628967285,11021.060859680176,9500.900661468506,9473.980716705322,8639.180698394775,15195.06105041504
omega-linoleoyloxy-Cer(d18:0/30:0),-0.29448212386667105,1.7763488383377348,0.7250643315896359,0.39448772416276207,0.8502041449154037,Cer,8585.880615234375,8795.360649108887,8120.960586547852,8296.200565338135,7885.440612792969,8415.180683135986,8694.900619506836,9404.520694732666,8277.640613555908,7555.300552368164,8553.300594329834,14667.620876312256
omega-linoleoyloxy-Cer(d18:0/31:0),-0.32464634881534293,1.641078759387282,0.881430810446659,0.347810091284285,0.8502041449154037,Cer,7295.720527648926,7772.420585632324,8208.220539093018,8299.040592193604,8078.94055557251,9613.54071044922,8359.68058013916,8601.280632019043,7887.900547027588,8783.200634002686,8176.280570983887,10269.740734100342
omega-linoleoyloxy-Cer(d18:0/33:0),-0.2630691459627837,1.6469379912095825,0.5784259836045464,0.44692994728365115,0.8502041449154037,Cer,9092.96061706543,8020.30057144165,6501.440406799316,8100.5605964660645,8354.16053390503,8187.500610351562,8117.640579223633,8466.180644989014,7745.420547485352,8881.380588531494,6974.980503082275,11156.840755462646
omega-linoleoyloxy-Cer(d18:1/32:0),-0.29679690447093504,0.8012248873488889,0.7359611832656157,0.39095773476545104,0.8502041449154037,Cer,4296.840305328369,3587.2002487182617,4491.160293579102,4220.240264892578,3725.240261077881,4761.580341339111,3872.700244903565,4038.1802978515625,4654.960330963135,4272.540287017822,4197.980285644531,8242.940532684326
omega-linoleoyloxy-Cer(d18:2/30:0),-0.2660467770486844,1.7883288718591206,0.591659142909954,0.4417782546829614,0.8502041449154037,Cer,8895.640762329102,8704.900646209717,9539.720699310305,9026.280632019045,9223.200649261476,8379.740631103516,8477.860557556152,9308.000701904297,8198.78065109253,9305.060726165771,9152.380722045898,12613.620910644531
omega-linoleoyloxy-Cer(d18:2/32:0),-0.3113337931746257,1.5416053443442175,0.8104575115360717,0.3679850218426801,0.8502041449154037,Cer,7808.740585327148,7837.14058303833,6992.720520019531,6334.800373077393,8259.740627288818,6145.580410003662,6807.580467224121,6918.760482788086,8406.740619659424,8015.26057434082,7521.720497131348,11079.10073852539
omega-linoleoyloxy-Cer(d18:2/34:0),-0.3074599671648871,1.258911299011936,0.7902359722356493,0.37402878222049757,0.8502041449154037,Cer,6026.880424499512,6957.440517425537,3789.8002433776855,6294.880470275879,6648.660491943359,5742.260437011719,6174.900409698486,5381.960411071777,6864.9404296875,6441.420520782471,5912.000415802002,9230.960613250732
