lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
[TG(55:11)|TG(54:4)]_FA16:1,-0.7096007174763375,7.309788301208283,3.6570939672874374,0.0558309330626121,0.3672664465044668,TAG,205634.79376220703,347380.3048095703,582145.5075073242,440780.87017822266,362375.8466796875,37073.78219604492
DG(39:6)_C16:0,0.6859822354483869,6.111334256435278,3.6443550264939395,0.056259590540721466,0.3693263058699929,DAG,202396.7149658203,160715.3516845703,164512.2311477661,116781.74834823608,70121.1852645874,92743.06671142578
[TG(56:8)|TG(55:1)]_FA22:5,0.6832915589479059,5.840325164194082,3.615601434037672,0.05724002160603257,0.3749925185952585,TAG,199901.9737548828,128533.18884277344,124418.76861572266,97537.6065979004,99848.4071044922,38751.52279663086
[TG(51:8)|TG(50:1)]_FA18:0,-0.7031053517865328,8.49822031891357,3.592159520565474,0.058052757933684605,0.3787646267632443,TAG,548336.67822265625,662108.8271484375,1710081.9956054688,533614.7756347656,833618.064453125,183136.9313964844
[TG(54:6)]_FA16:1,-0.7031279657082267,7.778054749452387,3.592351360322936,0.05804605728698893,0.3787646267632443,TAG,265041.37872314453,509055.4093017578,841332.8674926758,617672.1240844727,463985.03411865234,41776.86294555664
DG(28:1)_C16:0,0.6807741089885071,5.496309852543152,3.588710382760837,0.05817337093744697,0.3787785476314012,DAG,110643.10806274414,136320.72924804688,105382.5270690918,85355.42593765259,45935.623317718506,50801.723724365234
PE(37:5)|PE(O-38:5)|PE(P-38:4),-0.7006720421556258,6.842603424867644,3.567816741793649,0.05890971622518497,0.38279342026812263,PE,166453.89306640625,205892.99487304688,385476.9486083984,305089.32067871094,243032.57885742188,86608.38684082031
[TG(64:11)|TG(63:4)]_FA22:6,0.6772728648312762,5.163905092167427,3.5514987022925197,0.05949169378499411,0.38579096355096587,TAG,102000.02726745604,84064.22547912598,48445.903381347656,66857.94486999512,66052.58517456055,50490.78399658203
[TG(50:3)]_FA18:2,-0.6981440713147389,9.274223447640676,3.5429007180973713,0.05980079439396969,0.3863139695145866,TAG,1002593.015625,1076118.244140625,2860749.5166015625,782518.9375,1655570.5224609375,297301.36279296875
[TG(64:16)|TG(63:9)|TG(62:2)]_FA22:6,0.6760986007200733,5.269964530110307,3.5391863761728932,0.05993485420057396,0.3863139695145866,TAG,116631.54766845705,94786.60626220705,53026.82418823242,78670.86560058594,74396.764892578125,39704.8630065918
