Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Genotype,Dilution Factor,Sex2,Sex,Brain Region,method_type,Blank Subtraction
PI (34:6),844.5,567.5,16789.561248779297,844.5 -> 567.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (34:6),844.5,567.5,15797.361206054688,844.5 -> 567.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (34:5),846.5,569.5,11852.400833129883,846.5 -> 569.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (34:5),846.5,569.5,9264.040664672852,846.5 -> 569.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (34:4),848.5,571.5,20604.16130065918,848.5 -> 571.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,6403.180374145508
PI (34:4),848.5,571.5,17683.581161499023,848.5 -> 571.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1184.040267944336
PI (34:3),850.5,573.5,224094.44732666016,850.5 -> 573.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,212485.08642578125
PI (34:3),850.5,573.5,229906.47053527832,850.5 -> 573.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,220106.74978637695
PI (34:0),856.6,579.6,159210.8341064453,856.6 -> 579.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,96924.38989257812
PI (34:0),856.6,579.6,155759.9951171875,856.6 -> 579.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,95865.49084472656
PIp (36:5),858.5,581.5,23804.44158935547,858.5 -> 581.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5557.780364990234
PIp (36:5),858.5,581.5,23466.241577148438,858.5 -> 581.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3170.0601196289062
"PIo (36:5), PIp (36:4)",860.5,583.5,10262.7607421875,860.5 -> 583.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
"PIo (36:5), PIp (36:4)",860.5,583.5,9769.96061706543,860.5 -> 583.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
"PIo (36:3), PIp (36:2)",864.6,587.6,22271.041107177734,864.6 -> 587.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,12271.760307312012
"PIo (36:3), PIp (36:2)",864.6,587.6,21078.321853637695,864.6 -> 587.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,10972.281158447266
"PIo (36:2), PIp (36:1)",866.6,589.6,121854.94665527344,866.6 -> 589.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,108859.56565856934
"PIo (36:2), PIp (36:1)",866.6,589.6,50417.58282470703,866.6 -> 589.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,37542.121826171875
"PIo (36:1), PIp (36:0)",868.6,591.6,77142.34460449219,868.6 -> 591.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,58127.303314208984
"PIo (36:1), PIp (36:0)",868.6,591.6,76113.6865234375,868.6 -> 591.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,55711.12496948242
PIo (36:0),870.6,593.6,49581.46273803711,870.6 -> 593.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,27688.161499023438
PIo (36:0),870.6,593.6,45453.72393798828,870.6 -> 593.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,28860.74282836914
PI (36:6),872.5,595.5,30091.26187133789,872.5 -> 595.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,16359.521057128906
PI (36:6),872.5,595.5,29950.942489624023,872.5 -> 595.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,20501.761840820312
PI (36:5),874.5,597.5,115860.41035461426,874.5 -> 597.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,106749.2297668457
PI (36:5),874.5,597.5,114655.41146850586,874.5 -> 597.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,105366.13075256348
PI (36:4),876.5,599.5,1017975.4953308105,876.5 -> 599.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1007129.954574585
PI (36:4),876.5,599.5,968888.3960876465,876.5 -> 599.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,958257.1753082275
PI (36:2),880.6,603.6,5829154.800048828,880.6 -> 603.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5795727.737854004
PI (36:2),880.6,603.6,5641016.251342773,880.6 -> 603.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5608885.70892334
PI (36:1),882.6,605.6,690620.6750488281,882.6 -> 605.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,665799.1533508301
PI (36:1),882.6,605.6,652245.837097168,882.6 -> 605.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,627419.6753540039
PI (36:0),884.6,607.6,59452.24377441406,884.6 -> 607.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,32548.401916503906
PI (36:0),884.6,607.6,54329.68341064453,884.6 -> 607.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,29404.661560058594
"PIo (38:5), PIp (38:4)",888.6,611.6,12789.800888061523,888.6 -> 611.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3447.3201599121094
"PIo (38:5), PIp (38:4)",888.6,611.6,10872.540809631348,888.6 -> 611.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2884.0403022766113
"PIo (38:4), PIp (38:3)",890.6,613.6,18663.961059570312,890.6 -> 613.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,9803.440437316895
"PIo (38:4), PIp (38:3)",890.6,613.6,17088.481033325195,890.6 -> 613.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,7880.160453796387
"PIo (38:3), PIp (38:2)",892.6,615.6,39371.882553100586,892.6 -> 615.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,29867.961868286133
"PIo (38:3), PIp (38:2)",892.6,615.6,36238.36233520508,892.6 -> 615.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,26200.201599121094
"PIo (38:2), PIp (38:1)",894.6,617.6,61106.16487121582,894.6 -> 617.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,49522.884048461914
"PIo (38:2), PIp (38:1)",894.6,617.6,61787.265197753906,894.6 -> 617.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,51466.68444824219
"PIo (38:1), PIp (38:0)",896.6,619.6,47695.684143066406,896.6 -> 619.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,32706.203155517578
"PIo (38:1), PIp (38:0)",896.6,619.6,48076.56362915039,896.6 -> 619.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,32528.322631835938
PI (38:6),900.5,623.5,100114.5853881836,900.5 -> 623.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,89179.36456298828
PI (38:6),900.5,623.5,95087.52629089355,900.5 -> 623.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,84209.34548950195
PI (38:5),902.5,625.5,156807.43269348145,902.5 -> 625.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,147519.9920654297
PI (38:5),902.5,625.5,161872.81449890137,902.5 -> 625.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,153021.51383972168
PI (38:4),904.6,627.6,190155.56977844238,904.6 -> 627.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,182416.34923553467
PI (38:4),904.6,627.6,176696.69383239746,904.6 -> 627.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,169520.8533782959
PI (38:3),906.6,629.6,245792.97732543945,906.6 -> 629.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,237043.71673583984
PI (38:3),906.6,629.6,243271.8948059082,906.6 -> 629.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,234579.95420074463
PI (38:2),908.6,631.6,238265.05877685547,908.6 -> 631.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,229757.2582321167
PI (38:2),908.6,631.6,233473.18022155762,908.6 -> 631.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,224259.31964111328
PI (38:1),910.6,633.6,56039.2639465332,910.6 -> 633.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,46220.22328186035
PI (38:1),910.6,633.6,56771.26467895508,910.6 -> 633.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,47003.103942871094
"PIo (40:6), PIp (40:5)",914.6,637.6,13420.321075439453,914.6 -> 637.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3448.660385131836
"PIo (40:6), PIp (40:5)",914.6,637.6,12064.860824584961,914.6 -> 637.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2005.8800354003906
"PIo (40:5), PIp (40:4)",916.6,639.6,17322.36117553711,916.6 -> 639.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5976.020416259766
"PIo (40:5), PIp (40:4)",916.6,639.6,17470.341278076172,916.6 -> 639.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5538.480438232422
"PIo (40:4), PIp (40:3)",918.6,641.6,12818.660949707031,918.6 -> 641.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,4527.740325927734
"PIo (40:4), PIp (40:3)",918.6,641.6,13216.480895996094,918.6 -> 641.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,4889.400329589844
"PIo (40:3), PIp (40:2)",920.6,643.6,14547.221145629883,920.6 -> 643.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,7298.620666503906
"PIo (40:3), PIp (40:2)",920.6,643.6,16170.360885620117,920.6 -> 643.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,8412.900268554688
"PIo (40:2), PIp (40:1)",922.6,645.6,19944.761489868164,922.6 -> 645.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,10410.80078125
"PIo (40:2), PIp (40:1)",922.6,645.6,20252.44155883789,922.6 -> 645.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,10505.48080444336
"PIo (40:1), PIp (40:0)",924.7,647.7,38905.983001708984,924.7 -> 647.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,25477.36212158203
"PIo (40:1), PIp (40:0)",924.7,647.7,36745.40251159668,924.7 -> 647.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,23495.261459350586
PIo (40:7),926.7,649.7,54344.76318359375,926.7 -> 649.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,43150.10238647461
PIo (40:7),926.7,649.7,55327.62446594238,926.7 -> 649.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,44302.42367553711
PI (40:6),928.6,651.6,131084.45068359375,928.6 -> 651.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,76983.00633239746
PI (40:6),928.6,651.6,130789.61204528809,928.6 -> 651.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,78939.7082824707
PI (40:5),930.6,653.6,64679.486152648926,930.6 -> 653.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,41225.32440948486
PI (40:5),930.6,653.6,64895.582122802734,930.6 -> 653.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,41412.36013793945
PI (40:4),932.6,655.6,23084.301681518555,932.6 -> 655.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,12794.080909729004
PI (40:4),932.6,655.6,21096.581115722656,932.6 -> 655.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,11684.120552062988
PI (40:3),934.6,657.6,18821.58113861084,934.6 -> 657.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,10396.740592956543
PI (40:3),934.6,657.6,19675.22152709961,934.6 -> 657.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,12076.980926513672
PI (40:2),936.6,659.6,21554.80174255371,936.6 -> 659.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,13912.041244506836
PI (40:2),936.6,659.6,18239.20118713379,936.6 -> 659.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,11994.500762939453
PI (40:0),940.7,663.7,11763.100769042969,940.7 -> 663.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,105.99993896484375
PI (40:0),940.7,663.7,10763.12075805664,940.7 -> 663.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1194.9000396728516
PIo (42:6),942.6,665.6,10124.020751953125,942.6 -> 665.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1606.9400939941406
PIo (42:6),942.6,665.6,9093.420669555664,942.6 -> 665.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1667.0601043701172
PIp (42:4),944.6,667.6,14935.041297912598,944.6 -> 667.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5213.520576477051
PIp (42:4),944.6,667.6,13639.281021118164,944.6 -> 667.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,5011.520416259766
PIo (42:4),946.6,669.6,10027.040588378906,946.6 -> 669.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2735.539993286133
PIo (42:4),946.6,669.6,10017.140609741211,946.6 -> 669.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3309.1601028442383
PIp (42:2),948.7,671.7,10217.860595703125,948.7 -> 671.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2935.5600967407227
PIp (42:2),948.7,671.7,9226.820541381836,948.7 -> 671.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2347.4000244140625
PIo (42:2),950.7,673.7,7609.480545043945,950.7 -> 673.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,14.360023498535156
PIo (42:2),950.7,673.7,10088.720687866211,950.7 -> 673.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3392.240219116211
PIo (42:1),952.7,675.7,17071.121185302734,952.7 -> 675.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,4530.840393066406
PIo (42:1),952.7,675.7,15991.60122680664,952.7 -> 675.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,4581.500442504883
PIo (42:0),954.7,677.7,10689.740692138672,954.7 -> 677.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1504.7200775146484
PIo (42:0),954.7,677.7,13560.121170043945,954.7 -> 677.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,3626.960433959961
PI (42:6),956.6,679.6,9496.600570678711,956.6 -> 679.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,2145.3800773620605
PI (42:6),956.6,679.6,7565.780540466309,956.6 -> 679.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1168.7600784301758
PI (42:5),958.6,681.6,8787.080612182617,958.6 -> 681.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1873.7401428222656
PI (42:5),958.6,681.6,6702.140548706055,958.6 -> 681.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (42:4),960.6,683.6,6778.5404052734375,960.6 -> 683.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,233.39996337890625
PI (42:4),960.6,683.6,6993.760452270508,960.6 -> 683.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1151.6199951171875
PI (42:3),962.6,685.6,8420.020584106445,962.6 -> 685.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,152.39997100830078
PI (42:3),962.6,685.6,8430.280578613281,962.6 -> 685.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,780.4000015258789
PI (42:1),966.7,689.7,7599.700546264648,966.7 -> 689.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,745.2001037597656
PI (42:1),966.7,689.7,7911.560592651367,966.7 -> 689.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1849.2201614379883
PI (42:0),968.7,691.7,6126.320465087891,968.7 -> 691.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (42:0),968.7,691.7,7811.820579528809,968.7 -> 691.7,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,37.900001525878906
PI (44:12),972.5,695.5,5675.80041885376,972.5 -> 695.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (44:12),972.5,695.5,6463.540458679199,972.5 -> 695.5,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,691.8200454711914
PI (44:10),976.6,699.6,5335.820381164551,976.6 -> 699.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (44:10),976.6,699.6,7152.520431518555,976.6 -> 699.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1720.0000457763672
PI (44:6),984.6,707.6,5968.880416870117,984.6 -> 707.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,374.35999298095703
PI (44:6),984.6,707.6,6982.920440673828,984.6 -> 707.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,1105.080062866211
PI (44:5),986.6,709.6,4978.240352630615,986.6 -> 709.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,0.0
PI (44:5),986.6,709.6,5369.70036315918,986.6 -> 709.6,PI,PI_FAD131-5xFAD-M2liver_033123_r006,FAD131-5xFAD-M2liver,FAD131,TEST,5xFAD,Test,Male,Male,Liver,PI,305.39998626708984
