,Q1,Q3,Intensity,Transition,Lipid,Class
38,870.8,571.8,5891.160377502441,870.8 -> 571.8,TAG(52:5)_FA 18:1,
39,870.8,597.8,5334.100368499756,870.8 -> 597.8,TAG(52:5)_FA 16:0,
40,870.8,599.8,6838.340492248535,870.8 -> 599.8,TAG(52:5)_FA 16:1,
41,872.8,571.8,5353.300369262695,872.8 -> 571.8,TAG(52:4)_FA 18:0,
42,872.8,573.8,8638.340621948242,872.8 -> 573.8,TAG(52:4)_FA 18:1,
43,872.8,599.8,7373.060535430908,872.8 -> 599.8,TAG(52:4)_FA 16:0,
44,872.8,601.8,8943.320693969727,872.8 -> 601.8,TAG(52:4)_FA 16:1,
45,874.8,573.8,7818.760520935059,874.8 -> 573.8, TAG(52:3)_FA 18:0,
46,874.8,575.8,11581.760864257812,874.8 -> 575.8, TAG(52:3)_FA 18:1,
47,874.8,601.8,7843.380508422852,874.8 -> 601.8,TAG(52:3)_FA 16:0,
48,874.8,603.8,13870.720977783203,874.8 -> 603.8,TAG(52:3)_FA 16:1,
49,876.8,575.8,9843.480743408203,876.8 -> 575.8,TAG(52:2)_FA 18:0,
50,876.8,577.8,29411.36181640625,876.8 -> 577.8,TAG(52:2)_FA 18:1,
51,876.8,603.8,13578.320938110352,876.8 -> 603.8,TAG(52:2)_FA 16:0,
52,876.8,605.8,11158.260787963867,876.8 -> 605.8,TAG(52:2)_FA 16:1,
53,878.8,577.8,21887.36148071289,878.8 -> 577.8,TAG(52:1)_FA 18:0,
54,878.8,579.8,56147.963928222656,878.8 -> 579.8,TAG(52:1)_FA 18:1,
55,878.8,605.8,9661.820693969727,878.8 -> 605.8,TAG(52:1)_FA 16:0,
56,878.8,607.8,19915.52130126953,878.8 -> 607.8,TAG(52:1)_FA 16:1,
57,880.8,579.8,29367.902099609375,880.8 -> 579.8,TAG(52:0)_FA 18:0,
58,880.8,581.8,11104.04077911377,880.8 -> 581.8,TAG(52:0)_FA 18:1,
59,880.8,607.8,17242.08103942871,880.8 -> 607.8,TAG(52:0)_FA 16:0,
60,880.8,609.8,8982.780578613281,880.8 -> 609.8,TAG(52:0)_FA 16:1,
61,892.7,591.7,9175.580661773682,892.7 -> 591.7,TAG(54:8)_FA 18:0,
62,892.7,593.7,13384.34098815918,892.7 -> 593.7,TAG(54:8)_FA 18:1,
63,892.7,619.7,8472.900604248047,892.7 -> 619.7,TAG(54:8)_FA 16:0,
64,892.7,621.7,9427.980712890625,892.7 -> 621.7,TAG(54:8)_FA 16:1,
65,894.8,593.8,9222.120651245117,894.8 -> 593.8,TAG(54:7)_FA 18:0,
66,894.8,595.8,7262.380546569824,894.8 -> 595.8,TAG(54:7)_FA 18:1,
67,894.8,621.8,8091.900535583496,894.8 -> 621.8,TAG(54:7)_FA 16:0,
68,894.8,623.8,7914.820571899414,894.8 -> 623.8,TAG(54:7)_FA 16:1,
69,896.8,595.8,6308.760429382324,896.8 -> 595.8,TAG(54:6)_FA 18:0,
70,896.8,597.8,6699.440460205078,896.8 -> 597.8,TAG(54:6)_FA 18:1,
71,896.8,623.8,8504.400573730469,896.8 -> 623.8,TAG(54:6)_FA 16:0,
72,896.8,625.8,7336.960590362549,896.8 -> 625.8,TAG(54:6)_FA 16:1,
73,898.8,597.8,6573.900497436523,898.8 -> 597.8,TAG(54:5)_FA 18:0,
74,898.8,599.8,10481.100891113281,898.8 -> 599.8,TAG(54:5)_FA 18:1,
75,898.8,625.8,6571.820457458496,898.8 -> 625.8,TAG(54:5)_FA 16:0,
76,898.8,627.8,7758.020561218262,898.8 -> 627.8,TAG(54:5)_FA 16:1,
77,900.8,599.8,9093.480682373047,900.8 -> 599.8,TAG(54:4)_FA 18:0,
78,900.8,601.8,18649.681297302246,900.8 -> 601.8,TAG(54:4)_FA 18:1,
79,900.8,627.8,7276.260555267334,900.8 -> 627.8,TAG(54:4)_FA 16:0,
80,900.8,629.8,6708.060493469238,900.8 -> 629.8,TAG(54:4)_FA 16:1,
81,902.8,601.8,16936.321334838867,902.8 -> 601.8,TAG(54:3)_FA 18:0,
82,902.8,603.8,66437.58450317383,902.8 -> 603.8,TAG(54:3)_FA 18:1,
83,902.8,629.8,6362.6804275512695,902.8 -> 629.8,TAG(54:3)_FA 16:0,
84,902.8,631.8,7307.820503234863,902.8 -> 631.8,TAG(54:3)_FA 16:1,
85,904.8,603.8,63995.96447753906,904.8 -> 603.8,TAG(54:2)_FA 18:0,
86,904.8,605.8,21072.301528930664,904.8 -> 605.8,TAG(54:2)_FA 18:1,
