,Q1,Q3,Intensity,Transition,Lipid,Class
72,896.8,625.8,30481.88222503662,896.8 -> 625.8,TAG(54:6)_FA 16:1,
73,898.8,597.8,7044.400466918945,898.8 -> 597.8,TAG(54:5)_FA 18:0,
74,898.8,599.8,27799.501823425293,898.8 -> 599.8,TAG(54:5)_FA 18:1,
75,898.8,625.8,31925.722244262695,898.8 -> 625.8,TAG(54:5)_FA 16:0,
76,898.8,627.8,64318.10388183594,898.8 -> 627.8,TAG(54:5)_FA 16:1,
77,900.8,599.8,26917.601928710938,900.8 -> 599.8,TAG(54:4)_FA 18:0,
78,900.8,601.8,23027.981521606445,900.8 -> 601.8,TAG(54:4)_FA 18:1,
79,900.8,627.8,67448.98483276367,900.8 -> 627.8,TAG(54:4)_FA 16:0,
80,900.8,629.8,22661.921585083008,900.8 -> 629.8,TAG(54:4)_FA 16:1,
81,902.8,601.8,24405.90153503418,902.8 -> 601.8,TAG(54:3)_FA 18:0,
82,902.8,603.8,75797.64503479004,902.8 -> 603.8,TAG(54:3)_FA 18:1,
83,902.8,629.8,24200.322036743164,902.8 -> 629.8,TAG(54:3)_FA 16:0,
