lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
TAG(58:1)_FA 18:0,-0.03446947743561288,5.910262483313668,0.004387463395573832,0.9471883991451765,0.9997100298088456,TAG,24457.94155883789,25599.68196105957,43094.2629699707,52364.76413726807,29606.78231811523,26031.10173034668,49639.1233215332,40291.50303649902,27519.06188964844,24704.081512451172
TAG(58:1)_FA 18:1,0.1760189121056287,7.598421258775279,0.11373421951124385,0.7359321841093528,0.9997100298088456,TAG,103398.5273590088,81341.1061706543,147086.67114257812,129265.8299407959,123998.54991149902,92331.74649047852,106890.82995605467,110288.64561462402,111081.32710266112,90254.94714355467
TAG(58:1)_FA 18:2,-0.04987123027106061,5.62428235780421,0.009187460662360536,0.9236387191575464,0.9997100298088456,TAG,23773.94187927246,24616.981658935547,29755.14227294922,26152.68197631836,35673.84259033203,34888.48258972168,28687.521865844727,27601.701736450195,25999.44189453125,22933.141540527344
TAG(58:1)_FA 20:0,0.1155383186946487,5.513489100903433,0.04909162075355766,0.8246515271141762,0.9997100298088456,TAG,21505.16177368164,25578.201599121097,30262.681671142574,31380.30165863037,28333.661987304688,22969.541778564453,28590.42172241211,29898.78231811523,20684.32159423828,21224.28151702881
TAG(58:1)_FA 20:4,0.002191536128253979,5.199484196839356,1.7718040908221155e-5,0.9966414901291987,0.9997100298088456,TAG,21028.12142944336,20846.40143585205,20357.98164367676,22226.601669311523,20379.18148803711,22857.841827392574,19736.081298828125,21746.241333007812,20748.56113433838,18212.781127929688
TAG(58:10)_FA 16:0,-0.12798434282584112,5.407714533518871,0.060611347172368824,0.8055322776300575,0.9997100298088456,TAG,18831.881309509277,32152.18199157715,21745.261489868164,25660.101669311523,21365.00134277344,27064.921966552734,25616.40168762207,27975.401977539062,24088.061767578125,18443.961318969727
TAG(58:10)_FA 16:1,-0.03996608441131848,5.389282290582947,0.005898848175320381,0.9387795009211185,0.9997100298088456,TAG,23343.40171813965,28227.502044677734,23988.581497192383,22162.301475524902,21876.10157775879,26481.12203979492,26468.02212905884,25588.921730041504,21287.82145690918,18418.02131652832
TAG(58:10)_FA 18:0,-0.29306929157687767,5.78237062037055,0.31874062508768475,0.5723654678323461,0.9997100298088456,TAG,25105.16145324707,20739.14143371582,24586.101486206055,42428.66381072998,36167.52242279053,38352.102279663086,33060.66246032715,46083.964012146,30256.462028503414,19410.981323242188
TAG(58:10)_FA 18:1,-0.08877483578939876,5.603534628030256,0.02913815867893274,0.8644604259599917,0.9997100298088456,TAG,23973.021926879883,26455.121856689453,25898.121742248535,31044.22200012207,29129.942237854004,32917.44255065918,29872.34230041504,31071.962371826172,23490.121696472168,23109.001846313477
TAG(58:10)_FA 18:2,0.006881176175833352,6.412768327716109,1.7467459292674903e-4,0.9894551043072617,0.9997100298088456,TAG,54203.64404296875,41421.40286254883,56251.524017333984,48709.92314147949,47841.74311828613,45868.84346008301,52903.96420288086,45545.26344299317,57161.624099731445,30040.742401123047
