lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PI (34:1),0.22287302043384047,9.587256888174846,0.13995054543556762,0.7083301817624612,0.9999800194571477,PI,151005.57047271729,522493.71728515625,61726.46446609497,662618.298828125,521818.2648925781,407357.5551757813,352098.06591796875,205596.5156555176,558142.7624511719
PI (34:2),0.019978092014473366,8.824206322873907,0.0011387584199837875,0.9730801000017104,0.9999800194571477,PI,155443.59016418457,281049.9245605469,72473.90536880493,341321.7199707031,300177.0009765625,265294.41796875,246261.97900390625,175067.23278808594,178375.07104492188
PI (34:3),-0.17208752950993417,6.654681173882924,0.0853866434408701,0.7701261194394297,0.9999800194571477,PI,21519.421577453613,71146.72482299805,12954.580947875977,67414.32431030273,66518.82473754883,67798.40533447266,65804.48477172852,28646.562286376953,47541.063903808594
PI (34:4),-0.19839279134069537,6.2457932736665915,0.11363632823793068,0.7360416088446082,0.9999800194571477,PI,15410.18102645874,63168.20497131348,9254.48063659668,41625.3028717041,50824.84323120117,48434.10368347168,56091.28399658203,19925.861457824707,34364.50213623047
PI (34:5),-0.3353270850626609,7.072115006254342,0.32678770237544086,0.5675567556833557,0.9999800194571477,PI,16998.78125,132040.6901397705,8651.660614013672,71426.06439208984,88390.84675598145,100485.00900268556,105158.14579772948,29650.18190765381,56586.20388793945
PI (34:6),-0.1254719575138032,6.43387305738923,0.045281530532520264,0.8314871964952779,0.9999800194571477,PI,19438.921447753903,64576.364807128906,10199.260757446287,57333.7635345459,58583.24380493164,56841.60369873047,58293.28451538086,22143.661529541016,39426.82279968262
PI (36:0),-0.05632231914600377,8.496907903353721,0.009090240087971324,0.9240425872416246,0.9999800194571477,PI,137971.28929519653,212924.0529785156,67455.22482299805,211070.4755859375,235751.99682617188,207433.63427734375,207045.8134765625,139423.77001953125,169436.51220703125
PI (36:1),0.19092644077540774,7.510650040115862,0.10291610084095737,0.7483578714398424,0.9999800194571477,PI,40269.66312789917,155018.57080078125,22350.541675567627,150238.36987304688,136098.16827392578,102956.58770751952,110157.0479736328,49714.62338256836,56182.664306640625
PI (36:2),0.25015118084985766,8.191542419816882,0.17598605544117163,0.674845698843904,0.9999800194571477,PI,63894.24464416504,262262.5573730469,29279.661907196045,261726.31506347656,208548.49591064453,164253.59106445312,162065.59033203125,82405.72576904297,92591.245849609375
PI (36:3),0.008853504882191172,7.277832700390685,2.2378207358997315e-4,0.988064612853634,0.9999800194571477,PI,32795.462352752686,117985.54748535156,14405.561016082764,132298.41046142578,109125.50680541992,90641.946533203125,106525.32690429688,41542.842712402344,57282.94403076172
PI (36:4),0.07939994783893531,8.199353682066542,0.017923608290402626,0.8934981924125487,0.9999800194571477,PI,28745.042106628414,227829.75540161133,13382.740940093994,337852.7849121094,238426.2767944336,152192.80908203125,235716.65893554688,76387.64454650879,49265.12387084961
PI (36:5),-0.2509830017237359,6.378873091868844,0.18234258713346208,0.6693677397005805,0.9999800194571477,PI,16861.62110900879,68126.54541015625,8720.18062210083,50386.444091796875,56218.04476928711,55670.104248046875,65358.76528930664,21327.061752319336,31696.002044677734
PI (36:6),-0.18941593179249527,6.634797764022792,0.10354010056039442,0.7476220366343934,0.9999800194571477,PI,30273.6622505188,70948.14501953125,14094.220993041992,54179.94403076172,64102.4248046875,61064.124267578125,65854.18447875977,34606.72238922119,46188.38366699219
PI (36:7),-0.13913178751571817,6.852737206745834,0.05571881356809172,0.813395168548171,0.9999800194571477,PI,28738.841930389404,69783.505859375,15507.52103805542,80101.76666259766,83681.9263305664,74295.24517822266,77077.48596191406,33368.46194458008,52231.56365966797
