lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(51:4)]_FA18:1,-0.05798131396547589,5.200030482648747,0.016761123249125376,0.8969899102295711,0.9999514498362397,TAG,82190.12509155273,94096.18612670898,73041.08578491211,77664.8656616211,101725.96704101562,29560.882431030277
[TG(51:4)]_FA18:2,-0.5335920268702914,6.751538585928028,1.38178157102584,0.2397979139762254,0.9999514498362397,TAG,147567.51000976562,294378.47900390625,124984.88934326172,109429.4871826172,671342.0671386719,55850.803955078125
[TG(51:4)]_FA18:3,-0.5416226613650471,8.52811970160685,1.4229752939136233,0.232914304462811,0.9999514498362397,TAG,565045.85986328125,918235.645263672,370858.1451416016,334844.9217529297,2381491.7807617188,219951.4962158203
[TG(51:4)]_FA20:4,0.15295944013699403,7.566413701467868,0.11775593982019927,0.7314812141720803,0.9999514498362397,TAG,545707.5966796875,484727.6345214844,260345.69805908203,219760.73571777344,847836.1198730469,89153.84588623047
[TG(51:5)]_FA14:0,0.031199920922879987,6.737753846738898,0.004873841622611508,0.9443425760033135,0.9999514498362397,TAG,315600.1813354492,245608.9990234375,200788.833190918,313716.4592285156,237364.15701293945,34294.842529296875
[TG(51:5)]_FA16:0,0.09458064594096342,9.788674999306583,0.04491464444436133,0.8321610573805599,0.9999514498362397,TAG,2931255.063415528,1999388.9141845703,1790147.5181274414,2605371.924621582,1951277.5197143557,39190.08248901367
[TG(51:5)]_FA16:1,0.12568520145786005,7.555424986615592,0.07941704709082842,0.7780889700562088,0.9999514498362397,TAG,612788.1018066406,437265.8347167969,362504.5036621094,552049.0001831055,405539.646484375,26470.341918945312
[TG(51:5)]_FA18:0,-0.01276411827014275,4.685481810725762,8.139961510451599e-4,0.9772389485045273,0.9999514498362397,TAG,61347.60400390625,61142.88436889648,51250.12347412109,57001.44387817383,61481.34411621094,24594.541870117188
[TG(51:5)]_FA18:1,0.026926267531126903,4.968936927106169,0.00362908879378665,0.9519629598594472,0.9999514498362397,TAG,75316.46533203125,81351.86624145508,64385.22470092773,73095.32516479492,72675.24459838867,23303.58172607422
[TG(51:5)]_FA18:2,-0.11313181332178071,5.326047111058301,0.06363803698206993,0.8008356162763927,0.9999514498362397,TAG,87087.845703125,98005.82681274414,70840.02474975586,81143.2258605957,125016.24743652344,36303.66229248047
[TG(51:5)]_FA18:3,-0.5561633933516008,6.956738619426439,1.4989517989233718,0.2208327152325075,0.9999514498362397,TAG,176631.97229003906,327501.6655273437,142237.3311767578,122899.12896728516,787636.8977050781,62328.64392089844
[TG(51:5)]_FA20:4,-0.2921838191382717,6.880048858061892,0.4204528427007972,0.516711171028707,0.9999514498362397,TAG,240688.6587524414,274790.6006164551,143807.75048828125,156362.67126464844,598529.399230957,85970.886962890625
[TG(51:5)]_FA22:5,0.20308669557794395,6.225829018201392,0.20798824311486896,0.6483487885173272,0.9999514498362397,TAG,214202.4553222656,178048.67211914062,152633.27020263672,140422.63067626953,179977.4730834961,64097.56451416016
[TG(51:6)]_FA14:0,-0.26865279773150275,5.206165070812224,0.3559001022524626,0.55079207794293,0.9999514498362397,TAG,71187.08514404297,69535.36456298828,75225.324951171875,70401.84509277344,88386.246826171875,61720.044494628906
[TG(51:6)]_FA16:0,0.4172877135920471,7.279613841433706,0.8846014561822811,0.3469444673164969,0.9999514498362397,TAG,462700.3839111328,364218.088256836,254935.41796875,280332.76025390625,323263.0418701172,199890.83178710935
[TG(51:6)]_FA16:1,0.17089968970545363,9.921819399971739,0.14710627449676394,0.7013161872635666,0.9999514498362397,TAG,3298346.54876709,2280555.256958008,1836135.6170959475,2911206.7399902344,2046954.2775268557,41019.22302246094
[TG(51:6)]_FA18:1,0.045323563676933264,4.815284843576862,0.01029070291269818,0.9191987225963827,0.9999514498362397,TAG,67820.38513183594,70740.28424072266,57504.40460205078,61020.36444091797,65616.88427734375,25405.641845703125
[TG(51:6)]_FA18:2,-0.05396082580627322,5.077665367164587,0.014519919970552991,0.9040881643845282,0.9999514498362397,TAG,80628.54522705078,79851.0856628418,71245.44491577148,77781.92568969727,79468.2650756836,28618.361846923828
[TG(51:6)]_FA18:3,-0.2023750066572289,5.497727700274716,0.2026980014234141,0.652551854179821,0.9999514498362397,TAG,94696.54724121094,104325.98706054688,86420.34619140625,88551.92572021484,142419.10919189453,43072.443115234375
[TG(51:6)]_FA20:4,-0.003221276209647505,6.907417245162017,5.1872724725399166e-5,0.9942534678968511,0.9999514498362397,TAG,338614.7027282715,283956.48065185547,221693.89602661133,303225.35888671875,337632.8426208496,40272.14266967773
[TG(51:6)]_FA22:5,0.6208388965189412,7.173850498075225,1.968471961461546,0.1606101480791223,0.9999514498362397,TAG,273560.87969970703,324614.2007751465,210493.0765991211,167400.17315673828,150978.55017089844,452683.09173583984
[TG(51:6)]_FA22:6,0.3491152330587652,6.4104695164408865,0.6178401607469369,0.4318510298344636,0.9999514498362397,TAG,249757.37799072263,226150.69512939453,170910.912109375,140155.49026489258,208358.03509521484,68924.44467163086
