Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
"Cer(d14:2(4E,6E)/24:0(2OH))",97095.00667953493,103279.52662658691,109186.7868118286,135510.41207885742,134164.76929092407,129998.12881469728,126046.5083694458,130150.34770584106
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",570225.5207519531,594318.3209838867,522056.5323486328,577011.7044067383,551185.817565918,593627.7808227539,581360.4057617188,557008.7744750977
"Cer(d16:2(4E,6E)/24:0(2OH))",121979.70907592772,131456.66970825195,149224.67126464844,151747.88934326172,153175.0912475586,141637.86953735352,141703.29083251953,141010.5298461914
Cer(d18:0/14:0),67271.1851272583,67354.10481262207,71797.26489257812,68996.70455932617,97305.06623840332,66863.50491333008,69065.14440917969,71425.44549560547
Cer(d18:0/16:0(2OH)),142359.94995117188,174073.97229003906,144255.1701965332,140065.92962646484,147288.75,157542.37243652344,175195.9535522461,151409.3317565918
Cer(d18:0/16:0),99618.26760864258,101845.4079284668,115023.52792358398,110583.48779296876,114044.14715576172,109625.56774902344,120050.1491394043,113740.40823364258
Cer(d18:0/18:0(2OH)),100195.2667388916,99591.74786376952,132923.2901611328,148217.99099731445,124513.36985778809,117435.24809265137,128627.12878417967,132048.20989990234
Cer(d18:0/18:0),119376.1890411377,115015.36853027344,136114.54983520508,171818.87350463867,152880.01196289062,136700.02981567383,154117.93182373047,168054.5304260254
Cer(d18:0/20:0(2OH)),170788.87274169922,155040.87133789062,182352.23345947263,204832.8739318848,162233.4900817871,183096.27249145508,195391.7543334961,211938.6728515625
Cer(d18:0/20:0),99295.5671081543,96509.28689575195,115892.88806152344,134044.8098449707,120227.06829833984,117931.08877563477,121169.94833374023,125222.98852539062
Cer(d18:0/22:0(2OH)),2026375.7747802732,2742920.2434692383,2190395.5884399414,2249994.368652344,2191904.135192871,2286434.396728516,2247384.0450439453,2154655.430541992
Cer(d18:0/22:0),165235.2922668457,137595.92993164062,191403.1109619141,185889.1315307617,154543.90936279297,172038.23184204102,186121.9129333496,194704.15325927731
Cer(d18:0/24:0),2118778.14251709,2853717.473083496,2341071.3193969727,2387556.5045776367,2265287.441833496,2396469.434631348,2426856.960632324,2341771.2512817383
Cer(d18:0/26:0),676692.961730957,912677.391784668,1023812.2529296876,923878.3328857422,846950.81640625,872896.2835693359,878020.8327026367,788809.9602050781
Cer(d18:0/h24:0),217935.23223876956,220435.2737121582,270501.1585083008,281859.1211547852,270440.9401245117,256679.75750732425,279762.6620788574,283369.41983032227
Cer(d18:0/h26:0),680723.8046264648,945918.1914672852,983947.007080078,901005.0484008788,832596.0748901367,868249.850189209,886196.2477416992,808704.8353271484
Cer(d18:1/12:0),56379.08372497559,54492.66427612305,58511.04425811768,49007.44305419922,52477.203437805176,61028.26476287842,62309.10482788086,47802.182861328125
Cer(d18:1/16:0),73185.88471221924,79267.4256362915,80618.42578125,92233.2661743164,76714.58596801758,80432.16535949707,93757.44664764404,72981.7046661377
