Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
Cer(d18:0/h24:0),286536.63830566406,240838.17547607425,292428.5201416016,261093.8587341309,290313.6188659668,268821.9165649414,274027.75885009766
Cer(d18:0/h26:0),1025713.672607422,1040264.00390625,1148458.9782104492,1131940.214416504,714557.6403198242,1050206.1356811523,922139.064086914
Cer(d18:1/12:0),63449.82469177246,61244.22438049317,55030.38404083252,48155.723487854,60649.14424133301,59109.48402404785,46814.34299468994
Cer(d18:1/16:0),86145.6854171753,78090.70585250854,120567.22747039796,89648.6658782959,110343.84799194336,87653.74635314941,97444.96645355225
Cer(d18:1/18:0),107191.28673171996,104913.74673461914,151722.51126098633,88220.9656867981,107768.54822921751,115474.96814727785,103438.687210083
Cer(d18:1/18:1(9Z)),196880.154006958,163235.93403625488,289333.9569244385,170260.25304412842,193545.1158370972,192164.97288513184,208010.8747253418
Cer(d18:1/20:0),54737.76354217529,57520.54415893555,56148.78404998779,52548.74402618408,57316.40448760986,54412.4843826294,48239.84332275391
Cer(d18:1/22:0),130621.62739562988,151102.47200012207,109917.4474029541,525000.4606437683,1037137.8373565674,160806.1912765503,307433.958732605
Cer(d18:1/24:0),471016.7649993897,442731.1507415772,495905.4539337158,430489.4275817871,597393.7955322266,466028.2744064331,525554.4322433472
Cer(d18:1/24:1(15Z)),464436.7042694092,437157.535484314,480504.5137138367,412309.7681159973,602736.5419998169,472518.2904319763,495295.6709213257
Cer(d18:1/26:0),491492.3873825073,519779.7593078613,522666.5702667236,523255.8992080689,385644.3674545288,511342.61725616455,462894.2963142395
Cer(d18:1/26:1(17Z)),510814.6406173706,529813.6914978027,548930.0636520386,528228.2968902588,400441.0852546692,510416.1512298584,479926.4353713989
Cer(d18:1/2:0),58468.42404174805,54853.56400299072,55860.243728637695,45350.42336273193,54291.603660583496,56176.74384307861,50214.62384033203
Cer(d18:2/14:0),184679.39221954343,320432.4026184082,169115.53117370603,1229022.122581482,3416852.9455070496,269664.724155426,694974.3241043091
Cer(d18:2/16:0),68836.72449493408,68615.56415557861,72902.72587585449,89749.88606262207,123757.82781982422,68455.36488723755,80657.44599914551
Cer(d18:2/18:1),221905.8360595703,234207.21557617188,255045.33618164065,243665.77667236328,266919.77966308594,241604.7359619141,252434.47973632807
Cer(d18:2/20:0),238461.85681152344,238129.0753173828,272265.8005371094,251172.73852539065,266852.4979248047,242336.5787353516,247730.11840820312
Cer(d18:2/20:1),261907.75732421875,250670.37817382807,267406.5397949219,271883.099609375,280299.33935546875,236165.61596679688,271318.1794433594
Cer(d18:2/22:0),1801188.6511230469,2145063.265625,1214662.7524414062,11023782.084228516,21876463.47729492,2192631.454345703,5911809.000732422
Cer(d20:0/26:0(2OH)),376812.9503479004,372525.5853271485,401183.1261291504,378113.3486328125,275616.54064941406,367740.8090209961,339854.6871032715
Cer(d20:0/26:0),374338.8665161133,363122.4821777344,383002.50425720215,372238.7746658325,290547.4771728516,357204.6473693848,345908.2863006592
Cer(t18:0/16:0(2OH)),587675.6403121948,642078.6256103516,606886.2015380859,568614.6539611816,534204.100982666,603254.3074645996,580371.6365661621
Cer(t18:0/18:0(2OH)),130624.76856994627,113527.1477355957,169026.57264709473,119398.82891845705,128271.2089996338,136849.28987121582,131088.89018249512
Cer(t18:0/20:0(2OH)),452761.71842956543,434821.47189331055,515824.5563659668,735456.8255615234,770556.0726623535,468678.571975708,623066.1385498047
Cer(t18:0/22:0(2OH)),804122.7569732666,728157.9725494385,823359.8909912109,730165.2620849609,940140.0170059204,743301.6553649902,796962.058631897
Cer(t18:0/24:0(2OH)),338621.1381378174,297379.8364715576,368194.82191467285,386955.1869506836,405635.0665588379,322809.5827178955,415376.3258514404
Cer(t18:0/26:0(2OH)),818797.5358734131,856677.1923217773,850504.3559112549,850963.3022460938,577438.0233917236,822959.9746398926,734778.9151687622
Cer(t20:0/26:0(2OH)),3480.0402488708496,3503.9602279663086,650400.8204803467,633855.975189209,3401.260238647461,3327.640254974365,529730.6989440918
