Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
PG (36:0),163344.27221679688,193784.0128173828,120035.4874267578,138971.9110107422,133008.84814453125,134365.41009521484
PG (36:1),401467.169921875,351786.125,154521.771484375,432836.1142578125,308539.82080078125,191490.91357421875
PG (36:2),248285.53784179688,340847.4636230469,141933.95056152344,282126.40283203125,230261.67651367188,119517.82763671876
PG (36:3),65389.604888916016,87005.88610839844,53786.163665771484,60058.06451416016,61693.52490234375,60826.74398803711
PG (36:4),68909.8451538086,88303.12628173828,58225.44384765625,66605.70458984375,71065.82586669922,73727.0849609375
PG (36:5),56448.04425048828,59226.764221191406,51134.60290527344,52785.60409545898,53252.52368164063,59748.62362670898
PG (36:6),58527.00439453125,65036.38458251953,50959.643615722656,54585.30364990234,52177.62341308594,70817.20590209961
PG (36:7),73597.6455078125,85593.18644714355,57013.683685302734,64965.86462402344,69992.90530395508,67029.74417114258
PG (36:8),311157.482421875,325331.8876953125,198792.594909668,274496.64221191406,330747.1040649414,158835.33087158203
PG (38:0) | PGp (40:6),187481.07244873047,227386.8992919922,105329.6264038086,178780.8350830078,187513.8119812012,105925.58773803712
PG (38:1),139777.9501953125,182985.852722168,88625.58532714844,119056.64770507812,114817.3272705078,89344.10607910156
PG (38:2),178818.45166015625,337394.5695800781,102677.96655273438,152019.31030273438,182344.57415771484,109882.30865478516
PG (38:3),98201.48809814452,148948.31024169922,60911.56439208984,81596.04498291016,83887.6265258789,71429.86563110352
PG (38:4),144185.73095703125,140745.1690673828,90295.68646240234,136852.609375,112404.96801757812,91493.54626464844
PG (38:5),78744.9448852539,89525.78625488281,63744.00402832031,66843.80450439453,69600.34539794922,72984.76446533203
PG (38:6),71733.22546386719,91206.1058959961,60061.96420288086,75297.84487915039,74013.30462646484,78882.544921875
PG (38:7),209252.6136779785,301795.8399658203,168381.69256591797,192790.80987548828,224844.33532714844,146758.23376464844
PG (38:8),87520.8461303711,116608.24926757812,66596.36511230469,68165.92510986328,75422.54528808594,70759.24487304688
PG (38:9),88996.70568847656,134265.50872802734,69646.72454833984,88645.16540527344,99468.36779785156,89047.78598022461
PG (40:0) | PGp (42:6),387317.310546875,382324.8695678711,336013.9026489258,245571.67846679688,284757.35888671875,370156.6664428711
PG (40:0) | PGp (42:6)_2,351685.84466552734,356322.60736083984,310752.63830566406,235521.25915527344,249574.17474365237,352662.24353027344
PG (40:1),57209.86395263672,64855.38494873047,48710.42385864258,56785.84405517578,60133.38409423828,64269.96405029297
PG (40:10),224028.55786132807,321284.7852783203,193370.5118408203,148833.0092163086,349165.94775390625,257394.07998657227
PG (40:2),129176.96942138672,191235.59503173828,141936.97094726562,98239.52685546876,170979.5723876953,340107.0608520508
PG (40:3),73247.78540039062,79081.20520019531,54974.04360961914,73830.7456665039,69079.66436767578,68091.9446105957
PG (40:4),130747.4091796875,112691.32824707033,78115.10595703125,136078.26928710938,103473.0281982422,88710.42663574219
PG (40:5),200654.7939453125,153739.95141601562,105078.70727539062,214730.83447265625,145948.81103515625,130077.3895263672
PG (40:6),1363399.65625,932621.0888671876,522733.861328125,1507705.8779296875,885874.5595703125,632660.005859375
PG (40:7),117273.62878417967,186432.0150756836,76713.86547851562,104822.06811523438,104698.54748535156,85600.54602050781
PG (40:8),79032.22476196289,135800.84991455078,55666.3236694336,74617.3256225586,88821.12512207031,75270.48425292969
PG (40:9),72173.18399047852,98813.24536132812,57565.143463134766,66907.54553222656,77307.64636230469,69086.00448608398
PG (42:0),113936.30953979492,130459.23049926758,126164.0308227539,60730.363830566406,141756.80856323242,217045.31257629397
PG (42:1),55072.32360839844,58629.48388671875,51118.80334472656,52285.224029541016,45261.36364746094,59353.02442932129
PG (42:10),76445.04498291016,70133.14474487305,51570.064697265625,56988.46380615234,56950.96380615234,61894.284576416016
PG (42:11),259582.9608154297,235100.67596435547,188993.7288513184,159590.43127441406,173374.3127746582,257570.59176635745
PG (42:2),62573.704162597656,74839.88610839844,52344.32379150391,46682.3434753418,53564.103515625,62149.844787597656
PG (42:3),190294.7935791016,218217.2755126953,165323.08984375,85029.10598754883,169165.3916015625,264390.27673339844
PG (42:4),51495.82354736328,48151.46371459961,51747.00357055664,42988.94256591797,43789.84332275391,54926.94329833984
PG (42:5),48664.96353149414,51702.56332397461,40010.82284545898,44707.50329589844,50938.74362182617,47873.883728027344
PG (42:6),109471.92797851562,106569.9077758789,65895.00457763672,101639.36755371094,103990.80810546876,68201.84521484375
PG (42:7),53421.06359863281,58632.564208984375,43373.04302978516,51237.02395629883,52168.9838256836,60893.08416748047
PG (42:8),63849.94445800781,69619.06408691406,55511.683685302734,62403.044921875,62190.14422607422,77945.88589477539
PG (42:9),98854.06701660156,121691.98834228516,103942.74768066406,101952.6469116211,97977.24578857422,123386.61059570312
PG (44:0),35315.722564697266,34490.70245361328,30805.88217163086,34965.44259643555,33262.96224975586,35666.96252441406
PG (44:1),32837.182373046875,34557.1022644043,30492.78220367432,31198.04219055176,33282.902084350586,33987.62259674072
PG (44:10),76613.40557861328,60449.62454223633,42677.82321166992,78740.9857788086,65068.80432128906,65297.76440429688
PG (44:12),77869.58532714844,65205.565002441406,45019.04333496094,77035.52551269531,62287.16400146485,53533.22338867188
PG (44:2),38467.402770996094,39746.96279144287,34474.64217376709,37355.40297698975,33939.68244934082,42575.04299926758
PG (44:3),34683.622425079346,36949.02239990234,30556.862243652344,36100.4821395874,29534.821868896484,36767.96298217773
PG (44:4),38442.542724609375,35789.30242919922,32097.782287597656,31918.32235717773,35511.52276611328,35768.102447509766
PG (44:5),37387.9423828125,36922.28289794922,33214.38259887695,32406.202529907227,34901.16226196289,36045.62239074707
PG (44:6),35656.52256774902,39178.94282531738,34118.98239135742,35133.322357177734,36211.68254089356,42121.50277709961
PG (44:7),36816.26272583008,39242.32269287109,32682.182235717773,36157.48257446289,34939.702545166016,37912.96269226074
PG (44:8),39289.36267089844,42252.20294189453,31329.56225585937,36939.80267333984,36329.3825378418,43682.42297363281
PGo (20:0),99502.70678710938,94053.32818603516,1766.920139312744,95003.36639404295,104923.28881835938,3931.280323028565
PGo (28:0),66681.52453613281,51632.403564453125,55712.96362304688,40495.5032043457,43321.10287475586,47538.78332519531
PGo (30:0),104598.40756225586,107913.26754760742,102795.94760131836,98987.4676513672,111013.54626464844,81314.30645751953
PGo (30:1),74551.60586547852,69316.4047241211,57865.38429260254,51926.68359375,59348.16375732422,66532.88589477539
PGo (32:0),54444.304443359375,59134.2639465332,45255.08264160156,46557.283203125,48915.94323730469,54591.664642333984
PGo (32:1),40229.84280395508,42881.66279602051,33496.522384643555,36497.32269287109,37011.022369384766,42592.64289855957
PGo (34:0),128321.01022338869,135868.2508239746,102070.90728759766,133062.38961791992,121249.7887878418,97997.7671508789
PGo (34:2),60302.724853515625,65990.22528076172,56021.904296875,51145.7839050293,51063.40393066406,60707.74407958984
PGo (34:3),53857.564025878906,52954.72299194336,46056.12310791016,50068.70336914063,50303.22366333008,54144.42349243164
PGo (34:4),53593.7038269043,63367.7841796875,46951.283203125,46450.84396362305,48449.08349609375,50942.82339477539
PGo (36:0),63629.76483154297,79160.86572265625,53702.4228515625,58077.323822021484,64343.26449584961,59334.32354736328
PGo (36:1),247066.5167236328,250484.4373779297,158368.81091308594,208030.5352172852,246040.82153320312,135002.35064697266
PGo (36:2),56512.80432128906,65957.4048461914,51647.28350830078,55131.56329345703,57494.00372314453,58052.84399414063
PGo (36:4),59408.9642944336,64048.38543701172,50522.243591308594,48457.92364501953,47689.80313110352,56044.36352539063
PGo (36:5),53124.08419799805,58666.144622802734,44592.40353393555,44552.302978515625,47136.86340332031,55139.16397094727
PGo (38:0),149665.1717529297,225616.93603515625,122536.26745605467,132979.26892089844,147475.99182128906,116730.86724853516
PGo (38:1),82742.64672851562,133930.70724487305,59357.52423095703,70386.44537353516,76129.94500732422,69604.48468017578
PGo (38:2),80400.4850769043,127758.4096069336,60925.62493896485,78902.7846069336,82291.90655517578,74408.54528808594
PGo (38:3),89020.306640625,112508.64770507812,65254.14389038086,84786.5853881836,103856.68701171876,68430.84481811523
PGo (38:4),86288.88598632812,106569.74841308594,60189.08485412598,70333.10461425781,74597.46496582031,74299.46478271484
PGo (38:6),58258.84442138672,61348.92376708984,49832.44323730469,52333.483459472656,57005.62457275391,60651.12423706055
PGo (40:0),113656.3077392578,172388.4330444336,72098.88464355469,105722.20715332033,95471.30651855467,83753.54583740234
PGo (40:1),85847.5863647461,153345.0528564453,57194.32369995117,77105.1254272461,90438.94757080078,70072.9055480957
PGo (40:2),69309.84518432617,95579.02551269533,55909.424713134766,66872.92471313477,66537.72482299805,64940.70413208008
PGo (40:4),62333.62518310547,55863.80374145508,51710.00289916992,48547.442810058594,47624.90316772461,55652.70379638672
PGo (40:5),56090.04382324219,58707.40432739258,47556.10363769531,50647.163482666016,50807.943359375,60157.10443115234
PGo (40:6),124338.0100402832,139171.39129638672,115460.04870605467,90970.80603027344,103260.30822753906,126965.17022705078
PGo (40:9),167735.97296142578,256948.5548095703,149640.19229125977,115702.68768310548,249815.9822998047,196742.75912475583
PGo (42:0),46376.1630859375,53598.783752441406,44023.30294799805,45254.70333862305,46148.44317626953,54689.8434753418
PGo (42:1),54177.98431396485,58719.50421142578,44522.72332763672,52350.0634765625,52250.76345825195,66231.34411621094
PGo (42:2),85813.08630371094,98590.68591308594,84137.22714233398,85602.42660522461,78245.78515625,98828.24572753906
PGo (42:4),167406.58923339844,150553.4921875,128261.83193969728,102255.64846801758,111570.43115234376,163631.09649658203
PGo (42:6),86113.66668701172,93462.62567138672,75945.42459106445,65990.94467163086,80188.5260925293,86463.16606140137
PGp (16:0),102133.8876953125,94788.6279296875,91672.7651977539,86800.22703552246,82279.68450927734,99489.88684082033
PGp (20:0),55105.503662109375,61318.7841796875,1503.000114440918,44169.06301879883,49566.26345825195,1512.1401100158691
PGp (28:0),56178.94364929199,64376.22457885742,59157.10464477539,41236.70323181152,45886.78308105469,52987.52404785156
PGp (30:1),76532.5661315918,80888.38494873047,61609.24423217773,59803.6438293457,68356.7453918457,61197.98422241211
PGp (34:4),52125.26397705078,58204.08377075195,41434.70309448242,45302.60330200195,46496.32345581055,50651.92395019531
PGp (36:5),89280.7474975586,112373.76818847656,85368.2053527832,90596.96746826172,86327.5267944336,91346.60638427734
PGp (38:6),176833.17346191406,204002.7972412109,130913.16845703124,147621.91052246094,149696.55139160156,147638.07006835938
PGp (42:2),65161.06497192383,58730.64431762695,45530.88333129883,52953.28405761719,50553.884185791016,52360.42398071289
PGp (42:4),43981.32275390625,48109.14349365234,40612.00296020508,39785.44259643555,40915.52307128906,46222.04309082031
PI (14:1),123372.79021453856,562594.0080566406,566800.9542236328,566263.6274414062,568156.7719726562,541832.4869384766
PI (20:1),93719.14587402344,177796.251953125,142828.63037109375,157365.06860351562,170992.2921142578,162668.75073242188
PI (24:0),32091.00230407715,86725.3860168457,67239.30380249023,83316.58605957031,93222.62606811523,91541.90481567384
PI (26:0),37289.74206924439,73073.3447265625,67958.66421508789,68760.38562011719,80054.80554199219,97936.3662109375
PI (26:1),136320.34786605835,184582.9521484375,157794.73071289062,175663.29125976562,166399.751953125,172586.43334960938
PI (28:0),43704.58303833008,99238.98736572266,115799.5078125,93188.18670654295,132882.4111328125,142335.17135620117
PI (28:1),22466.841480255127,66445.56469726562,65850.26412963867,56902.40417480469,81674.5862121582,79698.16528320312
PI (28:2),18509.621223449707,59232.20361328125,43147.583084106445,42411.60317993164,44544.46307373047,46909.32334899902
PI (30:0),222123.53685760495,346193.365234375,431046.3286132813,338879.2607421875,460144.513671875,436150.5903320313
PI (30:1),75253.12411117554,159683.79138183594,213133.53692626956,147573.2709350586,233879.83850097656,214378.35424804688
PI (30:2),41060.20316314697,97146.28814697266,99974.64630126952,91243.84704589844,107919.76770019533,100075.86590576172
PI (30:3),18325.30136871338,49782.2038269043,38408.82273864746,48981.8035736084,47740.98294067383,47237.08316040039
PI (30:4),19589.56147003174,65299.88409423828,52388.96434020996,53718.924072265625,52017.38387298584,58441.36415100098
PI (32:0),352287.84630203247,581099.5834960938,698131.1748046875,544128.6948242188,718730.6303710938,684884.3095703125
PI (32:1),203842.09424591064,416512.8896484375,500735.3974609375,358302.3249511719,531106.8959960938,466929.41552734375
PI (32:2),244340.29721069336,339505.6875,366907.5073242188,317306.123046875,369589.6064453125,336442.7666015625
PI (32:3),21970.42146301269,62829.3846282959,46062.62312316895,56304.383697509766,60333.6842956543,55138.90367126465
PI (32:4),19655.10160446167,86688.04629516602,76552.96382141113,71281.46572875977,73701.24594116211,80365.96714782715
PI (32:5),22124.20140838623,89272.72634887695,61825.98498535156,66796.20455932617,74073.40518188477,69025.5258178711
PI (34:0),333545.7022781372,456175.009765625,479525.23583984375,419001.99072265625,487042.5947265625,490563.6958007813
PI (34:1),174107.97372436523,547623.8002929688,497356.9462890625,394524.6276855469,552469.7026367188,500362.74853515625
PI (34:2),169594.0131340027,376944.10693359375,367383.2668457031,258359.8984375,371013.0993652344,319469.38232421875
PI (34:3),29997.402141571045,105608.068359375,87527.02781677246,64540.84487915039,89269.1460571289,76133.38534545898
PI (34:4),18515.02138137817,64305.22518920898,45183.94377136231,50764.82356262207,49083.20343017578,50378.26371765137
PI (34:5),29600.06217575073,117798.94995117188,87818.38702392578,84979.24523925781,90614.62478637695,85606.82583618164
PI (34:6),23105.28168106079,59737.28498840332,51672.12390136719,53006.384353637695,57035.24496459961,59575.82458496094
PI (36:0),153883.6508216858,209671.83520507807,205123.2548828125,189223.052734375,214415.91455078125,210801.03540039065
PI (36:1),49240.12377929688,174926.5919189453,122025.7276611328,123843.02740478516,172986.8731689453,152604.65057373047
PI (36:2),85905.54592895508,308976.9620361328,258618.61791992188,201824.5760498047,286442.0803222656,261545.3162841797
PI (36:3),42015.803047180176,246779.3375244141,186322.3533935547,96688.50714111328,176302.03131103516,137257.19046020508
PI (36:4),43094.5832939148,580644.0043945312,169722.15042114258,169668.712890625,328438.86279296875,156828.09075927734
PI (36:5),23995.521728515625,79465.845703125,53307.603515625,57463.94519042969,63750.844299316406,56451.18359375
PI (36:6),34503.92237854004,65118.14431762695,53386.363372802734,62304.02423095703,59921.58428955078,67478.72467041016
PI (36:7),34011.48253250122,74651.60446166992,74558.84509277344,73574.14456176758,79333.6460571289,87152.42645263672
PI (36:8),40566.22286605835,116697.74826049805,113537.32775878906,93347.94720458984,118898.4893798828,113069.44863891602
PI (38:0) | PIp (40:6),26770.56188583374,61527.004791259766,58407.884765625,63128.58474731445,63181.28512573242,55427.54382324219
PI (38:0) | PIp (40:6)_2,27777.48183441162,58366.984130859375,57849.24368286133,57104.423828125,59609.86474609375,55243.6237487793
PI (38:1),19798.741458892822,63164.94525146485,48892.54281616211,49401.9635925293,55624.02359008789,53526.56369018555
PI (38:2),21971.981719970703,89477.72741699219,50176.443603515625,63591.30352783203,68126.08534240723,60695.98410797119
PI (38:3),24384.20163345337,327755.12048339844,80077.14532470703,100099.98727416992,174208.31201171875,90154.30599975586
PI (38:4),79263.44602966309,2958383.3693847656,441393.3713378906,600095.0607910156,1419173.439453125,466919.0941162109
PI (38:5),36061.62296295166,687401.8770141602,163821.07080078125,134232.85034179688,298323.02111816406,131125.10864257812
PI (38:6),36503.88262176514,271707.5201416016,102320.66674804688,86559.54675292969,128362.70904541016,99290.42614746094
PI (38:7),30639.12204742432,180935.93612670896,113381.36854553224,125290.06860351562,156127.7317199707,99885.54620361328
PI (38:8),29508.761936187744,69370.42498779297,54332.54342651367,60470.62435913086,64158.74456787109,68912.60464477539
PI (38:9),26764.90184020996,61449.44494628906,45705.78372192383,54494.08364868164,57870.48388671875,53748.92353820801
PI (40:0),38206.28290939331,280165.83657836914,213966.7382507324,160303.71112060547,198166.2741394043,196063.93464660645
PI (40:1),19773.801273345947,44163.28340148926,41969.64303588867,43091.48300170898,49677.64376831055,44952.94305419922
PI (40:10),21484.601593017574,97759.58805847168,60762.86477661133,107894.32801818848,146951.37197875977,66395.92601013184
PI (40:2),22388.901454925537,63925.02380371094,48045.443267822266,67095.02550506592,67718.18428039551,67674.8861541748
PI (40:3),20898.241455078125,47176.68270874024,37517.06240844727,45289.083251953125,44946.62307739258,37289.32304382324
PI (40:4),17788.8212890625,73290.30557250977,39261.60238647461,48393.2236328125,53748.423736572266,45763.32305908203
PI (40:5),22650.501445770264,114147.92834472656,57455.22360229492,61930.54440307617,67179.22486877441,62180.86479187012
PI (40:6),36889.08297348023,373329.6840820313,107769.38690185548,108578.80767822266,153336.9307861328,88955.80624389648
PI (40:7),25381.201679229736,107390.42825317384,67646.82518005371,61969.06427001953,77174.12557983398,63605.34391784668
PI (40:8),24887.46171569824,73335.94494628906,90286.06651306152,63611.2649230957,71988.68502807617,63058.0641784668
PI (40:9),19878.72151947021,50983.38348388672,40554.88296508789,46641.54342651367,48244.60386657715,45278.76362609863
PI (42:0),18911.561408996586,55498.10345458984,43462.38345336914,52182.34414672852,65609.20486450195,65875.96427154541
PI (42:1),13895.721046447754,29012.06219482422,26110.48194885254,30999.662109375,34299.46243286133,33825.96206665039
PI (42:10),14313.061000823976,42793.66278076172,30294.942321777344,34346.42247009277,36314.54251098633,38428.76274108887
PI (42:11),20170.72150039673,102615.52561950684,81540.14555358887,70958.42510223389,81690.06600952148,95044.12786102296
PI (42:3),17690.001499176025,69072.92529296875,45689.10372924805,62921.14503479004,86863.60493469238,67857.52474975586
PI (42:4),13069.600852966309,29299.52195739746,23431.541595458984,30964.92236328125,30986.58209228516,30108.1417388916
PI (42:5),14947.04118347168,46440.14349365234,33550.362480163574,39183.00302124024,44126.682960510254,45769.4829864502
PI (42:6),16013.720989227297,35388.86242675781,28578.66186523437,32476.82211303711,33583.58236694336,35306.882232666016
PI (42:7),21219.26156616211,44294.78289794922,40538.0032043457,44199.422912597656,46508.26370239258,44666.62313842773
PI (42:8),20821.54146957397,61170.76446533203,48834.82339477539,61268.904296875,62287.00369262695,69872.06620788574
PI (42:9),14492.82107925415,33684.46273803711,28578.662139892574,34871.50225830078,33390.52229309082,32688.902053833008
PI (44:0),12238.220886230469,25338.801986694336,17103.281272888184,25435.621757507324,23730.401412963867,23628.64192199707
PI (44:1),12026.560752868652,20182.581314086918,18968.6014213562,23439.481536865234,25412.321800231934,22410.6015625
PI (44:10),16980.04116821289,29447.921905517574,28030.50163269043,33656.082401275635,28627.84196472168,31731.801849365234
PI (44:12),12024.640895843506,31733.322105407715,22450.16145324707,27659.001754760742,27986.782165527344,28188.641677856445
PI (44:2),14531.48097229004,26619.421875,23737.681648254395,25092.64189147949,28608.502113342285,25039.441318511963
PI (44:3),11332.940784454346,26449.18192672729,18113.24129486084,24759.70195770264,24910.981590271,24196.181785583496
PI (44:4),10846.500789642334,23019.541702270508,18286.40120697021,23086.501953125,22486.641662597656,23977.761894226074
PI (44:5),13018.06095123291,25938.06175994873,26507.82201385498,31964.242599487305,32289.762489318848,32091.041584014893
PI (44:6),13008.1208152771,28432.921997070312,21232.22134399414,25382.361785888672,27581.80191040039,28730.341510772705
PI (44:7),14844.021114349363,30028.92222595215,26030.681762695312,30242.58203125,32700.542602539062,25556.261741638184
PI (44:8),14839.080924987791,33356.52258300781,26446.0816116333,30801.00218200684,31591.782302856445,30429.882446289062
PIo (18:0),100821.46810913086,470314.80310058594,385947.8352050781,402071.3126220703,416615.0579833984,377687.7634277344
PIo (20:5),95131.02719116212,269351.8938598633,355490.95361328125,303710.03802490234,252580.2131958008,323840.06185913086
PIo (28:0),29574.54186630249,97021.90655517578,88843.80659484863,81739.58465576172,94614.44702148438,105678.02783203124
PIo (30:0),53744.06365585327,161846.1117553711,146423.68981933594,124951.00982666016,175246.23406982422,154381.05017089844
PIo (30:1),36996.96242523193,167878.85330200195,104351.7084350586,94397.42764282228,135020.80722045898,111266.30798339844
PIo (32:0),94599.36681365968,209583.05395507807,275570.1622314453,189480.95544433597,296412.22216796875,270678.5966796875
"PIo (32:1), PIp (32:0)",46141.80339431763,129334.92950439452,172006.57318115234,119312.96844482422,195309.67474365237,168239.75158691406
PIo (34:0),64897.20464324951,172764.83337402344,196624.19494628903,153560.31317138672,230290.61303710935,192146.33056640625
"PIo (34:1), PIp (34:0)",57857.184173583984,246009.5419921875,251456.25927734372,207466.11517333984,328016.2775878906,233334.49853515625
"PIo (34:3), PIp (34:2)",23013.741634368896,56704.86422729492,48660.20373535156,48081.16368103027,51870.26400756836,53122.06398773193
"PIo (34:4), PIp (34:3)",21403.20154953003,52460.12371826172,39261.78266906738,47488.38343811035,46219.90264892578,48208.42398071289
PIo (36:0),30577.362033843998,68798.90496826172,74516.44515991211,64275.2643737793,76579.02624511719,74646.92456054688
"PIo (36:1), PIp (36:0)",40652.34282684326,99312.74639892578,100301.8681640625,84803.54528808594,113481.82830810548,104796.54727172852
"PIo (36:2), PIp (36:1)",29238.682132720947,68099.8042602539,61597.92440795898,59780.30416870117,75377.42568969727,69903.24432373047
"PIo (36:3), PIp (36:2)",18721.021354675293,61745.34368896485,46482.18428039551,55157.18418884277,61643.64373016357,60411.2434387207
"PIo (36:4), PIp (36:3)",17440.161197662354,61393.28479003906,44281.78303527832,42447.50245666504,46768.742767333984,51038.5234375
"PIo (36:5), PIp (36:4)",26325.002151489258,49527.6435546875,41625.08282470703,43407.10304260254,48918.98315429688,45622.88305664063
"PIo (38:1), PIp (38:0)",26253.04211807251,60614.36474609375,53430.10391235352,51285.46325683594,57376.62420654297,55563.84368896485
"PIo (38:2), PIp (38:1)",24588.74174880981,58181.52407836914,46482.18307495117,47669.323638916016,54021.86352539063,53442.14389038086
"PIo (38:3), PIp (38:2)",21249.78142929077,53240.94320678711,41323.38320159912,47151.02250671387,48403.5231628418,43390.30358886719
"PIo (38:4), PIp (38:3)",21757.64152908325,77803.70576477051,47572.48318481445,54855.32339477539,66285.76480102539,55021.18388366699
"PIo (38:5), PIp (38:4)",21308.80137252808,53086.18408203125,32767.72198486328,41787.42250061035,41073.822982788086,43083.82308959961
"PIo (38:6), PIp (38:5)",33729.74241256714,62017.744140625,49835.483459472656,54177.28393554688,56938.08465576172,55495.14447021485
"PIo (40:1), PIp (40:0)",27078.061935424805,76426.28591918945,73190.42532348633,57398.92391967773,72729.36474609375,58736.964263916016
"PIo (40:2), PIp (40:1)",18129.121421813965,42386.22276306152,31702.56208801269,44036.34362792969,43997.46296691895,39090.22221374512
"PIo (40:3), PIp (40:2)",19314.901321411133,64850.64447021485,45669.80331420898,72871.74438476562,89213.96524047852,51084.64399719238
"PIo (40:4), PIp (40:3)",28229.741970062256,58271.963439941406,63186.78436279297,43915.64318847656,46342.78338623047,41775.56332397461
"PIo (40:5), PIp (40:4)",81360.54512023926,119893.2686767578,96748.74645996094,112011.42797851562,116254.40795898438,107075.68725585938
"PIo (40:6), PIp (40:5)",20622.30149841309,92042.28549194336,66787.94387817383,66020.14602661133,73995.58532714844,87334.76641845703
PIo (40:7),25158.12171173096,98501.56741333008,65578.78491210938,57279.92391967773,73455.38586425781,55412.72393798828
PIo (42:0),22323.50142288208,38955.04266357422,41174.50321960449,42751.30325317383,42308.00289916992,41812.34298706055
PIo (42:1),20475.421379089355,50052.64349365234,40237.582748413086,45053.18348693848,47678.0231628418,57063.82345581055
PIo (42:2),15719.821109771729,32368.60223388672,25545.16194152832,33218.982345581055,31742.402313232426,28918.102157592773
PIo (42:4),16498.061199188232,73864.76593780518,60852.88383483887,49717.44415283203,52106.044677734375,73540.74458312988
PIo (42:6),18360.22115325928,78468.86552429199,58054.48278808594,65663.88610839844,79509.36614990234,67391.14424133301
PIp (20:0),77549.185546875,208983.57556152344,146275.43096923828,249311.0557861328,237365.3767089844,138472.6499633789
PIp (28:0),15567.561126708984,48843.7433013916,41573.86318969727,41891.40367126465,46570.96298217773,47599.48358154297
PIp (30:1),32181.90216827393,127881.9497680664,129485.5280456543,101198.04663085938,115585.65007019044,149497.6717529297
PIp (32:1),31122.78223419189,84007.86627197266,72076.70510864258,65394.284240722656,80660.58682250977,95519.9486694336
PIp (34:1),32006.902179718018,76558.4245300293,83972.96588134766,74590.70642089844,93782.90618896484,92153.50689697266
PIp (34:4),20198.24132156372,50235.3032989502,39204.86284637451,44065.60313415527,45397.04316711426,43816.542572021484
PIp (36:5),146454.07013320923,180158.4921875,180306.93310546875,178010.33325195312,182232.59375,179774.13232421875
PIp (38:6),150823.6916809082,212377.51489257807,208825.2529296875,194010.41552734372,214749.69409179688,218708.89404296875
PIp (42:2),14594.900993347168,42835.76289367676,29597.401725769043,34964.02241516113,34947.88227844238,32015.342308044437
PIp (42:4),15855.76111984253,36613.64245605469,27442.142044067383,34730.762451171875,31043.76235961914,34694.12254333496
PIp (42:6),36510.6625328064,315953.7607727051,230449.1545410156,172253.1332397461,213405.0177001953,227116.0205078125
PS (22:7),28250.241928100582,43669.10302734375,71530.64416503906,19342.021125793457,74395.58514404297,91213.32629394533
PS (24:0),24276.98166656494,40689.20300292969,82718.2854309082,15751.441062927246,108546.1254272461,84525.98593139648
PS (26:0),28440.022087097168,35252.0026550293,59173.62405395508,23751.68169784546,64972.60437011719,76197.96545410156
PS (26:1),94413.82696533205,108187.36755371094,122094.44921875,38477.32231140137,116071.0087890625,123751.76904296876
PS (28:0),35656.10256195068,71253.84589385986,755836.4554138184,142928.08922576904,1040412.7126464844,809670.2913208008
PS (28:1),41542.16270065308,46415.20346069336,61990.74450683594,21454.10149383545,65659.32513427734,71295.42553710938
PS (28:2),19156.081371307373,30350.962173461918,45742.90328979492,15388.861274719238,46283.50338745117,50436.74366760254
PS (30:0),49030.80376815796,58089.10362243652,79612.40643310547,29483.96184539795,83625.84606933594,91357.70623779295
PS (30:1),21088.841468811035,33599.322341918945,46256.80308532715,20195.12119293213,49531.92330932617,58353.16409301758
PS (30:2),19665.401485443115,34274.50241088867,61281.4436340332,22397.16177368164,63690.74496459961,65871.72476196289
PS (30:3),24056.40188217163,38624.78237915039,67962.82440185547,19374.14111328125,67260.86376953125,81655.6852722168
PS (30:4),21187.181575775143,28287.102005004883,46848.98287963867,19080.361087799072,49331.563873291016,53940.74394226074
PS (32:0),35273.02242279053,44192.703216552734,92247.78692626952,24863.981727600098,85960.12591552734,115805.66864013672
PS (32:1),27121.56192779541,34010.282413482666,55206.68405151367,20271.54127883911,63802.38488769531,62440.544372558594
PS (32:2),32341.602577209476,47148.483280181885,224069.05654907227,147797.2707977295,377802.90545654297,162781.83325195312
PS (32:3),23964.16164779663,29119.202171325684,53634.124084472656,19783.52103805542,63769.643798828125,59576.02471923828
PS (32:4),23340.761711120605,36753.54267120361,76566.2067565918,23025.60149383545,58325.70376586914,64365.46499633789
PS (32:5),34485.36241912842,38123.52275848389,45578.323150634766,25751.381797790527,50682.403869628906,56235.723724365234
PS (34:0),31369.82232666016,38520.36254119873,64452.90502929688,21462.681644439697,60499.06396484375,80345.78594970703
PS (34:1),44304.00286102295,58701.26442718506,69379.98559570312,27085.56198120117,83038.62609863281,89083.1664428711
PS (34:2),28244.48190307617,29589.622215271,57051.32452392578,21032.88134765625,60637.88430786133,64032.50344848633
PS (34:3),29484.042110443115,34357.60266494751,53135.88394165039,21693.161743164062,58344.4446105957,58151.02380371094
PS (34:4),27053.52196121216,34245.30263519287,51304.2236328125,16493.081260681152,55294.544036865234,56244.724029541016
PS (34:5),27784.181964874268,37686.98307800293,79166.4045715332,33598.80298614502,99309.74792480467,90112.48635864258
PS (34:5)_2,27771.62190246582,34721.622734069824,80673.50540161133,28666.901885986328,100383.74682617188,90989.72772216795
