,Reaction,Gene Code,reaction_code,Lipid 1,Lipid 2,Class,reaction_type,Number,Gene
215,86,8605,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,8605,PLA2G4C
216,86,283748,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,283748,PLA2G4D
217,86,123745,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,123745,PLA2G4E
218,86,255189,86,O-PC,O-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPC,255189,PLA2G4F
219,87,30814,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,30814,PLA2G2E
220,87,5320,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,5320,PLA2G2A
221,87,26279,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,26279,PLA2G2D
222,87,64600,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,64600,PLA2G2F
223,87,5319,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,5319,PLA2G1B
224,87,5321,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,5321,PLA2G4A
225,87,100137049,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,100137049,PLA2G4B
226,87,8605,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,8605,PLA2G4C
227,87,283748,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,283748,PLA2G4D
228,87,123745,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,123745,PLA2G4E
229,87,255189,87,P-PC,P-LPC,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPC,255189,PLA2G4F
230,88,8605,88,O-PE,O-LPE,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPE,8605,PLA2G4C
231,89,8605,89,P-PE,P-LPE,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPE,8605,PLA2G4C
232,90,5537,90,O-LPC,O-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPA,5537,PLD1
233,90,5338,90,O-LPC,O-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPA,5338,PLD2
234,91,5338,91,O-LPE,O-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of O-LPA,5338,PLD2
235,92,5537,92,P-LPC,P-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPA,5537,PLD1
236,92,5338,92,P-LPC,P-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPA,5338,PLD2
237,93,5338,93,P-LPE,P-LPA,Glycerolipids and Glycerophospholipids,Biosynthesis of P-LPA,5338,PLD2
238,94,79888,94,O-LPC,O-PC,Glycerolipids and Glycerophospholipids,Biosynthesis of O-PC,79888,LPCAT1
239,95,10715,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,10715,CERS1
240,95,29956,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,29956,CERS2
241,95,204219,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,204219,CERS3
242,95,79603,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,79603,CERS4
243,95,91012,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,91012,CERS5
244,95,253782,95,dhSPB,dhCer,Sphingolipids,Biosynthesis of Dihydrosphingosine,253782,CERS6
