,Class,Transition,Lipid
1128,PE,526.3 -> 385.3,LPE(22:6)
1130,PE,530.3 -> 389.3,LPE(22:4)
1131,PE,534.4 -> 393.4,LPE(22:2)
1132,PE,536.4 -> 395.4,LPE(22:1)
1133,PE,538.4 -> 397.4,LPE(22:0)
1136,PE,580.4 -> 439.4,PE(24:0)
1138,PE,606.4 -> 465.4,PE(26:1)
1139,PE,608.4 -> 467.4,PE(26:0)
1140,PE,620.5 -> 479.5,PE(27:1)|PE(P-28:0)
1141,PE,622.5 -> 481.5,PE(27:0)|PE(O-28:0)
1142,PE,632.4 -> 491.4,PE(28:2)
1143,PE,634.5 -> 493.5,PE(28:1)|PE(P-29:0)
1144,PE,636.5 -> 495.5,PE28:0|PE(O-29:0)
1145,PE,646.5 -> 505.5,PE(29:2)|PE(P-30:1)
1146,PE,648.5 -> 507.5,PE(29:1)|PE(O-30:1)|PE(P-30:0)
1147,PE,650.5 -> 509.5,PE(29:0)|PE(O-30:0)
1148,PE,656.4 -> 515.4,PE(30:4)
1149,PE,658.4 -> 517.4,PE(30:3)
1150,PE,660.5 -> 519.5,PE(30:2)|PE(P-31:1)
1151,PE,662.5 -> 521.5,PE(30:1)|PE(O-31:1)|PE(P-31:0)
1152,PE,664.5 -> 523.5,PE(30:0)|PE(O-31:0)
1155,PE,674.5 -> 533.5,PE(31:2)|PE(P-32:1)
1156,PE,676.5 -> 535.5,PE(31:1)|PE(O-32:1)|PE(P-32:0)
1157,PE,678.5 -> 537.5,PE(31:0)|PE(O-32:0)
1158,PE,682.4 -> 541.4,PE(32:5)
1159,PE,684.5 -> 543.5,PE(32:4)|PEd(O-34:4)
1160,PE,686.5 -> 545.5,PE(32:3)|PE(P-33:2)
1161,PE,688.5 -> 547.5,PE(32:2)|PE(O-33:2)|PE(P-33:1)
1162,PE,690.5 -> 549.5,PE(32:1)|PE(O-33:1)|PE(P-33:0)
1163,PE,692.6 -> 551.6,PE(32:0)|PE(O-33:0)
1164,PE,696.5 -> 555.5,PE(33:5)|PE(P-34:4)
1165,PE,698.5 -> 557.5,PE(33:4)|PE(O-34:4)|PE(O-34:4)|PE(P-34:3)
1166,PE,700.5 -> 559.5,PE(33:3)|PE(O-34:3)|PE(P-34:2)
1167,PE,702.5 -> 561.5,PE(33:2)|PE(O-34:2)|PE(P-34:1)
1168,PE,704.6 -> 563.6,PE(33:1)|PE(O-34:1)|PE(P-34:0)
1169,PE,706.6 -> 565.6,PE(33:0)|PE(O-34:0)
1170,PE,708.5 -> 567.5,PE(34:6)
1171,PE,710.5 -> 569.5,PE(34:5)
1172,PE,712.5 -> 571.5,PE(34:4)
1173,PE,714.5 -> 573.5,PE(34:3)|PE(P-35:2)
1174,PE,716.6 -> 575.6,PE(34:2)|PE(O-35:2)|PE(P-35:1)
1175,PE,718.6 -> 577.6,PE(34:1)|PE(O-35:1)|PE(P-35:0)
1177,PE,722.5 -> 581.5,PE(35:6)|PE(P-36:5)
1178,PE,724.5 -> 583.5,PE(35:5)|PE(O-36:5)|PE(P-36:4)
1179,PE,726.5 -> 585.5,PE(35:4)|PE(O-36:4)|PE(P-36:3)
1180,PE,728.6 -> 587.6,PE(35:3)|PE(O-36:3)|PE(P-36:2)
1181,PE,730.6 -> 589.6,PE(dO-38:9)|PE(35:2)|PE(O-36:2)|PE(P-36:1)
1182,PE,732.6 -> 591.6,PE(36:8)|PE(dO-38:8)|PE(35:1)|PE(O-36:1)|PE(P-36:0)
1183,PE,734.6 -> 593.6,PE(36:7)|PE(35:0)|PE(O-36:0)
1184,PE,736.5 -> 595.5,PE(36:6)
1185,PE,738.5 -> 597.5,PE(36:5)
1186,PE,740.6 -> 599.6,PE(36:4)|PE(O-37:4)
1187,PE,742.6 -> 601.6,PE(36:3)|PE(P-37:2)
1189,PE,746.6 -> 605.6,PE(O-38:8)|PE(36:1)|PE(O-37:1)|PE(P-37:0)
1190,PE,748.6 -> 607.6,PE(37:7)|PE(P-38:6)|PE(36:0)|PE(O-37:0)
1191,PE,750.5 -> 609.5,PE(37:6)|PE(O-38:6)|PE(P-38:5)
1192,PE,752.6 -> 611.6,PE(37:5)|PE(O-38:5)|PE(P-38:4)
1193,PE,754.6 -> 613.6,PE(37:4)|PE(O-38:4)|PE(P-38:3)
1194,PE,756.6 -> 615.6,PE(37:3)|PE(O-38:3)|PE(P-38:2)
1195,PE,758.6 -> 617.6,PE(38:9)|PE(dO-40:9)|PE(37:2)|PE(O-38:2)|PE(P-38:1)
1196,PE,760.6 -> 619.6,PE(38:8)|PE(dO-40:8)|PE(37:1)|PE(O-38:1)|PE(P-38:0)
1197,PE,762.6 -> 621.6,PE(38:7)|PE(37:0)|PE(O-38:0)
