,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Parent_Ion_old,Product_Ion_old,Intensity_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,Lipid
41,701.6,184.1,280486.9385986328,701.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/18:1),None,701.6,184.1,1202657.399963379,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1155271.496826172,SM(d16:1/18:1)
42,703.6,184.1,279586.8795776367,703.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/18:0),None,703.6,184.1,1183598.6836853027,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1133146.8400878906,SM(d16:1/18:0)
43,705.6,184.1,287454.88134765625,705.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:0/18:0),None,705.6,184.1,1148603.1774902344,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,1108779.7348937988,SM(d16:0/18:0)
44,727.6,184.1,170948.2527770996,727.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d18:2/18:1),None,727.6,184.1,3000773.35736084,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2971032.77545166,SM(d18:2/18:1)
45,729.6,184.1,169404.84954833984,729.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/20:1),None,729.6,184.1,2978691.899780273,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2948492.55758667,SM(d16:1/20:1)
46,731.6,184.1,158926.93170166016,731.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/20:0),None,731.6,184.1,3016243.797790528,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2985232.195800781,SM(d16:1/20:0)
47,733.6,184.1,156391.41021728516,733.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:0/20:0),None,733.6,184.1,2978589.012573242,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,2944931.5703125,SM(d16:0/20:0)
48,755.6,184.1,207325.0698852539,755.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d18:2/20:1),None,755.6,184.1,5069005.792724609,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,5033568.2503967285,SM(d18:2/20:1)
49,757.6,184.1,197034.0920410156,757.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/22:1),None,757.6,184.1,3713609.886779785,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3680706.2445373535,SM(d16:1/22:1)
50,759.6,184.1,191499.85546875,759.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d16:1/22:0),None,759.6,184.1,3100785.2786254883,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,3066859.376617432,SM(d16:1/22:0)
51,783.6,184.1,264913.35791015625,783.6 -> 184.1,SM,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,SM,SM,,(d18:2/22:1),None,783.6,184.1,5947126.057006836,PCandSM_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,PCandSM,5901057.733825684,SM(d18:2/22:1)
