Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Sample Name Incomplete,Position,Genotype,Group,Sex,Age (weeks),Dilution Factor ,method_type,Blank Subtraction
[TG(66:7)]_FA22:6,1062.9,717.6,1544.3801155090332,1062.9 -> 717.6,TAG,TAG22_6_FAD261_m3_81_A_N1_loading_size_2_13_25,FAD261_m3_81_A,FAD261_m3,P1-A4,WT,A,M,81,300x,TAG22,4.640010833740234
[TG(66:6)]_FA22:6,1065.0,719.7,1562.1201095581055,1065.0 -> 719.7,TAG,TAG22_6_FAD261_m3_81_A_N1_loading_size_2_13_25,FAD261_m3_81_A,FAD261_m3,P1-A4,WT,A,M,81,300x,TAG22,22.459991455078125
CAR_QUAL,162.2,60.1,2257.380157470703,162.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,369.5400161743164
CAR,162.2,85.1,2400.7401847839355,162.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,542.0200653076172
CAR(2:0)_QUAL,204.1,60.1,1570.860107421875,204.1 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(2:0),204.1,85.1,1816.9001388549805,204.1 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,325.1200294494629
CAR(3:1)_QUAL,216.1,60.1,4568.540294647217,216.1 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(3:1),216.1,85.1,2265.1401557922363,216.1 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,107.15999984741211
CAR(3:0)_QUAL,218.1,60.1,3099.6802406311035,218.1 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(3:0),218.1,85.1,1538.740104675293,218.1 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(4:1)_QUAL,230.1,60.1,2630.3202018737793,230.1 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(4:1),230.1,85.1,9687.680793762207,230.1 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,2544.060302734375
CAR(4:0)_QUAL,232.2,60.1,2847.000186920166,232.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,571.5800170898438
CAR(4:0),232.2,85.1,1700.4201278686523,232.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(5:1)_QUAL,244.2,60.1,2236.2601623535156,244.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,426.8200225830078
CAR(5:1),244.2,85.1,2045.0801277160645,244.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,13.559986114501953
CAR(5:0)_QUAL,246.2,60.1,2971.6202278137207,246.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,412.6000289916992
CAR(5:0),246.2,85.1,2811.680202484131,246.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,420.8600311279297
CAR(6:1)_QUAL,258.2,60.1,2772.1001892089844,258.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,581.9400253295898
CAR(6:1),258.2,85.1,8028.340549468994,258.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1235.6000671386719
CAR(6:0)_QUAL,260.2,60.1,2510.26016998291,260.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,265.88000869750977
CAR(6:0),260.2,85.1,1842.7401313781738,260.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,179.34003067016602
CAR(7:0)_QUAL,274.2,60.1,4055.020275115967,274.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(7:0),274.2,85.1,1633.2001266479492,274.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(8:1)_QUAL,286.2,60.1,5765.460422515869,286.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,416.9801254272461
CAR(8:1),286.2,85.1,4534.920337677002,286.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1308.3201332092285
CAR(8:0)_QUAL,288.2,60.1,2776.860191345215,288.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,85.96000671386719
CAR(8:0),288.2,85.1,3499.540252685547,288.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,214.4400405883789
CAR(9:0)_QUAL,302.2,60.1,2828.9602088928223,302.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,124.16000366210938
CAR(9:0),302.2,85.1,1737.9401245117188,302.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(10:3)_QUAL,310.2,60.1,2391.2601623535156,310.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(10:3),310.2,85.1,1964.540138244629,310.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,151.58001327514648
CAR(10:2)_QUAL,312.2,60.1,31457.742042541504,312.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,8109.360420227051
CAR(10:2),312.2,85.1,3157.7802200317383,312.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,752.5800552368164
CAR(10:1)_QUAL,314.2,60.1,3015.320198059082,314.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(10:1),314.2,85.1,2610.260185241699,314.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,448.26003646850586
CAR(10:0)_QUAL,316.2,60.1,3252.3602333068848,316.2 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,353.460018157959
CAR(10:0),316.2,85.1,2574.920192718506,316.2 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(11:0)_QUAL,330.3,60.1,3891.220283508301,330.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,734.0400848388672
CAR(11:0),330.3,85.1,2332.6201553344727,330.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,187.72000885009766
CAR(12:0)_QUAL,344.3,60.1,3272.2602348327637,344.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,333.1600341796875
CAR(12:0),344.3,85.1,1836.6601219177246,344.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,86.33999633789062
CAR(14:2)_QUAL,368.3,60.1,73661.20541381836,368.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,22313.901397705078
CAR(14:2),368.3,85.1,3581.88028717041,368.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,395.620059967041
CAR(14:1)_QUAL,370.3,60.1,6406.100456237793,370.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1360.0600776672363
CAR(14:1),370.3,85.1,2015.8401565551758,370.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,178.60003280639648
CAR(14:0)_QUAL,372.3,60.1,5561.8204345703125,372.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,612.0801086425781
CAR(14:0),372.3,85.1,2434.040180206299,372.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,486.18004608154297
CAR(16:2)_QUAL,396.3,60.1,2970.2802200317383,396.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,106.26000595092773
CAR(16:2),396.3,85.1,2302.4201622009277,396.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,438.78003311157227
CAR(16:1)_QUAL,398.3,60.1,6791.900466918945,398.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(16:1),398.3,85.1,1846.4201278686523,398.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,29.780006408691406
CAR(16:0)_QUAL,400.3,60.1,5043.38032913208,400.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1233.6800575256348
CAR(16:0),400.3,85.1,2187.840156555176,400.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,79.72000122070312
CAR(17:0)_QUAL,414.4,60.1,7105.18049621582,414.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1561.1001586914062
CAR(17:0),414.4,85.1,2961.120189666748,414.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,129.5999641418457
CAR(18:4)_QUAL,420.3,60.1,4736.480377197266,420.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,851.020076751709
CAR(18:4),420.3,85.1,3442.040237426758,420.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,230.1999855041504
CAR(18:3)_QUAL,422.3,60.1,4866.660331726074,422.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,498.980037689209
CAR(18:3),422.3,85.1,2412.3001823425293,422.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(18:2)_QUAL,424.3,60.1,3553.1202812194824,424.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,172.5600471496582
CAR(18:2),424.3,85.1,2938.0801963806152,424.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,60.72002029418945
CAR(18:1)_QUAL,426.4,60.1,4656.000335693359,426.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,861.0600814819336
CAR(18:1),426.4,85.1,2235.800178527832,426.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,287.5800437927246
CAR(18:0)_QUAL,428.4,60.1,5000.06033706665,428.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,837.680061340332
CAR(18:0),428.4,85.1,2424.9401893615723,428.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,128.12002182006836
CAR(20:4)_QUAL,448.3,60.1,3257.2802391052246,448.3 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,122.60004425048828
CAR(20:4),448.3,85.1,2110.440174102783,448.3 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,162.40004348754883
CAR(20:2)_QUAL,452.4,60.1,3582.4402503967285,452.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(20:2),452.4,85.1,5175.220386505127,452.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,759.7600440979004
CAR(20:1)_QUAL,454.4,60.1,2829.9001960754395,454.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(20:1),454.4,85.1,2831.3202018737793,454.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,338.7800178527832
CAR(20:0)_QUAL,456.4,60.1,6964.700523376465,456.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1434.120101928711
CAR(20:0),456.4,85.1,1993.0401229858398,456.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,130.41998672485352
CAR(22:6)_QUAL,472.4,60.1,6174.540409088135,472.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1039.8400382995605
CAR(22:6),472.4,85.1,2014.1201477050781,472.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,42.06000518798828
CAR(22:5)_QUAL,474.4,60.1,16850.921142578125,474.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,7273.140480041504
CAR(22:5),474.4,85.1,1559.260108947754,474.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(22:4)_QUAL,476.4,60.1,4469.58028793335,476.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,869.2200508117676
CAR(22:4),476.4,85.1,1898.7001495361328,476.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,0.0
CAR(22:2)_QUAL,480.4,60.1,9504.9206199646,480.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,2083.4401206970215
CAR(22:2),480.4,85.1,3865.7402381896973,480.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,306.8400077819824
CAR(22:0)_QUAL,484.4,60.1,4733.460334777832,484.4 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,707.180046081543
CAR(22:0),484.4,85.1,3278.1002464294434,484.4 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,359.8600273132324
CAR(26:0)_QUAL,540.5,60.1,6412.360412597656,540.5 -> 60.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,1789.5000610351562
CAR(26:0),540.5,85.1,7432.720516204834,540.5 -> 85.1,CAR,CAR_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CAR,813.8000640869141
CE(12:0),586.6,369.2,5338.6403732299805,586.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,132.14001083374023
CE(14:1),612.6,369.2,5181.680351257324,612.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,30.499996185302734
CE(14:0),614.6,369.2,5597.800399780273,614.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,194.5600357055664
CE(15:1),626.6,369.2,6563.460453033447,626.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,643.9800453186035
CE(15:0),628.6,369.2,5377.980373382568,628.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,8.1400146484375
CE(16:3),636.6,369.2,5417.900394439697,636.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,195.22003555297852
CE(16:2),638.6,369.2,5332.680370330811,638.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(16:1),640.6,369.2,6928.540512084961,640.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,1620.8201713562012
CE(16:0),642.6,369.2,6702.260513305664,642.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,389.5400733947754
CE(17:1),654.6,369.2,5509.840385437012,654.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,331.90007400512695
CE(17:0),656.6,369.2,6184.920433044434,656.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,768.3400344848633
CE(18:3),664.6,369.2,7216.48051071167,664.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,2030.4401626586914
CE(18:2),666.6,369.2,13884.281066894531,666.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,8324.860683441162
CE(18:1),668.6,369.2,9800.820709228516,668.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,4290.26033782959
CE(19:0),684.7,369.2,5708.520370483398,684.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(20:5),688.6,369.2,5588.320404052734,688.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,110.20003509521484
CE(20:4),690.6,369.2,7921.940567016602,690.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,2834.0002403259277
CE(20:3),692.6,369.2,5576.100379943848,692.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,365.58005142211914
CE(20:1),696.7,369.2,5419.42036819458,696.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,176.82003021240234
CE(20:0),698.7,369.2,5751.560386657715,698.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(22:6),714.6,369.2,8425.760643005371,714.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,3218.2002868652344
CE(22:5),716.6,369.2,5461.480388641357,716.6 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,112.80003356933594
CE(22:3),720.7,369.2,5079.180328369141,720.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(22:2),722.7,369.2,5248.960388183594,722.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(22:1),724.7,369.2,5673.540370941162,724.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,297.14000701904297
CE(22:0),726.7,369.2,5395.300392150879,726.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(24:1),752.7,369.2,5305.780372619629,752.7 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,32.480018615722656
CE(46:3;O2),1089.0,369.2,5079.440322875977,1089.0 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
CE(48:3;O2),1117.1,369.2,5084.5403480529785,1117.1 -> 369.2,CE,CE_FAD261_m3_81_C_N1_loading_size_2_13_25,FAD261_m3_81_C,FAD261_m3,P1-B3,WT,C,M,81,300x,CE,0.0
