Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
TAG(50:3)_FA 18:0,63248.704162597656,85408.0859375,79596.10571289062,70935.8452758789,59908.944580078125,81353.38604736328
TAG(50:3)_FA 18:1,139095.30981445312,229717.2196044922,251190.8181152344,158911.69079589844,133366.7296142578,213988.27197265625
TAG(50:3)_FA 18:2,487914.162109375,586193.1049804688,712855.513671875,448318.18896484375,432620.91162109375,569793.421875
TAG(50:4)_FA 16:0,32706.12238311768,57739.90423583984,50571.26345062256,32074.422004699707,29998.42196655273,40181.78276062012
TAG(50:4)_FA 16:1,159295.89135742188,246745.07861328125,240895.4149169922,160896.01245117188,150989.63061523438,222844.97229003903
TAG(50:4)_FA 18:0,24549.44180297852,27760.161750793457,22982.101634979248,25034.661880493164,22059.421310424805,19240.781356811523
TAG(50:4)_FA 18:1,86669.42608642578,128149.2666015625,118327.78759765624,98393.32604980467,89947.2861328125,112741.9481201172
TAG(50:4)_FA 18:2,259013.77868652344,309394.08544921875,385415.583984375,232524.5146484375,187154.91284179688,363544.6262207031
TAG(52:0)_FA 16:0,154321.23095703125,161895.11181640625,176356.29174804688,152196.59130859375,156394.02905273438,141959.2900390625
TAG(52:0)_FA 16:1,34307.72216796875,41464.2028503418,40455.8630065918,33673.96240234375,33029.08235168457,36137.32243347168
TAG(52:0)_FA 18:0,292742.4624023437,333824.14306640625,327175.703125,296224.7021484375,299066.72216796875,263770.89892578125
TAG(52:0)_FA 18:1,51699.32336425781,60770.40435791016,61122.78381347656,53488.924377441406,54485.20343017578,51350.563720703125
TAG(52:0)_FA 18:2,23244.481704711918,27066.881797790527,23180.24155426025,25387.821731567383,21440.441539764404,22492.72177886963
TAG(52:0)_FA 20:0,73550.48565673828,77008.4857788086,73791.7857055664,65207.7650756836,65621.04467773438,60774.0046081543
TAG(52:0)_FA 20:4,28866.88195800781,23267.14177703857,20026.081428527832,19103.861434936523,21094.781372070312,19674.901428222656
TAG(52:1)_FA 16:0,102741.18780517578,111438.7078552246,131755.0909423828,81342.26678466797,76182.50494384766,99643.58654785156
TAG(52:1)_FA 16:1,159307.650390625,173699.79174804688,180309.37377929688,160156.33251953125,159016.232421875,145641.26989746094
TAG(52:1)_FA 18:0,232994.13793945312,375907.8435058594,348531.6114501953,229726.83740234372,224174.75659179688,278848.64001464844
TAG(52:1)_FA 18:1,478325.490234375,532085.736328125,566806.3388671875,472316.236328125,483315.9140625,462220.4697265625
TAG(52:1)_FA 18:2,57819.404541015625,62138.704528808594,64080.82412719727,56763.22375488281,56090.18389892578,54277.04364013672
TAG(52:1)_FA 20:4,17737.10118484497,20283.22145843506,17976.601470947266,19339.68128967285,20473.101470947266,17354.761459350586
TAG(52:1)_FA20:0,31535.54151916504,36717.10217285156,35772.44221496582,33069.74235534668,28826.261688232426,36335.24240875244
TAG(52:2)_FA 16:0,133135.7905883789,178237.95166015625,173126.97528076172,115542.20782470705,118686.08728027344,151484.72998046875
TAG(52:2)_FA 16:1,110757.34747314452,119475.02716064452,134005.63116455078,81605.60479736328,79265.92489624023,108951.40789794922
TAG(52:2)_FA 18:0,117730.98669433594,231612.0360107422,186158.0142211914,122866.98864746094,109325.88818359376,132929.6883544922
TAG(52:2)_FA 18:1,320359.38330078125,513281.6794433594,497078.1955566406,305816.6630859375,303237.34326171875,416081.7109375
TAG(52:2)_FA 18:2,532718.896484375,557451.0771484375,598956.0087890625,485309.15234375,501957.5166015625,493581.953125
TAG(52:2)_FA 20:0,23000.04162597656,24285.68173217773,23175.04165649414,25639.081985473636,23179.641662597656,24412.80167388916
TAG(52:2)_FA 20:4,19346.981163024902,22557.641746521,18187.421409606934,19135.121459960938,21872.121585845947,16724.221172332764
TAG(52:3)_FA 16:0,64078.14477539063,144197.51123046875,116421.04748535156,62163.12396240234,59491.08447265625,65657.20553588867
TAG(52:3)_FA 16:1,140817.71020507812,188762.2950439453,189594.21026611328,121119.68811035156,125512.78918457033,152900.1707763672
TAG(52:3)_FA 18:0,35019.36247253418,63845.92388916016,44108.26333618164,30604.20217895508,30477.481857299805,33401.58264160156
TAG(52:3)_FA 18:1,173095.03186035156,329384.20703125,257755.0355224609,177146.55310058594,169616.951171875,215604.1123046875
TAG(52:3)_FA 18:2,440163.2136230469,527180.7751464844,596084.5637207031,345203.22119140625,325696.0048828125,527859.470703125
TAG(52:3)_FA 20:0,18695.121284484863,19717.5415725708,18132.36125183105,20172.001182556152,18422.64125061035,17624.521324157715
TAG(52:3)_FA 20:4,28260.12208557129,38171.8828201294,36664.14300537109,33337.362701416016,31918.48226928711,31678.142204284668
TAG(52:4)_FA 16:0,92058.126953125,284087.3794555664,323881.74029541016,98758.26654052734,165953.6903076172,166717.4893798828
TAG(52:4)_FA 16:1,60458.564208984375,144616.03085327148,107618.90676879884,61603.24487304688,68793.40466308594,73200.16549682617
TAG(52:4)_FA 18:0,20384.90135192871,24118.861923217773,20406.92169189453,19658.401458740234,19292.961456298828,17306.141162872314
TAG(52:4)_FA 18:1,39409.94290161133,75835.98518371582,59379.36462402344,38635.422790527344,36006.8025970459,40813.08278656006
TAG(52:4)_FA 18:2,267215.2392578125,376592.431640625,355617.0876464844,226977.39575195312,210005.7138671875,307205.5046386719
TAG(52:4)_FA 20:0,23703.98163986206,18514.221340179443,16366.681133270264,19482.821437835693,15987.461250305176,14218.601016998293
TAG(52:4)_FA 20:4,197768.59106445312,225464.0764160156,267310.7585449219,165937.05200195312,177167.0115966797,217983.7130126953
TAG(52:5)_FA 16:0,28952.36204528809,39809.82284545898,32474.50262451172,30773.5419921875,31239.262237548828,29122.34218597412
TAG(52:5)_FA 16:1,89690.72607421875,282498.9182739258,307672.61798095703,105376.20874023438,164737.4913330078,162904.9909362793
TAG(52:5)_FA 18:0,30389.76190185547,40747.38285064697,30916.02210998535,38190.402893066406,37153.86248779297,28693.522003173828
TAG(52:5)_FA 18:1,20686.52149963379,23700.08161926269,21379.861434936523,22700.38143157959,19047.38119506836,19107.18105316162
TAG(52:5)_FA 18:2,47456.80360412598,83781.94519042969,60207.48392486572,41780.86309814453,35587.3025970459,51621.38415527344
TAG(52:5)_FA 20:0,22574.96134185791,25505.721908569336,18922.201332092285,20341.52124023437,22114.381622314453,16800.96124267578
TAG(52:5)_FA 20:4,97571.68548583984,126569.74993896484,154831.50805664062,87669.02642822266,76797.62530517578,144221.88916015625
TAG(52:6)_FA 16:0,36008.36260986328,41403.52294921875,42414.763122558594,38569.08288574219,39966.32278442383,35971.7419128418
TAG(52:6)_FA 16:1,34067.522453308105,39329.32269287109,41196.26329040527,37981.16297912598,35380.262634277344,32185.922119140625
TAG(52:6)_FA 18:0,25735.46175384521,27656.942092895508,24901.881797790527,27547.361862182617,23098.0817565918,23819.96173095703
TAG(52:6)_FA 18:1,31249.36220550537,43514.50253295898,34731.30239868164,44120.08309173584,39269.922760009766,31837.5818939209
TAG(52:6)_FA 18:2,24501.38163757324,29320.721923828125,23059.98147583008,24955.78163909912,22003.38150787353,22808.26173400879
TAG(52:6)_FA 20:0,34194.00304412842,41340.9231376648,34129.24175262451,54357.32280731201,37391.18241882324,35862.043380737305
TAG(52:6)_FA 20:4,81023.76489257812,98875.92657470705,103094.52740478516,79387.80554199219,74305.42553710938,99630.88763427734
TAG(54:0)_FA 16:0,36460.56274414063,45030.94320678711,51231.60443115234,43926.6628112793,37165.54281616211,43350.58354187012
TAG(54:0)_FA 16:1,32985.06201171875,41721.542892456055,38165.54246520996,38022.78244018555,38018.42277526856,42196.32276916504
TAG(54:0)_FA 18:0,196810.8537597656,218722.29760742188,218585.39453125,202755.8740234375,207006.87426757807,179452.53198242188
TAG(54:0)_FA 18:1,30981.70217895508,37544.862884521484,35245.90264892578,33879.922607421875,34177.44259643555,33495.102600097656
TAG(54:0)_FA 18:2,19546.72142028809,26851.08176422119,22756.28160095215,22807.98149871826,22610.94146728516,18366.681434631348
TAG(54:0)_FA 20:0,134810.98828125,133982.048828125,129501.6085205078,126355.92919921876,127293.97021484376,110633.90795898438
TAG(54:0)_FA 20:4,18374.721366882324,20390.401260375977,20522.701583862305,20699.02158355713,18698.881324768063,19846.5213432312
TAG(54:1)_FA 16:0,39048.00253295898,43280.82293701172,51364.12384033203,38058.102783203125,32499.062744140625,39336.62289047241
TAG(54:1)_FA 16:1,45438.60321044922,53916.82412719727,69849.36532592773,44794.92361450195,47891.46347045898,49200.103775024414
TAG(54:1)_FA 18:0,146971.5499267578,181986.3721923828,185623.62982177731,126327.1683959961,126136.32836914062,149751.35107421875
TAG(54:1)_FA 18:1,289784.66259765625,316311.1240234375,327556.9621582031,309623.6845703125,308179.5419921875,263913.0170898437
TAG(54:1)_FA 18:2,42713.0033569336,44068.36318969727,43784.08316040039,42853.923400878906,44414.70318603516,41050.66287231445
TAG(54:1)_FA 20:0,85750.76599121094,93418.26596069336,96644.42700195312,72514.78509521484,76218.82550048828,92667.44766235352
TAG(54:1)_FA 20:4,18593.361335754395,21530.701328277588,17493.361209869385,18095.0213508606,20325.14144897461,16725.80114364624
TAG(54:2)_FA 16:0,36587.36264038086,44683.203552246094,46783.38327026367,38449.14273071289,32541.382553100582,41932.64297485352
TAG(54:2)_FA 16:1,35718.40234375,43700.40333557129,50058.48321533203,39636.90255737305,32688.682693481445,41436.002838134766
TAG(54:2)_FA 18:0,286293.1201171875,417735.21240234375,346307.1442871094,250705.73583984372,271993.35681152344,271002.1770019531
TAG(54:2)_FA 18:1,160182.01220703125,205017.6331787109,216148.9596557617,140130.189453125,146011.18994140625,180038.6323852539
TAG(54:2)_FA 18:2,337104.2631835937,317557.58203125,333130.884765625,286439.92138671875,300319.6381835937,278054.0986328125
TAG(54:2)_FA 20:0,41260.66261291504,45085.80331420898,44137.80342102051,37974.44271850586,38567.86225891113,40777.46238708496
TAG(54:2)_FA 20:4,24210.001739501957,25696.74177551269,26610.96199798584,23959.00160217285,24750.70181274414,20970.101501464844
TAG(54:3)_FA 16:0,58438.98416137695,144079.39016723633,193666.67294311523,65030.56454467773,105464.44818115234,106553.30844116212
TAG(54:3)_FA 16:1,35207.68243408203,43922.64294433594,50094.02394104004,38810.52328491211,36665.122497558594,43785.10304260254
TAG(54:3)_FA 18:0,125736.54876708984,301239.97930908203,195664.73150634769,119659.94885253906,118585.88891601562,119398.90802001952
TAG(54:3)_FA 18:1,307030.19580078125,474908.7526855469,406569.8758544922,281866.5368652344,284852.1376953125,309827.6998291016
TAG(54:3)_FA 18:2,204503.4705810547,188663.2724609375,214912.9552001953,139631.1298828125,132707.97033691406,189676.95239257807
TAG(54:3)_FA 20:0,23180.221450805664,23286.20167160034,21455.561477661133,21273.9617767334,19631.48137664795,19961.641471862797
TAG(54:3)_FA 20:4,83854.78588867188,82644.54516601562,71665.60540771484,72787.52514648438,82037.64538574219,75702.16516113281
TAG(54:4)_FA 16:0,394552.2039794922,1349423.0673828125,1925240.4794311523,476601.850402832,1043576.3407897948,934467.6733398438
TAG(54:4)_FA 16:1,60033.04479980469,140169.82940673828,184607.31423950195,69857.74540710449,107853.5283203125,106077.62731933594
TAG(54:4)_FA 18:0,116603.98797607422,298737.14166259766,304893.0209960937,123363.96942138672,158608.2724609375,163982.5503540039
TAG(54:4)_FA 18:1,137067.6700439453,318922.22540283203,226601.2787475586,128245.72814941406,118749.62786865234,138049.5082397461
TAG(54:4)_FA 18:2,373306.3642578125,438840.1293945313,414908.27734375,273544.3376464844,260268.7990722656,343388.64111328125
TAG(54:4)_FA 20:0,17864.701286315918,24357.82221221924,17205.761150360107,21296.98156738281,17541.681030273438,14288.781044006348
TAG(54:4)_FA 20:4,245203.8955078125,251819.53515625,258439.87646484372,213321.13525390625,226815.99462890625,222657.8779296875
TAG(54:5)_FA 16:0,94699.68594360352,293059.9981689453,359914.07205200195,108910.04760742188,198162.5139770508,189198.97453308103
TAG(54:5)_FA 16:1,374479.7854003906,1323234.896850586,1762077.9721069336,458364.3364868164,1029688.0457763672,883761.4176635742
TAG(54:5)_FA 18:0,30146.042053222656,41770.66302490234,39006.022521972656,33835.20211791992,30595.68214416504,30512.981964111328
TAG(54:5)_FA 18:1,124778.10766601562,322199.8243408203,321606.1256713867,125232.34924316406,171505.01043701172,173201.57061767578
TAG(54:5)_FA 18:2,159208.7305908203,308835.8635253906,238090.3939819336,124497.96887207033,118178.9476928711,142856.2505493164
TAG(54:5)_FA 20:0,23696.881896972656,30866.282333374023,23203.60167694092,28502.44175720215,32148.60205078125,22382.821403503414
TAG(54:5)_FA 20:4,259594.53979492188,298196.55993652344,290583.14013671875,181505.2713623047,184841.83337402344,260295.28088378903
TAG(54:6)_FA 16:0,56707.184020996094,82788.10534667969,90747.62557983398,45729.54315185547,50666.30374145508,54447.20388793945
TAG(54:6)_FA 16:1,97345.82723999023,286427.1427001953,339951.1645202637,108862.24670410156,198789.49465942383,170078.6316986084
TAG(54:6)_FA 18:0,35837.102447509766,42113.86315917969,37953.182678222656,39620.083435058594,34879.602600097656,31418.121948242188
TAG(54:6)_FA 18:1,32961.44268798828,43180.003341674805,41792.18295288086,34801.62240600586,33051.10221862793,29819.002197265625
TAG(54:6)_FA 18:2,124195.98901367188,281157.6409301758,282689.5408935547,124920.26696777344,146973.68963623047,169552.41311645508
TAG(54:6)_FA 20:0,18326.521392822266,18618.80139160156,17794.52155303955,16590.901123046875,17842.001266479492,15996.14094543457
TAG(54:6)_FA 20:4,112843.9271850586,188684.5550537109,162560.95141601562,92965.3876953125,95932.2466430664,124537.30883789062
TAG(54:7)_FA 16:0,64442.32403564453,68662.80471801758,87115.20486450195,54648.683349609375,56709.38360595703,98046.62536621094
TAG(54:7)_FA 16:1,54179.78366088867,80429.46588134766,92863.96704101562,43240.44338989258,56398.82421875,52287.88397216797
TAG(54:7)_FA 18:0,36814.98243713379,38533.362701416016,44214.403411865234,36065.362548828125,35474.622497558594,33060.30229187012
TAG(54:7)_FA 18:1,34879.74237060547,38014.34225463867,39672.76281738281,39321.52276611328,36122.7421875,34594.022399902344
TAG(54:7)_FA 18:2,33746.78242492676,44156.80319213867,37769.96226501465,37097.28268432617,32021.062286376957,32802.06213378906
TAG(54:7)_FA 20:0,29409.74239349365,35066.142082214355,27651.401580810547,28799.901916503903,25663.58208465576,27600.601753234863
TAG(54:7)_FA 20:4,28791.121963500977,48526.32357788086,32827.08174133301,27624.02163696289,25944.022033691406,26336.401748657227
TAG(54:8)_FA 16:0,43191.60330200195,50443.10345458984,51646.62344360352,42841.80310058594,44484.00280761719,45629.78370666504
TAG(54:8)_FA 16:1,74394.58395385742,85384.66761779785,100697.44738769533,67409.1849975586,73216.8451538086,110622.68977355956
TAG(54:8)_FA 18:0,48373.2033996582,65575.94403076172,65930.00457763672,52058.1032409668,51633.96340942383,59145.40393066406
TAG(54:8)_FA 18:1,48965.34307861328,61141.26354980469,74778.52432250977,55720.223876953125,49250.96322631836,55688.16384887695
TAG(54:8)_FA 18:2,43451.603271484375,49747.863372802734,43558.82299804688,40097.16271972656,41114.54248046875,39937.12271118164
TAG(54:8)_FA 20:0,33200.00241088867,37069.14289855957,34556.18242645264,30095.48220062256,29303.06234741211,32501.12264251709
TAG(54:8)_FA 20:4,20025.741287231445,25682.321899414062,19425.201442718502,20495.5213470459,18636.081298828125,17774.841159820557
TAG(56:0)_FA 16:0,86589.98574829102,93392.34646606444,108849.70791625977,91277.00588989258,82411.76623535156,97855.24681091309
TAG(56:0)_FA 16:1,28636.842224121094,36607.762786865234,34656.46282196045,33264.702560424805,30578.782180786133,30353.642318725582
TAG(56:0)_FA 18:0,36218.362365722656,41190.24336242676,54800.58377075195,39335.48287963867,37298.66213989258,37492.56265258789
TAG(56:0)_FA 18:1,38173.48265075684,44130.54293823242,43137.48360443115,46128.3436126709,39297.24249267578,48473.70301055908
TAG(56:0)_FA 18:2,40685.04266357422,42359.84274291992,33110.66221618652,41371.34265136719,42497.98278808594,34393.842544555664
TAG(56:0)_FA 20:0,142800.6307373047,137864.36962890625,137633.34936523438,126613.88854980467,130769.2882080078,117723.04870605467
TAG(56:0)_FA 20:4,23222.921546936035,22785.681747436523,18864.721534729004,23933.80166244507,20787.201538085938,20451.58110809326
TAG(56:1)_FA 16:0,29944.72201538086,35998.762283325195,40580.76348876953,27696.082107543945,26490.00180053711,30966.76211547852
TAG(56:1)_FA 16:1,89452.44689941406,97541.0672302246,107523.96685791016,88350.34506225586,82648.86614990234,96526.68704223631
TAG(56:1)_FA 18:0,28938.94189453125,35705.58289337158,41833.80288696289,28518.90187072754,30040.12222290039,33886.42208099365
TAG(56:1)_FA 18:1,41675.12289428711,49483.96420288086,59321.32452392578,42554.24243164063,38450.5228881836,44833.70327758789
TAG(56:1)_FA 18:2,40694.32272338867,44690.78266143799,42031.88300704956,49050.064453125,43129.74287414551,47908.50363922119
TAG(56:1)_FA 20:0,77232.52513122559,72426.30474853516,74662.14456176758,57289.68405151367,61613.44409179688,62153.94421386719
TAG(56:1)_FA 20:4,24973.521911621094,27138.642066955566,25811.92186355591,24867.801651000977,27756.62198638916,23485.58162689209
TAG(56:2)_FA 16:0,32681.38270568848,37233.28276062012,37484.74286651611,34594.722427368164,31018.822219848636,34249.56245422363
TAG(56:2)_FA 16:1,28262.102157592773,38180.7227935791,38668.36289978027,33233.68212890625,27792.3221282959,28676.78207397461
TAG(56:2)_FA 18:0,29958.802139282227,43118.76300048828,39895.68280029297,32961.92261886597,30825.221923828125,36184.042221069336
TAG(56:2)_FA 18:1,35248.44216918945,38434.822814941406,41891.00309753418,33555.64242553711,30831.2420501709,37588.58264923096
TAG(56:2)_FA 18:2,45035.14340209961,46382.1637878418,56579.52444458008,37716.14263916016,40591.663146972656,42831.10314941406
TAG(56:2)_FA 20:0,210208.05432128903,170964.05340576172,121554.58728027344,107862.70806884766,132100.59100341797,120370.48815917967
TAG(56:2)_FA 20:4,17199.30108642578,18257.62117767334,18077.441375732426,17918.121215820312,18788.461250305176,16216.961235046389
TAG(56:3)_FA 16:0,32351.10235595703,34404.68231201172,30380.342010498047,32589.38256835937,32718.602600097656,28786.121948242188
TAG(56:3)_FA 16:1,33847.822021484375,38938.60279846192,40898.842781066895,35475.64254760742,28998.08195495605,31073.461807250977
TAG(56:3)_FA 18:0,47650.38320922852,100376.10720825195,142189.14962768555,50970.26316833496,80393.98582458496,87872.78663635254
TAG(56:3)_FA 18:1,37554.90223693848,44234.12341308594,50578.14443969727,41630.98281860352,35482.68274688721,42467.36260986328
TAG(56:3)_FA 18:2,41141.12275695801,45689.12313842773,56424.18342590332,39321.72326660156,36558.482666015625,42825.203125
TAG(56:3)_FA 20:0,59268.20422363281,75857.60513305664,52943.18315124512,50341.88296508789,45170.483459472656,44722.82290649414
TAG(56:3)_FA 20:4,35278.84280395508,34656.562438964844,33912.702392578125,30649.282104492188,30739.86233520508,29364.70198059082
TAG(56:4)_FA 16:0,35983.202560424805,39857.70265197754,40346.68249511719,26886.442108154297,29178.46208953857,28576.722290039062
TAG(56:4)_FA 16:1,33837.36242675781,35114.122497558594,30171.222290039062,35362.52278137207,29260.582023620605,26391.78205871582
TAG(56:4)_FA 18:0,271809.7192993164,910866.8001708984,1295228.152770996,323471.74139404297,687400.3917236328,662278.4473876953
TAG(56:4)_FA 18:1,48496.66360473633,91594.80651855467,119913.60856628418,53367.343338012695,74219.46524047852,80187.88585662842
TAG(56:4)_FA 18:2,41496.84336853027,47847.90315246582,47596.78332519531,43187.20269775391,38311.96258544922,49224.14337158203
TAG(56:4)_FA 20:0,53687.08462524414,79781.50523376465,63737.82518005371,60036.18521118164,52395.68336486816,52152.72395324707
TAG(56:4)_FA 20:4,203110.91479492188,192799.83349609372,189908.513671875,176413.31274414062,172240.1513671875,161700.87158203125
TAG(56:5)_FA 16:0,51673.76382446289,49630.243713378906,49408.36376953125,38497.10266113281,38066.26313781738,39273.6022644043
TAG(56:5)_FA 16:1,37800.28317260742,40998.36302947998,37396.04277038574,28175.141998291016,32947.70231628418,30633.46216583252
TAG(56:5)_FA 18:0,76432.22546386719,215786.09631347656,257733.63774108887,80107.80517578125,142734.34992980957,141350.95135498047
TAG(56:5)_FA 18:1,205120.73559570312,784323.4182128906,1009389.6517333984,269262.87811279297,558625.5455322266,565310.7159118652
TAG(56:5)_FA 18:2,46966.82371520996,95671.8867340088,112015.7871170044,51422.043548583984,74605.12561035156,82275.42622375488
TAG(56:5)_FA 20:0,25643.34164428711,27347.322074890137,25514.80174255371,22953.221557617188,23936.961601257324,21266.561820983887
TAG(56:5)_FA 20:4,151515.5098876953,141967.4111328125,142972.6905517578,99108.26544189452,107042.5463256836,128076.8296508789
TAG(56:6)_FA 16:0,232518.6374206543,106593.86703491212,129801.52951049805,53283.22393798828,61076.78378295898,61423.82427978516
TAG(56:6)_FA 16:1,48852.4033203125,46733.76348876953,51971.04376220703,35318.52290344238,37576.72233581543,37018.58332824707
TAG(56:6)_FA 18:0,60730.04443359375,78161.70574951172,90410.78649902344,43791.84271240234,48997.70361328125,55977.24346923828
TAG(56:6)_FA 18:1,71692.62524414062,193261.0736694336,204881.4331665039,75890.705078125,124945.4694519043,131036.26953125
TAG(56:6)_FA 18:2,203782.45489501956,792521.8972167969,987505.9201049804,268498.01596069336,563809.4963989258,589896.200012207
TAG(56:6)_FA 20:0,22977.4015045166,25641.541679382324,22635.081413269043,23517.681716918945,23321.62187194824,18620.86134338379
TAG(56:6)_FA 20:4,358989.66650390625,346449.8078613281,294964.12072753906,208741.29528808597,234408.97998046875,248068.75744628903
TAG(56:7)_FA 16:0,48600.2829284668,64995.40478515625,76218.40551757812,44517.16323852539,42744.26298522949,50394.34341430664
TAG(56:7)_FA 16:1,230641.89727783203,108681.24829101562,126585.70915222168,56517.92440795898,66834.12530517578,59465.34359741211
TAG(56:7)_FA 18:0,60387.7048034668,61925.184020996094,82155.4848022461,57165.0842590332,54752.72463989258,96341.02716064452
TAG(56:7)_FA 18:1,53814.54370117188,77643.12658691406,76086.0053100586,48413.44329833984,55534.603759765625,55776.2038269043
TAG(56:7)_FA 18:2,73851.7448425293,190598.3320922852,205044.0758666992,74194.86538696289,123486.4888305664,125239.46882629396
TAG(56:7)_FA 20:0,30172.102157592773,29181.44218444824,21488.061546325684,23529.12156677246,22641.38186645508,24519.10174560547
TAG(56:7)_FA 20:4,121387.62902832033,211212.1752319336,155958.25421142578,90229.8275756836,94353.96575927734,97721.1866455078
TAG(56:8)_FA 16:0,62691.74478149414,52300.16345214844,55806.08331298828,42414.22314453125,44723.26361083984,51915.98373413086
TAG(56:8)_FA 16:1,46177.023529052734,64726.364685058594,77040.96501159668,44929.643325805664,49018.64337158203,47440.56303405762
TAG(56:8)_FA 18:0,36643.44255065918,39283.50274658203,42799.92280578613,35996.3621673584,33922.342376708984,33599.362365722656
TAG(56:8)_FA 18:1,68756.98583984375,69111.14437866211,83043.60549926758,52468.56369018555,59732.66418457031,97318.32543182372
TAG(56:8)_FA 18:2,56827.14440917969,77130.06494140625,80875.44659423828,45786.54327392578,50819.723571777344,60575.52471923828
TAG(56:8)_FA 20:0,37472.80239868164,38237.06274414063,29816.942085266117,29376.66201019287,23346.72183227539,25472.741973876957
TAG(56:8)_FA 20:4,98856.6674194336,152536.5343322754,121386.8489074707,85809.48556518555,79700.28555297852,92034.52645874023
TAG(58:0)_FA 16:0,38114.6025390625,41809.54312133789,55975.62414550781,37783.56301879883,34980.30238342285,34521.98231506348
TAG(58:0)_FA 16:1,53225.8642578125,73933.9242553711,59974.52487182617,80605.76586914062,67386.6449432373,60471.38507080078
TAG(58:0)_FA 18:0,91567.7466430664,97682.48794555664,106857.96771240234,88124.86585998535,86625.0259399414,104986.1880493164
TAG(58:0)_FA 18:1,28950.921875,30174.28196716309,28174.421867370605,26029.602165222168,25187.942092895508,25247.14179992676
TAG(58:0)_FA 18:2,23096.101638793945,23700.881622314453,16841.701179504395,20087.701385498047,20559.821350097656,15979.501190185549
TAG(58:0)_FA 20:0,28103.40203857422,29346.442092895508,31089.302276611328,24471.821731567383,25617.64195251465,28400.582229614258
TAG(58:0)_FA 20:4,48613.02300262451,37241.86246490479,38656.2825012207,26364.18186950684,31563.402500152588,38755.0421295166
TAG(58:1)_FA 16:0,25689.16192626953,29278.022033691406,29388.302474975582,23712.761749267574,20890.581520080566,24347.24186706543
TAG(58:1)_FA 16:1,39073.52264404297,44418.503509521484,53217.82395172119,39897.40295410156,35393.462646484375,37525.90270996094
TAG(58:1)_FA 18:0,28479.742126464844,36998.622497558594,38859.00326538086,30391.6826171875,25753.32179260254,31023.20175552368
TAG(58:1)_FA 18:1,112015.9696044922,110151.10565185548,118829.86987304688,105787.18670654295,102825.48812866212,115614.2684249878
TAG(58:1)_FA 18:2,28051.441787719727,30445.98193359375,31967.902534484863,26739.54200744629,25116.06192779541,24144.821731567383
TAG(58:1)_FA 20:0,26124.40187072754,26465.06214904785,24352.121688842773,23807.161582946777,25602.28189086914,21839.86155319214
TAG(58:1)_FA 20:4,20259.42144012451,19558.42146301269,20051.361358642574,18727.60149383545,21123.081466674805,18205.38106918335
TAG(58:10)_FA 16:0,21799.38153076172,24338.90200805664,23550.721771240234,22693.801414489742,22653.98156738281,22271.4216003418
TAG(58:10)_FA 16:1,22126.62139892578,23951.341583251957,24513.381538391117,25073.02170562744,18458.941177368164,20137.441513061523
TAG(58:10)_FA 18:0,41191.24327850342,40570.80290222168,49021.84438323975,32570.922218322758,33347.74247741699,37399.4024810791
TAG(58:10)_FA 18:1,27418.16200256348,27169.90182495117,28580.30200958252,27283.32191467285,26148.76181030273,28879.20188903809
TAG(58:10)_FA 18:2,63931.82495117188,48827.98333740234,53029.02345275879,42534.18305969238,37789.92263793945,51131.88404846192
TAG(58:10)_FA 20:0,20881.421508789062,21849.941528320312,21397.62156677246,20486.861488342285,22371.561630249023,18452.061401367188
TAG(58:10)_FA 20:4,30700.342163085938,35308.522857666016,34241.00199890137,27753.02182006836,27201.301971435547,29708.32208251953
TAG(58:2)_FA 16:0,22541.44162750244,27334.72203063965,23767.601593017574,25581.081497192383,21232.7216796875,17778.961235046387
TAG(58:2)_FA 16:1,24026.401611328125,26215.04168701172,32486.16248321533,24204.581573486328,20853.881240844727,22279.481552124023
TAG(58:2)_FA 18:0,32704.92250061035,37445.56265258789,41653.62289428711,31300.462158203125,26088.041946411133,28114.26211547852
TAG(58:2)_FA 18:1,30812.422149658203,35633.08200073242,38212.5827331543,30262.52165222168,28432.602157592773,34126.6424407959
TAG(58:2)_FA 18:2,114083.34765625,113753.9680480957,118013.46801757812,100275.90893554688,100272.88745117188,117084.88931274414
TAG(58:2)_FA 20:0,26567.321517944336,26685.98191833496,26167.82208251953,24021.261589050293,23556.901809692383,27501.92163085937
TAG(58:2)_FA 20:4,48038.983459472656,48927.24346923828,43023.92297363281,48199.34307861328,52337.54302978516,44482.9626159668
TAG(58:3)_FA 16:0,32704.462867736816,30275.241989135742,34826.60223388672,30613.96216583252,25850.061637878414,25106.341766357426
TAG(58:3)_FA 16:1,21059.781463623047,27886.44204711914,23265.5018157959,23804.76153564453,22066.10154724121,21834.66149902344
TAG(58:3)_FA 18:0,27200.26203918457,27700.622146606445,26049.64192199707,27925.021797180176,24436.90168762207,25103.84210205078
TAG(58:3)_FA 18:1,36840.36255645752,38686.2629699707,35778.88252258301,33661.92224121094,31844.822463989258,33522.2819519043
TAG(58:3)_FA 18:2,35965.822265625,36729.022872924805,39057.76290130615,29437.022216796875,27851.061782836918,33211.34248352051
TAG(58:3)_FA 20:0,19508.881462097168,21915.921703338623,21435.28175354004,19728.621536254883,20509.881523132324,19183.8212928772
