Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
PG (36:3),65389.604888916016,87005.88610839844,53786.163665771484,67619.90502929688,70320.92504882812,57461.044189453125
PG (36:4),68909.8451538086,88303.12628173828,58225.44384765625,74410.66467285156,80452.54571533203,71613.40441894531
PG (36:5),56448.04425048828,59226.764221191406,51134.60290527344,50790.56378173828,57807.28387451172,54978.50360107422
PG (36:6),58527.00439453125,65036.38458251953,50959.643615722656,50681.82357788086,64160.32427978516,58855.88381958008
PG (36:7),73597.6455078125,85593.18644714355,57013.683685302734,79149.00595092773,69147.34451293945,72932.4455871582
PG (36:8),311157.482421875,325331.8876953125,198792.594909668,386411.1553955078,297908.6530761719,344737.4437866211
PG (38:0) | PGp (40:6),187481.07244873047,227386.8992919922,105329.6264038086,190174.7135620117,169809.42895507812,170645.83209228516
PG (38:1),139777.9501953125,182985.852722168,88625.58532714844,121216.64819335938,109294.20849609376,98048.48657226562
PG (38:2),178818.45166015625,337394.5695800781,102677.96655273438,145187.01055908203,147819.08984375,139263.43008422852
PG (38:3),98201.48809814452,148948.31024169922,60911.56439208984,80991.42547607422,79192.40533447266,72152.52508544922
PG (38:4),144185.73095703125,140745.1690673828,90295.68646240234,136480.009765625,119284.06762695312,99562.02746582033
PG (38:5),78744.9448852539,89525.78625488281,63744.00402832031,73184.16552734375,75128.88568115234,69885.64471435547
PG (38:6),71733.22546386719,91206.1058959961,60061.96420288086,72126.76470947266,79418.06610107422,78120.3251953125
PG (38:7),209252.6136779785,301795.8399658203,168381.69256591797,235200.4008178711,222099.0767211914,259120.6607666016
PG (38:8),87520.8461303711,116608.24926757812,66596.36511230469,68125.20458984375,72014.1049194336,70646.2240600586
PG (38:9),88996.70568847656,134265.50872802734,69646.72454833984,91124.20709228516,100291.76586914062,98773.00704956056
PG (40:0) | PGp (42:6),387317.310546875,382324.8695678711,336013.9026489258,386680.98541259766,375699.0263671875,301134.34674072266
PG (40:0) | PGp (42:6)_2,351685.84466552734,356322.60736083984,310752.63830566406,328446.0856323242,351540.8924560547,273542.41900634766
PG (40:1),57209.86395263672,64855.38494873047,48710.42385864258,60631.38446044922,59966.364318847656,56693.104064941406
PG (40:10),224028.55786132807,321284.7852783203,193370.5118408203,347433.8899536133,317825.1064453125,599872.6474609375
PG (40:2),129176.96942138672,191235.59503173828,141936.97094726562,152889.55078125,185994.95513916016,283149.9178466797
PG (40:3),73247.78540039062,79081.20520019531,54974.04360961914,67243.22509765625,69096.68505859375,63756.14483642578
PG (40:4),130747.4091796875,112691.32824707033,78115.10595703125,131304.76879882812,111929.42785644533,89779.00659179688
PG (40:5),200654.7939453125,153739.95141601562,105078.70727539062,214803.2353515625,155818.65063476562,134482.56872558594
PG (40:6),1363399.65625,932621.0888671876,522733.861328125,1454527.33203125,905678.443359375,705732.9873046875
PG (40:7),117273.62878417967,186432.0150756836,76713.86547851562,95819.58770751952,97777.5267944336,87491.78662109375
PG (40:8),79032.22476196289,135800.84991455078,55666.3236694336,70589.02517700195,76690.04595947266,71536.7844543457
PG (40:9),72173.18399047852,98813.24536132812,57565.143463134766,73295.86639404297,78606.86535644531,84672.28698730469
PG (42:0),113936.30953979492,130459.23049926758,126164.0308227539,191951.00843811035,118242.12942504884,170693.11334228516
PG (42:1),55072.32360839844,58629.48388671875,51118.80334472656,50540.44409179688,54373.26290893555,56178.68392944336
PG (42:10),76445.04498291016,70133.14474487305,51570.064697265625,60959.76477050781,63663.584869384766,55439.14297485352
PG (42:11),259582.9608154297,235100.67596435547,188993.7288513184,211025.7693786621,205345.1366882324,192983.8348693848
PG (42:2),62573.704162597656,74839.88610839844,52344.32379150391,61565.16424560547,62189.46389770508,65301.14498901367
PG (42:3),190294.7935791016,218217.2755126953,165323.08984375,244389.21502685547,191108.21502685547,255126.0132446289
PG (42:4),51495.82354736328,48151.46371459961,51747.00357055664,46201.92303466797,49291.34387207031,60225.58432006836
PG (42:5),48664.96353149414,51702.56332397461,40010.82284545898,44851.36322021485,52950.54333496094,49600.5637512207
PG (42:6),109471.92797851562,106569.9077758789,65895.00457763672,111978.44787597656,96676.70874023438,86121.02471923828
PG (42:7),53421.06359863281,58632.564208984375,43373.04302978516,55914.76446533203,52699.023986816406,54640.36395263672
PG (42:8),63849.94445800781,69619.06408691406,55511.683685302734,63201.343505859375,67711.52502441406,68634.38497924805
PG (42:9),98854.06701660156,121691.98834228516,103942.74768066406,98093.30688476562,111742.00793457033,117689.04864501952
PG (44:0),35315.722564697266,34490.70245361328,30805.88217163086,32861.7825012207,32521.52227783203,33691.542541503906
PG (44:1),32837.182373046875,34557.1022644043,30492.78220367432,29842.182052612305,34037.30229187012,32411.2022895813
PG (44:10),76613.40557861328,60449.62454223633,42677.82321166992,75505.92578125,67778.64581298828,57772.48425292969
PG (44:12),77869.58532714844,65205.565002441406,45019.04333496094,80839.92565917969,61501.40411376953,50526.483642578125
PG (44:2),38467.402770996094,39746.96279144287,34474.64217376709,37004.942321777344,39444.44257354736,38754.9227104187
PG (44:3),34683.622425079346,36949.02239990234,30556.862243652344,32100.20236968994,35796.282653808594,35820.062576293945
PG (44:4),38442.542724609375,35789.30242919922,32097.782287597656,36113.30276489258,35939.44256591797,36859.12268066406
PG (44:5),37387.9423828125,36922.28289794922,33214.38259887695,34946.762603759766,35725.982360839844,36506.70275878906
PG (44:6),35656.52256774902,39178.94282531738,34118.98239135742,35425.34240722656,38206.00277709961,35387.64245605469
PG (44:7),36816.26272583008,39242.32269287109,32682.182235717773,39800.88275146485,41860.48272705078,37747.86277770996
PG (44:8),39289.36267089844,42252.20294189453,31329.56225585937,38250.26290893555,40996.06311035156,42299.7428894043
PGo (20:0),99502.70678710938,94053.32818603516,1766.920139312744,107032.38772583008,112998.56848144533,2096.8401527404785
PGo (28:0),66681.52453613281,51632.403564453125,55712.96362304688,45792.54333496094,47109.96301269531,43562.302978515625
PGo (30:0),104598.40756225586,107913.26754760742,102795.94760131836,124834.84765625,118421.48690795898,129981.07046508788
PGo (30:1),74551.60586547852,69316.4047241211,57865.38429260254,54072.783752441406,63302.0439453125,66229.48439025879
PGo (32:0),54444.304443359375,59134.2639465332,45255.08264160156,49651.88299560547,53017.70394897461,47567.54370117188
PGo (32:1),40229.84280395508,42881.66279602051,33496.522384643555,38855.72317504883,40278.74264526367,40180.48254394531
PGo (34:0),128321.01022338869,135868.2508239746,102070.90728759766,111612.10733032228,129640.26983642578,129005.35140991212
PGo (34:2),60302.724853515625,65990.22528076172,56021.904296875,58538.74411010742,60914.184509277344,58075.86437988281
PGo (34:3),53857.564025878906,52954.72299194336,46056.12310791016,51776.42431640625,55654.40444946289,46732.243255615234
PGo (34:4),53593.7038269043,63367.7841796875,46951.283203125,49149.02374267578,51076.18356323242,50440.663665771484
PGo (36:0),63629.76483154297,79160.86572265625,53702.4228515625,62443.60369873047,64263.56329345703,59897.08505249024
PGo (36:1),247066.5167236328,250484.4373779297,158368.81091308594,285783.7366333008,224637.09796142575,266618.97576904297
PGo (36:2),56512.80432128906,65957.4048461914,51647.28350830078,53417.90362548828,62212.984130859375,58624.18405151367
PGo (36:4),59408.9642944336,64048.38543701172,50522.243591308594,52028.80285644531,60861.964111328125,55364.96389770508
PGo (36:5),53124.08419799805,58666.144622802734,44592.40353393555,49421.10395812988,54335.72375488281,51333.34359741211
PGo (38:0),149665.1717529297,225616.93603515625,122536.26745605467,143249.34857177734,152169.31298828125,173180.0138244629
PGo (38:1),82742.64672851562,133930.70724487305,59357.52423095703,66932.4848022461,65572.30456542969,65872.94485473633
PGo (38:2),80400.4850769043,127758.4096069336,60925.62493896485,77546.48443603516,84578.00561523438,82885.78546142578
PGo (38:3),89020.306640625,112508.64770507812,65254.14389038086,102217.14749145508,94767.34692382812,87379.40594482422
PGo (38:4),86288.88598632812,106569.74841308594,60189.08485412598,66897.48486328125,80640.86560058594,71416.92556762695
PGo (38:6),58258.84442138672,61348.92376708984,49832.44323730469,54999.484130859375,63028.8639831543,60036.14419555664
PGo (40:0),113656.3077392578,172388.4330444336,72098.88464355469,100427.04815673828,93013.34545898438,84274.74530029297
PGo (40:1),85847.5863647461,153345.0528564453,57194.32369995117,76822.50582885742,73884.94479370117,70736.5443725586
PGo (40:2),69309.84518432617,95579.02551269533,55909.424713134766,61305.5849609375,67165.044921875,65676.56460571289
PGo (40:4),62333.62518310547,55863.80374145508,51710.00289916992,53854.50396728516,53457.72344970703,49574.54382324219
PGo (40:5),56090.04382324219,58707.40432739258,47556.10363769531,49527.46350097656,55823.5442199707,56264.34368896485
PGo (40:6),124338.0100402832,139171.39129638672,115460.04870605467,106125.02682495116,115162.54913330078,119155.5092163086
PGo (40:9),167735.97296142578,256948.5548095703,149640.19229125977,247498.19506835935,232130.27764892575,444719.8696899414
PGo (42:0),46376.1630859375,53598.783752441406,44023.30294799805,50446.10366821289,51210.94323730469,48612.52342224121
PGo (42:1),54177.98431396485,58719.50421142578,44522.72332763672,52096.18359375,56030.16375732422,53552.804290771484
PGo (42:2),85813.08630371094,98590.68591308594,84137.22714233398,81075.36456298828,93059.50799560548,90816.74588012695
PGo (42:4),167406.58923339844,150553.4921875,128261.83193969728,137700.07131958008,125004.08850097656,133589.42797851562
PGo (42:6),86113.66668701172,93462.62567138672,75945.42459106445,78712.88482666016,85612.80584716797,85340.52587890625
PGp (16:0),102133.8876953125,94788.6279296875,91672.7651977539,95155.78619384766,101443.34777832033,91221.5474243164
PGp (20:0),55105.503662109375,61318.7841796875,1503.000114440918,50748.52404785156,55009.34324645996,1516.7800979614258
PGp (28:0),56178.94364929199,64376.22457885742,59157.10464477539,53166.40361022949,53483.80380249024,56327.744384765625
PGp (30:1),76532.5661315918,80888.38494873047,61609.24423217773,78523.48532104492,74333.00527954102,84479.60583496094
PGp (34:4),52125.26397705078,58204.08377075195,41434.70309448242,50230.42370605469,49507.12350463867,49620.62377929688
PGp (36:5),89280.7474975586,112373.76818847656,85368.2053527832,99507.02731323242,99188.92712402344,86896.5054321289
PGp (38:6),176833.17346191406,204002.7972412109,130913.16845703124,171103.37353515625,179790.9522705078,133670.15032958984
PGp (42:2),65161.06497192383,58730.64431762695,45530.88333129883,54688.58361816406,50129.403381347656,51375.883697509766
PGp (42:4),43981.32275390625,48109.14349365234,40612.00296020508,40814.92303466797,41654.24267578125,43746.80310058594
PI (14:1),123372.79021453856,562594.0080566406,566800.9542236328,87930.18745422363,591114.2644042969,403640.1101951599
PI (20:1),93719.14587402344,177796.251953125,142828.63037109375,51636.04315185547,212258.8922119141,126028.8702392578
PI (24:0),32091.00230407715,86725.3860168457,67239.30380249023,24467.201652526852,86344.14608764648,54428.62454223633
PI (26:0),37289.74206924439,73073.3447265625,67958.66421508789,28669.461959838867,81403.72564697266,66312.02551269531
PI (26:1),136320.34786605835,184582.9521484375,157794.73071289062,83967.46563720703,170603.53125,152212.65161132812
PI (28:0),43704.58303833008,99238.98736572266,115799.5078125,35015.34257507324,132350.24908447266,120998.14569091795
PI (28:1),22466.841480255127,66445.56469726562,65850.26412963867,24566.401596069336,77621.08575439453,59733.48333740234
PI (28:2),18509.621223449707,59232.20361328125,43147.583084106445,13028.300888061523,47503.14274597168,33366.50263214111
PI (30:0),222123.53685760495,346193.365234375,431046.3286132813,153856.65075683594,453233.1123046875,483270.1123046875
PI (30:1),75253.12411117554,159683.79138183594,213133.53692626956,62417.544036865234,225333.3770751953,223326.7996826172
PI (30:2),41060.20316314697,97146.28814697266,99974.64630126952,26180.82194519043,107158.80743408205,88728.66516113281
PI (30:3),18325.30136871338,49782.2038269043,38408.82273864746,15421.001209259031,49826.68344116211,37546.80274963379
PI (30:4),19589.56147003174,65299.88409423828,52388.96434020996,16516.641235351562,65357.46495056152,37512.02251434326
PI (32:0),352287.84630203247,581099.5834960938,698131.1748046875,226664.05493164065,733344.2294921875,776586.3583984375
PI (32:1),203842.09424591064,416512.8896484375,500735.3974609375,158019.0926513672,518059.5971679688,551380.0859375
PI (32:2),244340.29721069336,339505.6875,366907.5073242188,168559.77099609375,385358.2055664063,369250.265625
PI (32:3),21970.42146301269,62829.3846282959,46062.62312316895,19844.92123413086,62074.70454406738,41283.76281738281
PI (32:4),19655.10160446167,86688.04629516602,76552.96382141113,25519.94155883789,83605.10633850098,58125.183586120605
PI (32:5),22124.20140838623,89272.72634887695,61825.98498535156,26611.42183303833,76573.52513122559,54305.78366088867
PI (34:0),333545.7022781372,456175.009765625,479525.23583984375,232600.81591796875,498886.8403320313,498755.498046875
PI (34:1),174107.97372436523,547623.8002929688,497356.9462890625,137670.65002441406,504785.4711914063,499667.3879394531
PI (34:2),169594.0131340027,376944.10693359375,367383.2668457031,114742.7876586914,379800.2087402344,325588.2214355469
PI (34:3),29997.402141571045,105608.068359375,87527.02781677246,34141.82288360596,102268.74661254884,64454.92425537109
PI (34:4),18515.02138137817,64305.22518920898,45183.94377136231,16654.061199188232,52410.48387145996,42308.583236694336
PI (34:5),29600.06217575073,117798.94995117188,87818.38702392578,31439.92170715332,107101.6082458496,66850.80519104004
PI (34:6),23105.28168106079,59737.28498840332,51672.12390136719,18714.88136291504,64948.94467163086,51973.54399108887
PI (36:0),153883.6508216858,209671.83520507807,205123.2548828125,107766.46856689452,217847.33715820312,194182.8740234375
PI (36:1),49240.12377929688,174926.5919189453,122025.7276611328,55202.26419067383,143476.388671875,98630.2667541504
PI (36:2),85905.54592895508,308976.9620361328,258618.61791992188,74638.88568115234,247442.3795166016,141449.169921875
PI (36:3),42015.803047180176,246779.3375244141,186322.3533935547,41156.443351745605,202457.45281982425,96264.20678710938
PI (36:4),43094.5832939148,580644.0043945312,169722.15042114258,49908.4637298584,395044.025390625,208838.13186645508
PI (36:5),23995.521728515625,79465.845703125,53307.603515625,16733.221225738525,70304.56506347656,38657.74298095703
PI (36:6),34503.92237854004,65118.14431762695,53386.363372802734,22048.6414642334,65759.9838256836,43805.8829498291
PI (36:7),34011.48253250122,74651.60446166992,74558.84509277344,28712.38201904297,88219.08685302734,62992.68392944336
PI (36:8),40566.22286605835,116697.74826049805,113537.32775878906,41357.282791137695,117885.36883544922,97295.78729248048
PI (38:0) | PIp (40:6),26770.56188583374,61527.004791259766,58407.884765625,28102.72184753418,62716.284088134766,50495.86276245117
PI (38:0) | PIp (40:6)_2,27777.48183441162,58366.984130859375,57849.24368286133,31030.381942749023,66164.56442260742,46128.84358215332
PI (38:1),19798.741458892822,63164.94525146485,48892.54281616211,17341.581089019775,57676.76406860352,40257.12301635742
PI (38:2),21971.981719970703,89477.72741699219,50176.443603515625,22272.68154144287,68446.14489746094,42224.622955322266
PI (38:3),24384.20163345337,327755.12048339844,80077.14532470703,35302.64250946045,176123.87170410156,112467.3087310791
PI (38:4),79263.44602966309,2958383.3693847656,441393.3713378906,145686.7495727539,1457961.3286132812,877265.9484710693
PI (38:5),36061.62296295166,687401.8770141602,163821.07080078125,59704.60357666016,358466.3269042969,193154.3924560547
PI (38:6),36503.88262176514,271707.5201416016,102320.66674804688,42183.76315307617,131915.46899414062,80040.12524414062
PI (38:7),30639.12204742432,180935.93612670896,113381.36854553224,35107.50262069702,141311.92840576172,93209.78649902344
PI (38:8),29508.761936187744,69370.42498779297,54332.54342651367,28192.961990356445,69466.90509033203,47236.30364990234
PI (38:9),26764.90184020996,61449.44494628906,45705.78372192383,27357.341987609863,60089.66397094727,42822.58346557617
PI (40:0),38206.28290939331,280165.83657836914,213966.7382507324,129526.97062683104,234002.0965881348,127687.32843017578
PI (40:1),19773.801273345947,44163.28340148926,41969.64303588867,22981.662071228027,54353.603271484375,37035.943016052246
PI (40:10),21484.601593017574,97759.58805847168,60762.86477661133,52954.96369934082,101256.16595458984,61198.58460998535
PI (40:2),22388.901454925537,63925.02380371094,48045.443267822266,27549.96199798584,64669.52416992188,40559.40326309204
PI (40:3),20898.241455078125,47176.68270874024,37517.06240844727,20366.941482543945,45589.18276977539,33122.60251617432
PI (40:4),17788.8212890625,73290.30557250977,39261.60238647461,26251.68170928955,49793.68347930908,31935.482414245605
PI (40:5),22650.501445770264,114147.92834472656,57455.22360229492,29581.10182189941,71178.06491088867,44385.10305786133
PI (40:6),36889.08297348023,373329.6840820313,107769.38690185548,87737.78637695312,132795.1298828125,83133.74520874023
PI (40:7),25381.201679229736,107390.42825317384,67646.82518005371,31155.921813964844,80106.32571411133,57271.22450256348
PI (40:8),24887.46171569824,73335.94494628906,90286.06651306152,49289.664138793945,67220.62490844727,62285.20376586914
PI (40:9),19878.72151947021,50983.38348388672,40554.88296508789,17913.96111679077,50833.723541259766,30015.36199951172
PI (42:0),18911.561408996586,55498.10345458984,43462.38345336914,33623.562534332275,56106.70397949219,41834.98313522339
PI (42:1),13895.721046447754,29012.06219482422,26110.48194885254,17095.241249084473,33121.442626953125,25710.80213546753
PI (42:10),14313.061000823976,42793.66278076172,30294.942321777344,17799.101188659668,41704.38307189941,25198.98171615601
PI (42:11),20170.72150039673,102615.52561950684,81540.14555358887,50260.88283538818,91147.44702148438,54807.3645401001
PI (42:3),17690.001499176025,69072.92529296875,45689.10372924805,29287.261825561523,64803.62341308594,36961.8030090332
PI (42:4),13069.600852966309,29299.52195739746,23431.541595458984,15510.541244506836,30805.26206970215,21618.481590271
PI (42:5),14947.04118347168,46440.14349365234,33550.362480163574,22736.98176574707,44853.94305419922,21930.78168106079
PI (42:6),16013.720989227297,35388.86242675781,28578.66186523437,18729.50122833252,37119.50224304199,23599.70151901245
PI (42:7),21219.26156616211,44294.78289794922,40538.0032043457,22219.561805725098,47967.10333251953,35015.38245391846
PI (42:8),20821.54146957397,61170.76446533203,48834.82339477539,25991.44184112549,64762.144134521484,40897.82302856445
PI (42:9),14492.82107925415,33684.46273803711,28578.662139892574,14966.601036071776,33767.042221069336,21186.921684265137
PI (44:0),12238.220886230469,25338.801986694336,17103.281272888184,8761.900539398193,27396.601524353027,17078.801307678223
PI (44:1),12026.560752868652,20182.581314086918,18968.6014213562,8594.260581970215,26089.80181121826,17043.801094055176
PI (44:10),16980.04116821289,29447.921905517574,28030.50163269043,14838.88109588623,33607.94234466553,23444.681686401367
PI (44:12),12024.640895843506,31733.322105407715,22450.16145324707,15762.521102905272,30819.602310180664,19210.141498565677
PI (44:2),14531.48097229004,26619.421875,23737.681648254395,14225.680961608889,29048.982093811035,19281.18166732788
PI (44:3),11332.940784454346,26449.18192672729,18113.24129486084,10647.100883483889,27453.122108459476,16085.140937805176
PI (44:4),10846.500789642334,23019.541702270508,18286.40120697021,10223.600784301758,24855.421844482426,17457.021255493164
PI (44:5),13018.06095123291,25938.06175994873,26507.82201385498,12032.980735778809,32700.642364501957,21863.501636505127
PI (44:6),13008.1208152771,28432.921997070312,21232.22134399414,12843.060806274414,32069.042137146,18472.62120437622
PI (44:7),14844.021114349363,30028.92222595215,26030.681762695312,14643.94108581543,30736.58187866211,22385.241695404053
PI (44:8),14839.080924987791,33356.52258300781,26446.0816116333,14454.361122131348,30393.36245727539,21514.00165176392
PIo (18:0),100821.46810913086,470314.80310058594,385947.8352050781,79314.18662261963,485351.3542480469,281529.0758972168
PIo (20:5),95131.02719116212,269351.8938598633,355490.95361328125,44738.12270736694,356510.6868286133,229484.29583740237
PIo (28:0),29574.54186630249,97021.90655517578,88843.80659484863,24810.58164215088,98067.38592529295,81527.52633666992
PIo (30:0),53744.06365585327,161846.1117553711,146423.68981933594,45991.98321533203,182487.91247558597,168185.53106689453
PIo (30:1),36996.96242523193,167878.85330200195,104351.7084350586,33145.8024520874,131547.4503173828,110111.287109375
PIo (32:0),94599.36681365968,209583.05395507807,275570.1622314453,86580.68585205078,312403.4190673828,302180.6170654297
"PIo (32:1), PIp (32:0)",46141.80339431763,129334.92950439452,172006.57318115234,49879.9635925293,182850.0760498047,180042.8521118164
PIo (34:0),64897.20464324951,172764.83337402344,196624.19494628903,62143.52424621582,221349.71813964844,231221.43823242188
"PIo (34:1), PIp (34:0)",57857.184173583984,246009.5419921875,251456.25927734372,76891.48416137695,288568.4802246094,270966.6605834961
"PIo (34:3), PIp (34:2)",23013.741634368896,56704.86422729492,48660.20373535156,27927.721771240234,58866.08407592773,37652.48301696777
"PIo (34:4), PIp (34:3)",21403.20154953003,52460.12371826172,39261.78266906738,14798.941093444824,50123.96369934082,31135.24269104004
PIo (36:0),30577.362033843998,68798.90496826172,74516.44515991211,34972.26298522949,81272.74478149414,53682.083740234375
"PIo (36:1), PIp (36:0)",40652.34282684326,99312.74639892578,100301.8681640625,38751.88243103027,119552.56707763672,82638.66598510742
"PIo (36:2), PIp (36:1)",29238.682132720947,68099.8042602539,61597.92440795898,26119.82182312012,78308.60635375977,63312.98394775391
"PIo (36:3), PIp (36:2)",18721.021354675293,61745.34368896485,46482.18428039551,22173.38156890869,65075.0442199707,45324.76257324219
"PIo (36:4), PIp (36:3)",17440.161197662354,61393.28479003906,44281.78303527832,18970.001426696777,56798.54364013672,42170.1230545044
"PIo (36:5), PIp (36:4)",26325.002151489258,49527.6435546875,41625.08282470703,18253.201293945312,51874.78369140625,40671.40264892578
"PIo (38:1), PIp (38:0)",26253.04211807251,60614.36474609375,53430.10391235352,29197.34188842773,64367.244384765625,39029.7832107544
"PIo (38:2), PIp (38:1)",24588.74174880981,58181.52407836914,46482.18307495117,20842.201469421387,52731.8639831543,36297.72232055664
"PIo (38:3), PIp (38:2)",21249.78142929077,53240.94320678711,41323.38320159912,23199.981803894043,48894.92353820801,32970.42230987549
"PIo (38:4), PIp (38:3)",21757.64152908325,77803.70576477051,47572.48318481445,19667.32129669189,69224.86538696289,36393.942543029785
"PIo (38:5), PIp (38:4)",21308.80137252808,53086.18408203125,32767.72198486328,17489.62107849121,47888.94340515137,27885.96160888672
"PIo (38:6), PIp (38:5)",33729.74241256714,62017.744140625,49835.483459472656,24419.38161087036,57696.66397094727,41782.18321228027
"PIo (40:1), PIp (40:0)",27078.061935424805,76426.28591918945,73190.42532348633,48552.86354827881,67876.34579467773,57575.16384124756
"PIo (40:2), PIp (40:1)",18129.121421813965,42386.22276306152,31702.56208801269,18754.581260681152,39861.54328918457,26130.80157089233
"PIo (40:3), PIp (40:2)",19314.901321411133,64850.64447021485,45669.80331420898,35089.841941833496,71705.32579040527,45088.882553100586
"PIo (40:4), PIp (40:3)",28229.741970062256,58271.963439941406,63186.78436279297,25174.601554870605,50310.72332763672,36913.3429107666
"PIo (40:5), PIp (40:4)",81360.54512023926,119893.2686767578,96748.74645996094,61502.90441894531,113501.328125,92286.04681396484
"PIo (40:6), PIp (40:5)",20622.30149841309,92042.28549194336,66787.94387817383,31182.22225189209,73041.56443786621,47141.96422958374
PIo (40:7),25158.12171173096,98501.56741333008,65578.78491210938,29647.582077026367,77352.20501708984,51051.98323059082
PIo (42:0),22323.50142288208,38955.04266357422,41174.50321960449,21668.48159790039,45639.04330444336,36181.22230529785
PIo (42:1),20475.421379089355,50052.64349365234,40237.582748413086,21481.44150543213,48719.003341674805,34727.462463378906
PIo (42:2),15719.821109771729,32368.60223388672,25545.16194152832,14839.72110748291,34114.862564086914,22775.781635284424
PIo (42:4),16498.061199188232,73864.76593780518,60852.88383483887,36845.6626739502,65615.10551452637,42874.723709106445
PIo (42:6),18360.22115325928,78468.86552429199,58054.48278808594,31737.442665100098,73880.90425109863,44688.66250610352
PIp (20:0),77549.185546875,208983.57556152344,146275.43096923828,54666.38333129883,332461.3572998047,114025.92784118652
PIp (28:0),15567.561126708984,48843.7433013916,41573.86318969727,13339.64093017578,46576.02349090576,35691.26298522949
PIp (30:1),32181.90216827393,127881.9497680664,129485.5280456543,50819.08264923096,140084.3878173828,133127.60748291016
PIp (32:1),31122.78223419189,84007.86627197266,72076.70510864258,26481.64158630371,89416.32601928711,73064.08633422852
PIp (34:1),32006.902179718018,76558.4245300293,83972.96588134766,28253.122116088867,89357.56625366211,78061.28704833984
PIp (34:4),20198.24132156372,50235.3032989502,39204.86284637451,12841.300964355469,48392.86318969727,33063.50224304199
PIp (36:5),146454.07013320923,180158.4921875,180306.93310546875,102869.56677246094,188627.69213867188,166686.81176757812
PIp (38:6),150823.6916809082,212377.51489257807,208825.2529296875,114526.72778320312,222362.21533203125,200056.3928222656
PIp (42:2),14594.900993347168,42835.76289367676,29597.401725769043,12912.960807800291,36500.08229064941,25201.56136322021
PIp (42:4),15855.76111984253,36613.64245605469,27442.142044067383,14938.30101776123,36901.52293395996,20915.721504211426
PIp (42:6),36510.6625328064,315953.7607727051,230449.1545410156,132173.88903808594,268610.31677246094,134833.48755645752
PS (22:7),28250.241928100582,43669.10302734375,71530.64416503906,31017.662231445312,28594.54201889038,75884.98596191406
PS (24:0),24276.98166656494,40689.20300292969,82718.2854309082,28246.92185974121,38838.403175354,101403.02737426758
PS (26:0),28440.022087097168,35252.0026550293,59173.62405395508,37191.48278808594,26486.96222686768,63937.90487670898
PS (26:1),94413.82696533205,108187.36755371094,122094.44921875,99263.48693847656,43230.30316162109,123377.94848632812
PS (28:0),35656.10256195068,71253.84589385986,755836.4554138184,54947.40398788452,550477.2261352539,712738.479675293
PS (28:1),41542.16270065308,46415.20346069336,61990.74450683594,47762.94343185425,27232.28172302246,64382.104064941406
PS (28:2),19156.081371307373,30350.962173461918,45742.90328979492,19340.28129196167,14911.520931243896,46687.60311889648
PS (30:0),49030.80376815796,58089.10362243652,79612.40643310547,53828.66361236572,29616.682022094727,76207.18505859375
PS (30:1),21088.841468811035,33599.322341918945,46256.80308532715,26218.54200363159,19261.66156768799,48666.50296020508
PS (30:2),19665.401485443115,34274.50241088867,61281.4436340332,27909.921852111816,24241.081817626957,57705.38317871094
PS (30:3),24056.40188217163,38624.78237915039,67962.82440185547,30807.542594909668,24230.72176361084,73847.64532470703
PS (30:4),21187.181575775143,28287.102005004883,46848.98287963867,26559.98180770874,18464.921585083008,49316.68336486816
PS (32:0),35273.02242279053,44192.703216552734,92247.78692626952,42790.563049316406,29146.001918792725,89615.1669921875
PS (32:1),27121.56192779541,34010.282413482666,55206.68405151367,29151.28229522705,15174.561126708984,71986.04565429688
PS (32:2),32341.602577209476,47148.483280181885,224069.05654907227,42816.62282180786,137008.33222961426,414176.0900878906
PS (32:3),23964.16164779663,29119.202171325684,53634.124084472656,26860.801837921143,21787.661544799805,59723.264709472656
PS (32:4),23340.761711120605,36753.54267120361,76566.2067565918,32740.00189971924,21568.20168685913,65654.98489379883
PS (32:5),34485.36241912842,38123.52275848389,45578.323150634766,37565.022899627686,23301.04162597656,54567.80407714844
PS (34:0),31369.82232666016,38520.36254119873,64452.90502929688,38444.66296005249,29043.04231262207,63773.04486083984
PS (34:1),44304.00286102295,58701.26442718506,69379.98559570312,50307.90349197388,28238.70178222656,86913.22546386719
PS (34:2),28244.48190307617,29589.622215271,57051.32452392578,29475.18188858032,21672.601501464844,58243.68460083008
PS (34:3),29484.042110443115,34357.60266494751,53135.88394165039,31984.922370910645,21972.441333770752,57423.64367675781
PS (34:4),27053.52196121216,34245.30263519287,51304.2236328125,31691.50220870972,23358.061923980717,57946.30401611328
PS (34:5),27784.181964874268,37686.98307800293,79166.4045715332,34500.72255706787,43335.403160095215,85559.7651977539
PS (34:5)_2,27771.62190246582,34721.622734069824,80673.50540161133,33704.30220413208,33024.26192855835,79380.86596679688
PS (34:6),24951.141883850098,32699.482292175293,65692.1050415039,31264.38235092163,22341.181480407715,67618.08407592773
PS (36:0),52549.66367340088,60438.464557647705,115006.9678955078,67556.64473724365,31713.16227722168,119429.82861328124
PS (36:1),137029.02909469604,129963.98874282835,146418.57006835938,145423.82960891724,63556.46466064453,175310.75268554688
