,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
89,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.89,5705.0,818.7 -> 601.5,0,29,262592.0,0.26644999999999897,6.1,FA18:1,"TG(54:4), TG(55:11)"
90,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,14.95,12727.0,790.7 -> 601.5,0,16,1603065.0,0.35526666666666706,6.1,FA18:1,"TG(54:4), TG(55:11)"
35,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.69,574.0,816.7 -> 599.5,0,27,60738.0,0.35524999999999984,17.26,FA18:1,TG(54:5)
36,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.48,766.0,788.7 -> 599.5,0,15,1048040.0,0.9325500000000009,17.26,FA18:1,TG(54:5)
37,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.74,698.0,816.7 -> 599.5,0,27,142179.0,0.6661000000000001,11.7,FA18:1,TG(54:5)
38,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.44,2999.0,788.7 -> 599.5,0,15,1663995.0,0.9328166666666657,11.7,FA18:1,TG(54:5)
39,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.44,755.0,774.6 -> 599.5,0,8,5370.0,0.44406666666666617,,FA18:1,TG(54:5)
40,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.74,2285.0,816.7 -> 599.5,0,27,155980.0,0.577283333333332,11.66,FA18:1,TG(54:5)
41,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.44,1765.0,788.7 -> 599.5,0,15,1818201.0,0.9328000000000003,11.66,FA18:1,TG(54:5)
42,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,774.6,599.5,13.88,486.0,774.6 -> 599.5,0,8,1944.0,0.0,,FA18:1,TG(54:5)
43,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.74,1131.0,816.7 -> 599.5,0,27,48033.0,0.3108500000000003,16.45,FA18:1,TG(54:5)
44,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.79,4885.0,788.7 -> 599.5,0,15,790276.0,0.8881499999999996,16.45,FA18:1,TG(54:5)
45,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.74,3411.0,816.7 -> 599.5,0,27,85922.0,0.6661000000000001,13.73,FA18:1,TG(54:5)
46,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.44,1589.0,788.7 -> 599.5,0,15,1180011.0,0.9328000000000003,13.73,FA18:1,TG(54:5)
47,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.67,510.0,814.7 -> 597.5,0,25,6715.0,0.08880000000000088,21.91,FA18:1,TG(54:6)
48,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.33,625.0,786.7 -> 597.5,0,13,147139.0,0.8437333333333328,21.91,FA18:1,TG(54:6)
